ตาราง 1.1 ประชากรจากสำมะโนประชากรและเคหะ จำแนกตามภาค พ.ศ. 2462 2472 2480 2490 2503 2513 2523 2533 2543 และ 2553,,,,,,
"Table 1.1 Population from Population and Housing Census by Region: 1919, 1929, 1937, 1947, 1960, 1970, 1980, 1990, 2000 and 2010",,,,,,
,,,,,,
ปี (Year),ทั่วราชอาณาจักร (Whole Kingdom),กรุงเทพมหานคร (Bangkok),ภาคกลาง (ไม่รวม กทม.) (Central Region (Excluding Bangkok)),ภาคเหนือ (Northern Region),ภาคตะวันออกเฉียงเหนือ (Northeastern Region),ภาคใต้ (Southern Region)
2454 (1911),8266408,x,x,x,x,x
2462 (1919),9207355,437294,2409602,2014845,3092117,1253497
2472 (1929),11506207,713384,2897873,2521311,3887275,1486364
2480 (1937),14464105,890453,3556394,3223234,4952288,1841736
2490 (1947),17442689,1178881,4250016,3642711,6210281,2160800
2503 (1960),26257916,2136435,6134867,5723106,8991543,3271965
2513 (1970),34397374,3077361,7534516,7488683,12025140,4271674
2523 (1980),44824540,4697071,9726272,9074103,15698878,5628216
2533 (1990),54548530,5882411,12076724,10584443,19038497,6966455
2543 (2000),60916441,6355144,14215503,11433061,20825262,8087471
2553 (2010),65981659,8305218,18183308,11656040,18966090,8871002
,,,,,,
ที่มา:,1. กรมการปกครอง กระทรวงมหาดไทย พ.ศ. 2462 - 2490,,,,,
             ,2. สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม พ.ศ. 2503 - 2553,,,,,
Sources:,"1. Department of Provincial Administration, Ministry of Interior: 1919 - 1947 ",,,,,
           ,"2. National Statistical Office,  Ministry of Digital Economy and Society: 1960 - 2010",,,,,
