ตาราง 1.10 การเกิดมีชีพ จำแนกตามกลุ่มอายุมารดา และลำดับบุตรที่เกิด พ.ศ. 2563 - 2565,,,,,,,
Table 1.10 Live Births by Age Group of Mother and Birth Order: 2020 - 2022,,,,,,,
,,,,,,,
รายการ,จำนวน (Number)_2563 (2020),จำนวน (Number)_2564 (2021),จำนวน (Number)_2565 (2022),ร้อยละ (Percent)_2563(2020),ร้อยละ (Percent)_2563(2020),ร้อยละ (Percent)_2563(2020),Item
กลุ่มอายุมารดา,569338,526469,485085,100.0,100.0,100.0,Age group of mother 
น้อยกว่า 15 ปี,1783,1640,1569,0.3,0.3,0.3,Less than 15 years
15 - 19,56074,47378,40888,9.8,9.0,8.4,15 - 19
20 - 24,124081,110072,98823,21.8,20.9,20.4,20 - 24
25 - 29,154364,144814,135717,27.1,27.5,28.0,25 - 29
30 - 34,131908,125970,118181,23.2,23.9,24.4,30 - 34
35 - 39,80113,75794,69624,14.1,14.4,14.4,35 - 39
40 - 44,19731,19551,18980,3.5,3.7,3.9,40 - 44
45 - 49,1034,1003,1044,0.2,0.2,0.2,45 - 49
50  และมากกว่า,35,35,45,--,--,--,50 and over
ไม่ทราบ,215,212,214,--,--,--,Unknown
ลำดับบุตรที่เกิด,569338,526469,485085,100.0,100.0,100.0,Birth order
ลำดับที่หนึ่ง,319874,296578,275965,56.2,56.3,56.9,First     
"""   ที่สอง",176931,164022,148334,31.1,31.2,30.6,Second      
"""   ที่สาม",52451,47827,44140,9.2,9.1,9.1,Third       
"""   ที่สี่",12966,11822,10958,2.3,2.2,2.3,Fourth      
"""   ที่ห้า",3920,3522,3305,0.7,0.7,0.7,Fifth       
"""   ที่หก",1395,1266,1152,0.2,0.2,0.2,Sixth       
"""   ที่เจ็ด",537,493,451,0.1,0.1,0.1,Seventh     
"""   ที่แปด",252,224,188,--,--,--,Eighth      
"""   ที่เก้า",120,94,95,--,--,--,Ninth       
"""   ที่สิบขึ้นไป",84,89,73,--,--,--,Tenth and over
ไม่ทราบ,808,532,424,0.1,0.1,0.1,Unknown
,,,,,,,
ที่มา:  สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Public Health,,,,,,,
