ตาราง 1.11 การเกิดมีชีพ จำแนกตามน้ำหนักเด็กแรกเกิด พ.ศ. 2561 - 2565,,,,,,,,
Table 1.11 Live Births by Birth Weight: 2018 - 2022,,,,,,,,
,,,,,,,,
รายการ,น้ำหนักเด็กแรกเกิด (กรัม),2561  (2018),2562  (2019),2563 (2020),2564 (2021),2565 (2022),Item,Birth weight (gram)
จำนวน,รวมยอด ,628450,596736,569338,526469,485085,Number,Total
จำนวน,ต่ำกว่า 500,62,185,31,34,30,Number,Less than 500
จำนวน,500 - 999,1363,1326,1261,1167,1116,Number,500 - 999
จำนวน,"1,000 - 1,499",3603,3497,3249,3000,2881,Number,"1,000 - 1,499"
จำนวน,"1,500 - 1,999",9439,9169,8630,8275,7698,Number,"1,500 - 1,999"
จำนวน,"2,000 - 2,499",53503,45466,41044,39162,37333,Number,"2,000 - 2,499"
จำนวน,"2,500 - 2,999",214968,208673,196255,183742,172745,Number,"2,500 - 2,999"
จำนวน,"3,000 - 3,499",255603,243653,235653,215261,197042,Number,"3,000 - 3,499"
จำนวน,"3,500 - 3,999",77624,73533,72107,65639,57651,Number,"3,500 - 3,999"
จำนวน,"4,000 - 4,499",10377,9544,9721,8870,7504,Number,"4,000 - 4,499"
จำนวน,"4,500 - 4,999",1237,1169,1089,1065,869,Number,"4,500 - 4,999"
จำนวน,"5,000 ขึ้นไป",258,180,162,147,149,Number,"5,000 and over"
จำนวน,ไม่ทราบ,413,341,136,107,67,Number,Unknown
ร้อยละ,รวมยอด ,100.0,100.0,100.0,100.0,100.0,Percent,Total
ร้อยละ,ต่ำกว่า 500,--,--,--,--,--,Percent,Less than 500
ร้อยละ,500 - 999,0.2,0.2,0.2,0.2,0.2,Percent, 500 - 999
ร้อยละ,"1,000 - 1,499",0.6,0.6,0.6,0.6,0.6,Percent,"1,000 - 1,499"
ร้อยละ,"1,500 - 1,999",1.5,1.5,1.5,1.6,1.6,Percent,"1,500 - 1,999"
ร้อยละ,"2,000 - 2,499",8.5,7.6,7.2,7.4,7.7,Percent,"2,000 - 2,499"
ร้อยละ,"2,500 - 2,999",34.2,35.0,34.5,34.9,35.6,Percent,"2,500 - 2,999"
ร้อยละ,"3,000 - 3,499",40.7,40.8,41.4,40.9,40.6,Percent,"3,000 - 3,499"
ร้อยละ,"3,500 - 3,999",12.4,12.3,12.7,12.5,11.9,Percent,"3,500 - 3,999"
ร้อยละ,"4,000 - 4,499",1.7,1.6,1.7,1.7,1.5,Percent,"4,000 - 4,499"
ร้อยละ,"4,500 - 4,999",0.2,0.2,0.2,0.2,0.2,Percent,"4,500 - 4,999"
ร้อยละ,"5,000 ขึ้นไป",--,--,--,--,--,Percent,"5,000 and over"
ร้อยละ,ไม่ทราบ,0.1,0.1,--,--,--,Percent,Unknown
,,,,,,,,
ที่มา:   สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Public Health,,,,,,,,
