ตาราง 1.13 การตาย จำแนกตามเพศ และกลุ่มอายุเมื่อตาย พ.ศ. 2563 - 2565,,,,,,,,,
Table 1.13 Deaths by Sex and Age Group at Death: 2020 - 2022,,,,,,,,,
,,,,,,,,,
เพศ,กลุ่มอายุเมื่อตาย (ปี)                                        ,จำนวน (Number)_2563 (2020),จำนวน (Number)_2564 (2021),จำนวน (Number)_2565 (2022),ร้อยละ (Percent)_2563 (2020),ร้อยละ (Percent)_2564 (2021),ร้อยละ (Percent)_2565 (2022),Sex,Age group at death (year)
ชาย,รวม,277669,311601,328365,100.0,100.0,100.0,Male,Total
ชาย,  0  -  4,2300,2134,2154,0.8,0.7,0.7,Male,  0  -  4
ชาย,  5  -  9,612,580,607,0.2,0.2,0.2,Male,  5  -  9
ชาย,10 - 14.,968,917,1051,0.3,0.3,0.3,Male,10 - 14.
ชาย,15 - 19,2768,2402,2428,1.0,0.8,0.7,Male,15 - 19
ชาย,20 - 24,3751,3544,3604,1.4,1.1,1.1,Male,20 - 24
ชาย,25 - 29,4750,5041,4977,1.7,1.6,1.5,Male,25 - 29
ชาย,30 - 34,5780,6363,6432,2.1,2.0,2.0,Male,30 - 34
ชาย,35 - 39,8580,9313,9087,3.1,3.0,2.8,Male,35 - 39
ชาย,40 - 44,12891,14215,13997,4.6,4.6,4.3,Male,40 - 44
ชาย,45 - 49,17259,19149,18891,6.2,6.1,5.8,Male,45 - 49
ชาย,50 - 54,20988,23887,23716,7.6,7.7,7.2,Male,50 - 54
ชาย,55 - 59,25223,28538,28217,9.1,9.2,8.6,Male,55 - 59
ชาย,60 - 64,27120,31223,32235,9.8,10.0,9.8,Male,60 - 64
ชาย,65 และมากกว่า,144676,164294,180969,52.1,52.7,55.1,Male,65 and over
ชาย,ไม่ทราบ,3,1,-,--,--,-,Male,Unknown
หญิง,รวม,212048,238441,256489,100.0,100.0,100.0,Female,Total
หญิง,  0  -  4,1660,1572,1552,0.8,0.7,0.6,Female,  0  -  4
หญิง,  5  -  9,390,379,428,0.2,0.2,0.2,Female,  5  -  9
หญิง,10 - 14.,501,476,569,0.2,0.2,0.2,Female,10 - 14.
หญิง,15 - 19,883,855,932,0.4,0.4,0.4,Female,15 - 19
หญิง,20 - 24,1226,1210,1162,0.6,0.5,0.5,Female,20 - 24
หญิง,25 - 29,1458,1632,1704,0.7,0.7,0.7,Female,25 - 29
หญิง,30 - 34,1882,2099,2134,0.9,0.9,0.8,Female,30 - 34
หญิง,35 - 39,3086,3381,3111,1.5,1.4,1.2,Female,35 - 39
หญิง,40 - 44,4590,5205,4977,2.2,2.2,1.9,Female,40 - 44
หญิง,45 - 49,6931,7709,7492,3.3,3.2,2.9,Female,45 - 49
หญิง,50 - 54,9734,11303,10799,4.6,4.7,4.2,Female,50 - 54
หญิง,55 - 59,12836,14741,14699,6.1,6.2,5.7,Female,55 - 59
หญิง,60 - 64,15948,18125,18300,7.5,7.6,7.1,Female,60 - 64
หญิง,65 และมากกว่า,150922,169754,188630,71.2,71.2,73.5,Female,65 and over
หญิง,ไม่ทราบ,1,-,-,--,-,-,Female,Unknown
,,,,,,,,,
ที่มา:  สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Public Health,,,,,,,,,
