"ตาราง 1.14 การตาย และอัตราตายต่อประชากร 1,000 คน จำแนกตามภาค และจังหวัด พ.ศ. 2564 - 2565",,,,,,,,,
"Table 1.14 Deaths and Crude Death Rate per 1,000 Population by Region and Province:  2021 - 2022",,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,ประชากรกลางปี2564 (Mid-year population 2021),ประชากรกลางปี 2565 (Mid-year population 2022),จำนวนการตาย 2564 (Number Deaths 2021),อัตราการตาย 2564 (Rate Deaths 2021),จำนวนการตาย 2565 (Number Deaths2022),อัตราการตาย 2564 (Rate Deaths 2021),Region,Province
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,65212951,65152132,550042,8.4,584854,9.0,Whole Kingdom,Whole Kingdom
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานครและปริมณฑล,10702142,10684623,105172,9.8,94086,8.8,Bangkok and Vicinities,Bangkok and Vicinities
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,5457986,5411503,57555,10.5,50097,9.3,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,1335201,1339787,12377,9.3,10607,7.9,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,1272643,1282096,11029,8.7,10663,8.3,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,1173613,1185816,9810,8.4,9254,7.8,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,910832,910741,8116,8.9,8351,9.2,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,551867,554680,6285,11.4,5114,9.2,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,ภาคกลาง,2996229,2986905,29908,10.0,30775,10.3,Central Region,Central Region
ภาคกลาง,พระนครศรีอยุธยา,817688,818325,7958,9.7,7845,9.6,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,275264,273259,3013,10.9,2993,11.0,Central Region,Ang Thong
