"ตาราง 1.15 การตาย และอัตราตายทารก (อายุต่ำกว่า 1 ปี) ต่อการเกิดมีชีพ 1,000 คน จำแนกตามภาค และเพศ พ.ศ. 2561 - 2565",,,,,,,,,,
"Table 1.15 Infant Deaths and Infant Mortality (Under 1 Year) Rate per 1,000 Live Births Under 1 Year by Region and Sex: 2018 - 2022",,,,,,,,,,
,,,,,,,,,,
รายการ,ภาค,เพศ,2561 (2018),2562 (2018),2563 (2018),2564 (2018),2565 (2018),Item,Region,Sex
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ทั่วราชอาณาจักร,รวม,3800,3393,2876,2718,2571,Number of infant deaths (Under 1 year),Whole Kingdom,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ทั่วราชอาณาจักร,ชาย,2180,1903,1672,1545,1486,Number of infant deaths (Under 1 year),Whole Kingdom,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ทั่วราชอาณาจักร,หญิง,1620,1490,1204,1173,1085,Number of infant deaths (Under 1 year),Whole Kingdom,Female
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),กรุงเทพมหานคร,รวม,486,429,377,277,255,Number of infant deaths (Under 1 year),Bangkok,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),กรุงเทพมหานคร,ชาย,282,244,212,143,153,Number of infant deaths (Under 1 year),Bangkok,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),กรุงเทพมหานคร,หญิง,204,185,165,134,102,Number of infant deaths (Under 1 year),Bangkok,Female
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคกลาง (ไม่รวม กทม),รวม,971,885,736,728,644,Number of infant deaths (Under 1 year),Central Region (Excluding BKK.) ,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคกลาง (ไม่รวม กทม),ชาย,545,504,425,418,374,Number of infant deaths (Under 1 year),Central Region (Excluding BKK.) ,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคกลาง (ไม่รวม กทม),หญิง,426,381,311,310,270,Number of infant deaths (Under 1 year),Central Region (Excluding BKK.) ,Female
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคเหนือ,รวม,479,461,339,384,359,Number of infant deaths (Under 1 year),Northern Region,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคเหนือ,ชาย,274,252,198,225,221,Number of infant deaths (Under 1 year),Northern Region,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคเหนือ,หญิง,205,209,141,159,138,Number of infant deaths (Under 1 year),Northern Region,Female
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคตะวันออกเฉียงเหนือ,รวม,986,842,751,664,683,Number of infant deaths (Under 1 year),Northeastern Region,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคตะวันออกเฉียงเหนือ,ชาย,583,470,445,375,390,Number of infant deaths (Under 1 year),Northeastern Region,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคตะวันออกเฉียงเหนือ,หญิง,403,372,306,289,293,Number of infant deaths (Under 1 year),Northeastern Region,Female
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคใต้,รวม,878,776,673,665,630,Number of infant deaths (Under 1 year),Southern Region,Total
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคใต้,ชาย,496,433,392,384,348,Number of infant deaths (Under 1 year),Southern Region,Male
จำนวนการตายในทารก (อายุต่ำกว่า  1 ปี),ภาคใต้,หญิง,382,343,281,281,282,Number of infant deaths (Under 1 year),Southern Region,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ทั่วราชอาณาจักร,รวม,6.0,5.7,5.1,5.2,5.3,"Infant mortality rate per 1,000 live births (Under 1 year)",Whole Kingdom,Total
