ตาราง 1.16  การเกิด การตาย การย้ายเข้า และการย้ายออกจากการทะเบียน จำแนกตามภาค และเพศ พ.ศ. 2565 - 2566,,,,,,,,,,,
"Table  1.16  Births, Deaths, Registered-In and Registered-Out from Registration Record by Region and Sex: 2022 - 2023",,,,,,,,,,,
,,,,,,,,,,,
ปี,ภาค,การเกิด (Births)_ชาย (Male),การเกิด (Births)_หญิง (Female),การตาย (Deaths)_ชาย (Male),การตาย (Deaths)_หญิง (Female),การย้ายเข้า (Registered-in)_ชาย (Male),การย้ายเข้า (Registered-in)_หญิง (Female),การย้ายออก (Registered-out)_ชาย (Male),การย้ายออก (Registered-out)_หญิง (Female),Year,Region
2565, ทั่วราชอาณาจักร,259558,242549,336008,259957,1447076,1360249,1445013,1359916,2022,Whole Kingdom
2565,กรุงเทพมหานครและปริมณฑล,48834,45354,52889,43233,290277,309653,307641,315542,2022,Bangkok and Vicinities  
2565,กรุงเทพมหานคร,28670,26331,28105,23381,140423,147111,166566,165797,2022,Bangkok 
2565,ภาคกลาง,10000,9205,16965,14062,70900,60007,69936,59298,2022,Central Region
2565,ภาคตะวันออก,26946,25118,27504,20055,152686,141488,144871,134704,2022,Eastern Region
2565,ภาคตะวันตก,13501,12832,19626,15962,82031,72695,81998,71541,2022,Western Region
2565,ภาคเหนือ,41636,38796,67549,51274,233895,216338,232453,217081,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,71608,67241,110800,82929,408450,353279,394622,348897,2022,Northeastern Region
2565,ภาคใต้,47033,44003,40675,32442,208837,206789,213492,212853,2022,Southern Region
2566,ทั่วราชอาณาจักร,266426,251508,319804,246188,1467324,1382420,1467194,1382460,2023,Whole Kingdom
2566,กรุงเทพมหานครและปริมณฑล,50779,47357,50735,40977,297649,322409,304783,314408,2023,Bangkok and Vicinities  
2566,กรุงเทพมหานคร,29543,27332,26930,22338,139598,149519,163136,163640,2023,Bangkok 
2566,ภาคกลาง,10430,9685,16336,13568,73626,62357,73285,60957,2023,Central Region
2566,ภาคตะวันออก,28401,26605,26269,19022,160309,149978,148800,137068,2023,Eastern Region
2566,ภาคตะวันตก,14186,13453,18711,15101,84629,76688,88578,75025,2023,Western Region
2566,ภาคเหนือ,43105,40584,64302,49522,237365,215970,239108,222434,2023,Northern Region
2566,ภาคตะวันออกเฉียงเหนือ,71095,68059,105974,78391,400715,344257,396791,356868,2023,Northeastern Region
2566,ภาคใต้,48430,45765,37477,29607,213031,210761,215849,215700,2023,Southern Region
,,,,,,,,,,,
ที่มา:  กรมการปกครอง  กระทรวงมหาดไทย,,,,,,,,,,,
"Source:  Department of Provincial Administration,  Ministry of Interior",,,,,,,,,,,
