ตาราง 1.18 การเกิด การตาย การย้ายเข้า และการย้ายออกในกรุงเทพมหานครจากการทะเบียน จำแนกตามสำนักงานเขต และเพศ พ.ศ. 2566,,,,,,,,,
"Table 1.18 Births, Deaths, Registered-In and Registered-Out in Bangkok from Registration Record by District Office and Sex: 2023",,,,,,,,,
,,,,,,,,,
สำนักงานเขต,การเกิด (Births)_ชาย (Male),การเกิด (Births)_หญิง (Female),การตาย (Deaths)_ชาย (Male),การตาย (Deaths)_หญิง (Female),การย้ายเข้า (Registered-in)_ชาย (Male),การย้ายเข้า (Registered-in)_หญิง (Female),การย้ายออก (Registered-out)_ชาย (Male),การย้ายออก (Registered-out)_หญิง (Female),District office
รวมยอด  ,29543,27332,26930,22338,139598,149519,163136,163640,Total
พระนคร,1,1,96,55,937,712,1328,1234,Phra Nakhon
ดุสิต,683,629,761,738,4035,1347,6133,2473,Dusit
หนองจอก,325,275,625,494,5825,6335,4281,4623,Nong Chok
บางรัก ,881,843,642,557,861,1002,1836,1917,Bang Rak
บางเขน,94,77,318,336,5315,5398,5412,5020,Bang Khen
บางกะปิ,290,232,399,312,3607,4328,3581,4123,Bang Kapi
ปทุมวัน,2173,1927,1106,936,868,943,3221,3169,Pathum Wan
ป้อมปราบศัตรูพ่าย ,525,476,715,578,417,452,1277,1285,Pom Prap Sattru Phai
พระโขนง ,7,8,166,148,1879,2428,1971,2319,Phra Khanong
มีนบุรี ,1385,1323,517,347,3485,3803,4419,4785,Min Buri
ลาดกระบัง,96,98,498,361,5358,6020,4281,4817,Lat Krabang
ยานนาวา,-,1,117,76,1467,1766,1628,1854,Yan Nawa
สัมพันธวงศ์,-,-,24,18,273,276,444,497,Samphanthawong
พญาไท ,563,561,350,310,2361,1621,3633,2257,Phaya Thai
ธนบุรี,870,768,691,605,1969,2315,3022,3219,Thon Buri
บางกอกใหญ่,-,1,103,106,1040,1221,1270,1312,Bangkok Yai
ห้วยขวาง,447,449,461,339,2182,2700,2302,2768,Huai Khwang
คลองสาน,501,460,662,560,1170,1339,1940,2105,Khlong San
ตลิ่งชัน,36,30,201,176,1843,2133,1748,1985,Taling Chan
บางกอกน้อย,2632,2525,1616,1508,1897,2194,5011,4850,Bangkok Noi
บางขุนเทียน,335,278,515,378,4781,5444,4465,5028,Bang Khun Thian
ภาษีเจริญ,504,423,373,333,2663,3193,2939,3146,Phasi Charoen
หนองแขม,303,274,541,387,3892,4303,3768,4052,Nong Khaem
ราษฎร์บูรณะ,318,295,483,369,1677,1856,2159,2336,Rat Burana
บางพลัด,177,211,179,201,1874,2279,1853,2123,Bang Phlat
ดินแดง,2,6,178,138,2047,2441,2305,2507,Din Daeng
บึงกุ่ม,265,256,300,266,3027,3523,3223,3818,Bueng Kum
สาทร,96,71,139,154,1150,1260,1683,1640,Sathon
บางซื่อ,162,141,413,322,2496,2928,2568,2883,Bang Sue
จตุจักร,570,493,434,325,4307,4830,4617,4437,Chatuchak
บางคอแหลม,996,899,715,641,1361,1521,2695,2758,Bang Kho Laem
ประเวศ,1416,1348,1089,940,4503,5294,5102,5543,Prawet
คลองเตย,702,600,343,182,2013,2205,2865,2953,Khlong Toei
สวนหลวง,511,467,461,329,2983,3575,3004,3546,Suan Luang
จอมทอง,120,117,430,345,2749,2920,3193,3486,Chom Thong
ดอนเมือง,-,8,317,275,8105,5178,7688,4737,Don Mueang
ราชเทวี,3491,3286,2422,2028,1812,1950,5684,5299,Ratchathewi
ลาดพร้าว,395,354,315,228,2338,2720,2771,3251,Lat Phrao
วัฒนา,1307,1139,372,284,1620,1926,2418,2544,Watthana
บางแค,913,829,1215,1012,4527,5361,4645,5089,Bang Khae
หลักสี่,435,427,992,879,3179,2488,4643,3091,Lak Si
สายไหม,1770,1612,1350,1132,6622,7237,6839,7093,Sai Mai
คันนายาว,2266,2185,1195,978,2249,2533,4110,4276,Khan Na Yao
สะพานสูง,88,87,232,166,2456,2883,1938,2222,Saphan Sung
วังทองหลาง,298,291,311,263,2686,3366,3248,3701,Wang Thonglang
คลองสามวา,6,7,374,286,6519,7640,4816,5519,Khlong Sam Wa
บางนา,392,360,400,294,2128,2528,2736,2886,Bang Na
ทวีวัฒนา,89,83,179,160,1877,2131,1550,1650,Thawi Watthana
ทุ่งครุ,1,6,222,201,3073,3421,2510,2856,Thung Khru
บางบอน,106,95,373,282,2095,2252,2363,2558,Bang Bon
,,,,,,,,,   
ที่มา: กรมการปกครอง  กระทรวงมหาดไทย,,,,,,,,,
"Source: Department of Provincial Administration,  Ministry of Interior",,,,,,,,,
