ตาราง 1.19 สถานภาพการย้ายถิ่นของประชากร พ.ศ. 2564 - 2566   ,,,,
Table 1.19 Migration of Population: 2021 - 2023,,,,
,,,,
รายการ,2564 (2021),2565 (2022),2566 (2023),Item
จำนวนประชากร,68263027,69906533,70091186,Number of population
จำนวนผู้ไม่ย้ายถิ่น,67595994,69097693,69109665,Number of non-migrants
จำนวนผู้ย้ายถิ่น,667033,808840,981521,Number of migrants
เขตการปกครองในเขตเทศบาล,299914,435791,500268,Administrative areas in municipalities
เขตการปกครองนอกเขตเทศบาล,367116,373051,481253,Administrative areas in non-municipal 
เพศชาย,347493,392377,512424,Male
เพศหญิง,319540,416464,469097,Female
กรุงเทพมหานคร,49004,55119,57715,Bangkok
ภาคกลาง (ไม่รวม กทม.),213787,345212,470231,Central region (Excluding BKK.)
ภาคเหนือ,110325,125667,152691,Northern region
ภาคตะวันออกเฉี่ยงเหนือ,187664,132134,140780,Northeastern region
ภาคใต้,106253,150708,160104,Southern region
กลุ่มอายุ 0  - 14 ปี,70458,103197,128019,Age group 0  - 14 year
กลุ่มอายุ 15 - 39 ปี,459246,594192,639416,Age group 15 - 39 year
กลุ่มอายุ 40 - 59 ปี,108150,82332,171059,Age group 40 - 59 year
กลุ่มอายุ 60 ปีขึ้นไป,29179,29119,43027,Age group 60 year and over
รูปแบบการย้ายถิ่น: ย้ายมาทั้งครัวเรือน,198659,282261,339949,Form of migration: All households
รูปแบบการย้ายถิ่น: ย้ายมาบางส่วนของครัวเรือน,73303,91912,136415,Form of migration: Part of the households
รูปแบบการย้ายถิ่น: ย้ายมาคนเดียว,395067,434667,505157,Form of migration: Alone
กระแสการย้ายถิ่น: ย้ายเข้าเขตเมือง,299910,435792,500267,Migration stream: To urban
กระแสการย้ายถิ่น: ย้ายเข้าเขตชนบท,367116,373048,481254,Migration stream: To rural
,,,,
ที่มา: การสำรวจการย้ายถิ่นของประชากร สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,
"Source: The Migration Survey, National Statistical Office,  Ministry of Digital Economy and Society",,,,
