ตาราง 1.2 ดัชนีชี้วัดที่สำคัญของประชากร พ.ศ. 2543 2553 และ 2558 ,,,,
"Table 1.2 Key Indicators of The Population: 2000, 2010 and 2015",,,,
,,,,
รายการ,2543 (2000) (1),2553 (2010) (1),2558 (2015) (2),Item
จำนวนครัวเรือน (ล้านครัวเรือน),15.9,20.5,21.3,Number of household  (Million households)
ขนาดครัวเรือนเฉลี่ย (คน),3.8,3.1,3.1,Average household size (person)
จำนวนประชากร (ล้านคน),60.9,66.0,67.2,Number of population (Million persons)
เขตการปกครองในเขตเทศบาล,19.0,29.1,29.9,Administration zone Municipal area
เขตการปกครองนอกเขตเทศบาล,41.9,36.8,37.3,Administration zone Non-municipal area
เพศชาย,30.0,32.4,32.8,Male
เพศหญิง,30.9,33.6,34.4,Female
กรุงเทพมหานคร,6.4,8.3,8.6,Bangkok
ภาคกลาง (ไม่รวม กทม.),14.2,18.2,19.2,Central region (Excluding BKK.)
ภาคเหนือ,11.4,11.7,11.5,Northern region
ภาคตะวันออกเฉียงเหนือ,20.8,19.0,18.7,Northeastern region
ภาคใต้,8.1,8.9,9.2,Southern region
สัญชาติไทย,60.2,63.3,65.5,Nationality Thai
สัญชาติอื่นๆ,0.7,2.7,1.7,Nationality Others
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 1   กรุงเทพมหานคร,6.4,8.3,8.6,Top ten provinces of population No. 1 Bangkok
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 2   นครราชสีมา,2.6,2.5,      D,Top ten provinces of population No. 2 Nakhon Ratchasima
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 3 สมุทรปราการ,1.0,1.8,      D,Top ten provinces of population No. 3 Samut Prakan
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 4  อุบลราชธานี,1.7,1.7,      D,Top ten provinces of population No. 4 Ubon Ratchathani
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 5   ขอนแก่น,1.7,1.7,      D,Top ten provinces of population No. 5 Khon Kaen
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 6   เชียงใหม่,1.5,1.7,      D,Top ten provinces of population No. 6 Chiang Mai
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 7 ชลบุรี,1.0,1.6,      D,Top ten provinces of population No. 7 Chon Buri
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 8 สงขลา,1.3,1.5,      D,Top ten provinces of population No. 8 Songkha
จังหวัดที่มีประชากรมากที่สุด อันดับที่ 9 นครศรีธรรมราช,1.5,1.5,      D,Top ten provinces of population No. 9 Nakhon Si Thammarat
 จังหวัดที่มีประชากรมากที่สุด อันดับที่ 10  นนทบุรี,0.8,1.3,      D,Top ten provinces of population No. 10 Nonthaburi
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน),118.7,128.6,131.0,Density per sq.km. (person)
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน) กรุงเทพมหานคร,4051.1,5293.3,5498.3,Density per sq.km. (person) in Bangkok
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน) ภาคกลาง (ไม่รวม กทม.),138.9,177.9,188.0,Density per sq.km. (person) in Central region (Excluding BKK.)
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน) ภาคเหนือ,67.4,68.7,67.7,Density per sq.km. (person) in Northern region
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน) ภาคตะวันออกเฉียงเหนือ,123.3,112.3,110.9,Density per sq.km. (person) in Northeastern region
ความหนาแน่นของประชากร ต่อ 1 ตารางกิโลเมตร (คน) ภาคใต้,114.4,125.4,129.5,Density per sq.km. (person) in Southern region
,,,,
(1) สำมะโนประชากรและเคหะ,,,,
(1) The Population and Housing Census,,,,
(2) การสำรวจการเปลี่ยนแปลงของประชากร พ.ศ. 2558 - 2559,,,,
(2) The  2015 - 2016 Survey of Population Change,,,,
ที่มา: สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,
"Source: National Statistical Office, Ministry of Digital of Economy and Society",,,,
