ตาราง 1.20 คนเข้ามาในประเทศ จำแนกตามสัญชาติ พ.ศ. 2564 - 2566,,,,,,,
Table1.20 Arrivals by Nationality: 2021 - 2023,,,,,,,
,,,,,,,
สัญชาติ,จำนวน (Number)_2564 (2021),จำนวน (Number)_2565 (2022),จำนวน (Number)_2566 (2023),ร้อยละ (Percent)_2564 (2021),ร้อยละ (Percent)_2565 (2022),ร้อยละ (Percent)_2566 (2023),Nationality
รวมยอด,2115704,18967697,46907250,100.0,100.0,100.0, Total
ไทย,1112691,5857099,12804796,52.6,30.9,27.3,Thai
จีน,70128,347730,3878758,3.3,1.8,8.3,Chinese
มาเลเซีย,147363,2188497,5119866,7.0,11.5,10.9,Malaysian
ลาว,2572,926623,3139744,0.1,4.9,6.7,Lao
รัสเซีย,37905,458382,1608059,1.8,2.4,3.4,Russian
ญี่ปุ่น,47664,372245,994337,2.3,2.0,2.1,Japanese
อินเดีย,30668,1070238,1775544,1.4,5.6,3.8,Indian
เกาหลี (ใต้),24480,586362,1782362,1.2,3.1,3.8,Korea (South)
กัมพูชา,6414,653692,1405620,0.3,3.4,3.0,Cambodian
เมียนมา,23336,350742,672035,1.1,1.8,1.4,Myanmar
เยอรมัน,58349,389204,775163,2.8,2.1,1.7,German
ฝรั่งเศส,31546,289631,588940,1.5,1.5,1.3,Franch
บริติช,49362,472511,870904,2.3,2.5,1.9,British
อเมริกัน,50363,487440,1009171,2.4,2.6,2.2,American
ฟิลิปปินส์,69068,276097,637394,3.3,1.5,1.4,Philippines
เวียดนาม,16830,494912,1113992,0.8,2.6,2.4,Vietnamese
ไต้หวัน,6508,118419,805641,0.3,0.6,1.7,"Taiwanese, China"
สิงคโปร์,11172,636326,1063247,0.5,3.4,2.3,Singaporean
ออสเตรเลีย,12868,353449,724584,0.6,1.9,1.5,Australian
อินโดนีเซีย,21937,269440,850424,1.0,1.4,1.8,Indonesian
ฮ่องกง,2450,161208,821388,0.1,0.8,1.8,"Hong Kong, China"
สวีเดน,20875,103037,190827,1.0,0.5,0.4,Swedish
ดัตช์,30389,133853,249218,1.4,0.7,0.5,Dutch
เดนมาร์ก,9834,66950,121329,0.5,0.4,0.3,Danish
ฟินแลนด์,11023,45692,85107,0.5,0.2,0.2,Finnish
อื่น ๆ,209909,1857918,3818800,9.9,9.8,8.1,Others
,,,,,,,
ที่มา:  สำนักงานตรวจคนเข้าเมือง สำนักงานตำรวจแห่งชาติ,,,,,,,
"Source:  Immigration Bureau, Royal Thai Police",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,.,,,,,,
