ตาราง 1.21 คนออกไปนอกประเทศ จำแนกตามสัญชาติ พ.ศ. 2564 - 2566,,,,,,,
Table 1.21 Departures by Nationality: 2021 - 2024,,,,,,,
,,,,,,,
สัญชาติ,จำนวน (Number)_2564 (2021),จำนวน (Number)_2565 (2022),จำนวน (Number)_2566 (2023),ร้อยละ (Percent)_2564 (2021),ร้อยละ (Percent)_2565 (2022),ร้อยละ (Percent)_2566 (2023),Nationality
รวมยอด,1983751,18261127,46347455,100.0,100.0,100.0, Total
ไทย,1116594,6122179,12931241,56.3,33.5,27.9,Thai
จีน,72014,311014,3773526,3.6,1.7,8.1,Chinese
มาเลเซีย,146003,2136481,5109092,7.4,11.7,11.0,Malaysian
ลาว,26842,781786,3004217,1.4,4.3,6.5,Lao
รัสเซีย,18293,339702,1591446,0.9,1.9,3.4,Russian
ญี่ปุ่น,50466,356284,981369,2.5,2.0,2.1,Japanese
เมียนมา,24742,220413,577989,1.2,1.2,1.2,Myanmar
อินเดีย,35169,1028650,1756990,1.8,5.6,3.8,Indian
เกาหลี (ใต้),22347,559009,1769096,1.1,3.1,3.8,Korea (South)
เยอรมัน,34117,361132,752298,1.7,2.0,1.6,German
กัมพูชา,5807,616889,1335170,0.3,3.4,2.9,Cambodian
บริติช,31614,435788,855007,1.6,2.4,1.8,British
ฝรั่งเศส,22652,272977,574627,1.1,1.5,1.2,Franch
อเมริกัน,39101,456157,997393,2.0,2.5,2.2,American
ฟิลิปปินส์,69635,270468,629518,3.5,1.5,1.4,Philippines
เวียดนาม,16165,480171,1106168,0.8,2.6,2.4,Vietnamese
สวีเดน,7155,88733,187151,0.4,0.5,0.4,Swedish
ออสเตรเลีย,8082,327286,715127,0.4,1.8,1.5,Australian
สิงคโปร์,9247,622446,1061202,0.5,3.4,2.3,Singaporean
ไต้หวัน,7031,108620,796571,0.4,0.6,1.7,"Taiwanese, China"
อินโดนีเซีย,20835,256700,841380,1.1,1.4,1.8,Indonesian
ฮ่องกง,1980,148611,812316,0.1,0.8,1.8,"Hong Kong, China"
อิตาลี,6213,80965,199735,0.3,0.4,0.4,Italian
ดัตช์,25826,125088,244631,1.3,0.7,0.5,Dutch
เดนมาร์ก,5571,63423,119030,0.3,0.3,0.3,Danish
อื่น ๆ,160250,1690155,3625165,8.1,9.3,7.8,Others
,,,,,,,
ที่มา:  สำนักงานตรวจคนเข้าเมือง  สำนักงานตำรวจแห่งชาติ,,,,,,,
"Source:  Immigration Bureau, Royal Thai Police",,,,,,,
