ตาราง  1.22   ร้อยละของครัวเรือนส่วนบุคคล จำแนกตามลักษณะที่สำคัญของครัวเรือน และภาค พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,
Table  1.22 Percentage of Private Households by Selected Housing Characteristics and Region: 2022 - 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
รายการ,ลักษณะที่สำคัญของครัวเรือน,ทั่วราชอาณาจักร (Whole Kingdom)_2565 (2022),ทั่วราชอาณาจักร (Whole Kingdom)_2566 (2023),กรุงเทพมหานคร และ 3 จังหวัด (Greater Bangkok) (1)_2565 (2022),กรุงเทพมหานคร และ 3 จังหวัด (Greater Bangkok) (1)_2566 (2023),ภาคกลาง (Central Region)_2565 (2022),ภาคกลาง (Central Region)_2566 (2023),ภาคเหนือ (Northern Region)_2565 (2022),ภาคเหนือ (Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ (Northeastern Region)_2565 (2022),ภาคตะวันออกเฉียงเหนือ (Northeastern Region)_2566 (2023),ภาคใต้ (Southern Region)_2565 (2022),ภาคใต้ (Southern Region)_2566 (2023),Item,Selected housing characteristics
ประเภทของที่อยู่อาศัย,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Type of dwelling,Total
ประเภทของที่อยู่อาศัย,บ้านเดี่ยว,69.0,70.3,28.7,29.3,64.8,66.0,89.9,91.0,93.7,92.8,76.9,79.2,Type of dwelling,Detached house
ประเภทของที่อยู่อาศัย,ห้องแถว/ตึกแถว/อาคารพาณิชย์,13.1,13.3,19.2,16.0,20.9,23.5,5.2,6.5,3.2,4.5,17.3,15.6,Type of dwelling,Row house
ประเภทของที่อยู่อาศัย,ทาวน์เฮ้าส์/บ้านแฝด,7.6,7.8,19.5,24.3,9.7,7.6,0.8,0.6,0.3,0.4,4.3,3.7,Type of dwelling,Townhouse or twinhouse
ประเภทของที่อยู่อาศัย,ห้องชุด,9.5,7.7,29.6,27.1,4.5,2.7,3.9,1.7,2.7,2.3,1.3,1.3,Type of dwelling,Apartment or flat
ประเภทของที่อยู่อาศัย,ห้องภายในบ้าน,0.7,0.7,2.8,2.7,0.1,0.2,0.1,0.1,--,-,0.1,0.2,Type of dwelling,Room or rooms
ประเภทของที่อยู่อาศัย,ที่อยู่อาศัยชั่วคราว และอื่น ๆ,0.1,0.2,0.2,0.6,0.1,0.1,0.1,0.2,--,--,--,0.1,Type of dwelling,Improvised quarter and others
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Construction materials,Total
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,ตึก,70.4,70.6,89.2,88.0,77.8,78.4,52.7,53.4,51.7,53.0,81.4,82.5,Construction materials,"Cement, brick or stone"
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,ไม้,9.8,9.5,5.9,5.9,9.5,9.2,21.8,21.1,7.0,6.7,7.2,7.0,Construction materials,Wood
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,ครึ่งตึกครึ่งไม้,19.4,19.4,4.7,5.8,12.3,12.0,24.7,24.5,41.1,40.1,10.7,10.0,Construction materials,Brick and wood
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,วัสดุที่หาได้ตามท้องถิ่น,0.2,0.2,0.1,0.1,0.2,0.1,0.6,0.7,0.1,--,0.1,0.3,Construction materials,Local materials
ชนิดของวัสดุก่อสร้างที่อยู่อาศัย,วัสดุที่ใช้แล้ว และอื่น ๆ,0.2,0.2,0.1,0.3,0.3,0.2,0.4,0.4,0.1,0.1,0.6,0.3,Construction materials,Re-used materials and others
สถานภาพการครอบครองที่อยู่อาศัย,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Occupancy status,Total
สถานภาพการครอบครองที่อยู่อาศัย,เป็นเจ้าของบ้านและที่ดิน,70.3,70.9,43.1,45.4,64.1,63.4,83.1,82.1,90.3,90.3,77.1,77.0,Occupancy status,Owns dwelling and land
สถานภาพการครอบครองที่อยู่อาศัย,เป็นเจ้าของบ้านแต่เช่าที่ดิน,2.7,3.0,4.1,4.3,3.2,3.4,3.8,5.7,0.9,0.3,1.1,1.7,Occupancy status,Owns dwelling on rented land
สถานภาพการครอบครองที่อยู่อาศัย,บ้านเช่า,20.2,19.0,41.9,39.3,26.1,25.5,7.8,6.8,4.7,5.6,14.9,14.0,Occupancy status,Rent
สถานภาพการครอบครองที่อยู่อาศัย,อยู่โดยไม่เสียค่าใช้เช่า,6.8,7.1,10.9,11.0,6.5,7.8,5.2,5.4,4.1,3.8,7.0,7.3,Occupancy status,Occupied rented free and others
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Cooking fuel,Total
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,ไม่มีการหุงต้ม,10.0,9.7,16.3,15.4,11.8,11.7,10.5,9.0,4.3,4.2,5.6,7.4,Cooking fuel,No cooking
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,ถ่าน,5.6,5.3,0.5,0.3,2.8,2.7,7.1,7.7,14.4,12.8,1.0,1.2,Cooking fuel,Charcoal
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,ไม้,6.2,5.6,0.1,--,0.9,0.9,11.6,12.8,16.1,12.7,1.0,0.8,Cooking fuel,Wood
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,น้ำมันก๊าด,0.2,0.1,0.2,--,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,Cooking fuel,Kerosene
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,แก๊ส,72.3,72.8,70.6,69.5,79.0,78.4,68.3,67.7,61.7,66.2,88.9,87.5,Cooking fuel,Gas 
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,ไฟฟ้า,5.7,6.5,12.2,14.7,5.2,6.2,2.4,2.7,3.4,3.9,3.4,3.1,Cooking fuel,Electricity
เชื้อเพลิงที่ใช้ในการปรุงอาหาร,อื่น ๆ,-,-,-,-,--,-,-,--,-,-,-,-,Cooking fuel,Others
น้ำดื่ม,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Drinking water,Total
น้ำดื่ม,น้ำดื่มบรรจุขวด/ตู้น้ำดื่มหยอดเหรียญ,78.8,79.3,61.6,61.2,86.9,85.4,71.2,73.5,91.0,92.1,83.2,81.7,Drinking water,Bottle-water/Water from vending machine
น้ำดื่ม,น้ำประปาภายในบ้าน,1.9,2.0,0.2,0.1,1.2,2.0,6.4,5.3,0.6,1.0,3.3,2.6,Drinking water,Inside piped water-supply
น้ำดื่ม,น้ำบ่อ/บาดาลภายในบ้าน,0.8,0.6,-,-,0.2,0.3,2.1,1.2,0.3,0.2,2.3,2.6,Drinking water,Inside piped underground water
น้ำดื่ม,น้ำประปานอกบ้าน,--,0.1,-,-,-,--,0.1,0.2,--,--,0.1,0.3,Drinking water,Outside piped or public tap
น้ำดื่ม,น้ำบ่อ/บาดาลนอกบ้าน,0.5,0.7,-,-,0.1,0.2,0.3,0.4,0.3,0.3,3.0,3.8,Drinking water,Well or underground water
น้ำดื่ม,น้ำจากแม่น้ำ/ลำธาร/คลอง/น้ำตก,0.2,0.5,-,-,--,--,1.1,2.2,--,--,0.2,0.7,Drinking water,"River, stream etc."
น้ำดื่ม,น้ำฝน,3.1,2.7,--,0.1,3.6,3.2,3.7,3.3,5.7,4.4,2.3,2.3,Drinking water,Rain water 
น้ำดื่ม,น้ำประปาผ่านการบำบัด (ต้ม/กรอง),14.5,14.2,38.2,38.6,7.9,9.0,15.1,14.0,2.0,2.0,5.6,5.9,Drinking water,Treated tap water (Boiled/Filtered)
น้ำดื่ม,อื่น ๆ,0.1,--,-,-,-,--,0.2,--,0.1,--,0.2,0.2,Drinking water,Others
การใช้น้ำ,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Water supply,Total
การใช้น้ำ,น้ำประปาภายในบ้าน,90.1,90.1,99.9,99.8,95.4,94.1,84.2,86.4,86.9,89.0,75.6,72.5,Water supply,Inside piped water-supply
การใช้น้ำ,น้ำบ่อ/น้ำบาดาลภายในบ้าน,6.3,6.1,--,--,3.0,4.2,11.6,7.8,10.6,9.4,8.6,11.2,Water supply,Inside piped underground water
การใช้น้ำ,น้ำประปานอกบ้าน,0.4,0.5,--,-,0.1,0.7,0.1,0.1,0.4,0.5,2.4,1.6,Water supply,Outside piped public tap
การใช้น้ำ,น้ำบ่อ/น้ำบาดาลนอกบ้าน,1.9,1.8,-,0.1,0.6,0.5,0.9,1.0,1.4,0.8,10.1,10.1,Water supply,Well or underground water
การใช้น้ำ,น้ำจากแม่น้ำ/ลำธาร/คลอง/น้ำตก,0.9,1.3,-,-,0.5,0.4,2.5,4.3,0.3,0.1,2.3,3.4,Water supply,"River, stream etc."
การใช้น้ำ,น้ำฝน,0.1,0.1,-,-,0.1,0.1,0.1,--,0.2,0.1,0.4,0.5,Water supply,Rain water 
การใช้น้ำ,น้ำประปาผ่านการบำบัด (ต้ม/กรอง),0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.1,--,0.1,0.2,Water supply,Treated tap water (Boiled/Filtered)
การใช้น้ำ,อื่น ๆ,0.2,0.1,-,-,0.1,--,0.4,0.1,0.1,--,0.5,0.5,Water supply,Others
การใช้ส้วม,รวม,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Toilet facilities,Total
การใช้ส้วม,ไม่มีส้วม,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,Toilet facilities,No facility nearby
การใช้ส้วม,ส้วมแบบนั่งห้อยเท้า,60.4,61.9,85.4,89.3,66.3,68.4,57.7,56.2,41.1,44.4,43.7,43.7,Toilet facilities,Flush latrine
การใช้ส้วม,ส้วมแบบนั่งยอง,33.9,32.5,13.8,9.8,28.7,27.3,33.2,34.4,50.0,46.7,51.1,50.8,Toilet facilities,Squat
การใช้ส้วม,ส้วมแบบนั่งห้อยเท้าและส้วมแบบนั่งยอง,5.5,5.5,0.7,0.8,4.8,4.1,9.0,9.1,8.6,8.7,4.9,5.2,Toilet facilities,Both flush and squat
การใช้ส้วม,ส้วมหลุม ถัง บ่อปลา ถ่ายลงแม่น้ำ ลำคลองหรือส้วมลักษณะอื่น ๆ,--,--,-,--,--,-,-,--,--,-,-,-,Toilet facilities,Pit or bucket or discharge into water and others
วิธีกำจัดขยะภายในครัวเรือน (2),เก็บรวบรวมให้พนักงานนำไปทิ้ง,78.4,78.2,99.7,99.9,85.4,85.7,65.6,66.3,64.2,64.5,70.1,68.5,Method of getting rid of  household garbage (2),Take to public cleansing services
วิธีกำจัดขยะภายในครัวเรือน (2),เผา,26.6,25.8,0.2,0.3,17.4,16.7,37.4,34.6,45.7,43.2,40.9,41.0,Method of getting rid of  household garbage (2),Burn
วิธีกำจัดขยะภายในครัวเรือน (2),ฝังกลบ,2.9,2.7,0.2,0.1,0.9,0.7,6.4,6.5,4.4,4.2,3.7,3.1,Method of getting rid of  household garbage (2),Bury
วิธีกำจัดขยะภายในครัวเรือน (2),นำไปเลี้ยงสัตว์,0.1,0.1,-,-,0.2,0.2,0.4,0.4,--,0.1,--,-,Method of getting rid of  household garbage (2),Feed animals
วิธีกำจัดขยะภายในครัวเรือน (2),ทำปุ๋ยหมัก,0.3,0.4,0.1,--,0.1,0.1,0.4,0.7,0.7,0.9,0.3,0.4,Method of getting rid of  household garbage (2),Fertilizer ferment
วิธีกำจัดขยะภายในครัวเรือน (2),ทิ้งลงแม่น้ำ ลำคลอง ที่สาธารณะ และอื่น ๆ,1.7,2.2,0.2,0.2,0.4,0.9,4.5,5.6,3.2,3.5,0.6,1.4,Method of getting rid of  household garbage (2),"Throwing in river, canal, public area and others"
,,,,,,,,,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,,,,,,,,,,
"(1) Including Nonthaburi, Pathum Thani and Samut Prakan ",,,,,,,,,,,,,,,
