ตาราง 1.3 ประชากรจากการทะเบียน จำแนกตามเพศ พ.ศ. 2542 - 2566,,,,,
Table 1.3 Population from Registration Record by Sex: 1999 - 2023,,,,,
,,,,,
ปี,Year,รวมยอด (Total),ชาย (Male),หญิง (Female),อัตราเพิ่ม (Growth rate)
2542,1999,61661701,30650172,31011529,0.32
2543,2000,61878746,30725016,31153730,0.35
2544,2001,62308887,30913485,31395402,0.69
2545,2002,62799872,31139647,31660225,0.78
2546,2003,63079765,31255350,31824415,0.44
2547 (1),2004 (1),61973621,30616790,31356831,-1.77
2548,2005,62418054,30818629,31599425,0.71
2549,2006,62828706,31007857,31820849,0.66
2550,2007,63038247,31095942,31942305,0.33
2551,2008,63389730,31255869,32133861,0.56
2552,2009,63525062,31293096,32231966,0.21
2553,2010,63878267,31451801,32426466,0.55
2554,2011,64076033,31529148,32546885,0.31
2555,2012,64456695,31700727,32755968,0.59
2556,2013,64785909,31845971,32939938,0.51
2557,2014,65124716,31999008,33125708,0.52
2558,2015,65729098,32280886,33448212,0.92
2559,2016,65931550,32357808,33573742,0.31
2560,2017,66188503,32464906,33723597,0.39
2561,2018,66413979,32556271,33857708,0.34
2562,2019,66558935,32605100,33953835,0.22
2563 (1),2020 (1),66186727,32375532,33811195,-0.56
2564,2021,66171439,32339118,33832321,-0.02
2565,2022,66090475,32270615,33819860,-0.12
2566,2023,66052615,32224008,33828607,-0.06
,,,,,
(1)  กรมการปกครองมีการปรับปรุงแก้ไข และจำหน่ายรายการบุคคลในทะเบียนบ้านกลาง  ทั่วราชอาณาจักร และโครงการตรวจสอบแก้ไขรายการบุคคลในทะเบียนบ้าน กรณีชื่อเกิน และซ้ำซ้อน,,,,,
"(1) The Department of Provincial Administration, has reviewed, made necessary correction and properly deal with double counting of the figure on Thailand's total population, therefore, the accurate figure of the country's total population has been accordingly attained.",,,,,
ที่มา: กรมการปกครอง  กระทรวงมหาดไทย,,,,,
"Source: Department of Provincial Administration, Ministry of Interior",,,,,
,,,,,
, ,,,,
