ตาราง 1.4 ประชากรจากการทะเบียน จำแนกตามกลุ่มอายุ และเพศ พ.ศ. 2565 - 2566,,,,,,,
Table 1.4 Population from Registration Record by Age Group and Sex: 2022 - 2023,,,,,,,
,,,,,,,
กลุ่มอายุ (ปี),2565 (2022)_รวมยอด (Total),2565 (2022)_ชาย (Male),2565 (2022)_หญิง (Female),2566 (2023)_รวมยอด (Total),2566 (2023)_ชาย (Male),2566 (2023)_หญิง (Female),Age group (year)
รวมยอด,66090475,32270615,33819860,66052615,32224008,33828607,Total
  0 -   4,2900560,1492905,1407655,2758022,1419132,1338890,  0 -   4
  5 -   9,3725691,1915493,1810198,3600970,1850936,1750034,  5 -   9
10 - 14.,3980113,2046141,1933972,3965281,2038420,1926861,10 - 14.
15 - 19,4037251,2071328,1965923,4029539,2067590,1961949,15 - 19
20 - 24,4208166,2150421,2057745,4102016,2097432,2004584,20 - 24
25 - 29,4868406,2478056,2390350,4807958,2447813,2360145,25 - 29
30 - 34,4697744,2376036,2321708,4756119,2406291,2349828,30 - 34
35 - 39,4705945,2353252,2352693,4607821,2307815,2300006,35 - 39
40 - 44,5111313,2529779,2581534,5074334,2513547,2560787,40 - 44
45 - 49,5151234,2506238,2644996,5119585,2494417,2625168,45 - 49
50 - 54,5183898,2469218,2714680,5118254,2441366,2676888,50 - 54
55 - 59,4821792,2259674,2562118,4919469,2303050,2616419,55 - 59
60 - 64,4062519,1876389,2186130,4197897,1939333,2258564,60 - 64
65 - 69,3057752,1382169,1675583,3180499,1435624,1744875,65 - 69
70 - 74,2323276,1025630,1297646,2419901,1064560,1355341,70 - 74
75 - 79,1420190,609693,810497,1512811,648718,864093,75 - 79
80 - 84,947577,385842,561735,954310,388678,565632,80 - 84
85 - 89,547086,209195,337891,567917,217747,350170,85 - 89
90 - 94,230839,85839,145000,241425,89703,151722,90 - 94
95 - 99,72245,29061,43184,77257,31020,46237,95 - 99
100 และมากกว่า,36845,18241,18604,41200,20802,20398,100 and over 
ไม่ทราบ,33,15,18,30,14,16,Unknown
,,,,,,,
ที่มา:  กรมการปกครอง  กระทรวงมหาดไทย,,,,,,,
"Source:  Department of Provincial Administration,  Ministry of Interior",,,,,,,
