ตาราง  1.7  ประมาณการประชากร (1 ก.ค.) จำแนกตามกลุ่มอายุ และเพศ พ.ศ. 2567 - 2569,,,,,,,,,
Table  1.7 Population Projections (1 July) by Age Group and Sex: 2024 - 2026,,,,,,,,,
,,,,,,,,,
,,,,,,,,,(พันคน  Thousand persons)
กลุ่มอายุ (ปี) (Age group (year)),2567 (2024)_รวมยอด (Total),2567 (2024)_ชาย (Male),2567 (2024)_หญิง (Female),2568 (2025)_รวมยอด (Total),2568 (2025)_ชาย (Male),2568 (2025)_หญิง (Female),2569 (2026)_รวมยอด (Total),2569 (2026)_ชาย (Male),2569 (2026)_หญิง (Female)
ประชากรทั้งสิ้น (Grand Total),70213,32273,34741,70366,32289,34800,70499,32295,34849
รวมยอด (Total) (1),67015,32273,34741,67089,32289,34800,67143,32295,34849
  0 -   4,3366,1723,1644,3317,1697,1619,3266,1671,1595
  5 -   9,3598,1840,1757,3552,1817,1735,3505,1793,1712
10 - 14.,3779,1933,1845,3768,1927,1842,3726,1905,1820
15 - 19,3967,2030,1937,3890,1992,1898,3854,1973,1880
20 - 24,4326,2203,2123,4253,2168,2085,4180,2132,2048
25 - 29,4594,2328,2266,4557,2312,2245,4510,2290,2220
30 - 34,4570,2299,2271,4609,2322,2287,4627,2334,2293
35 - 39,4378,2185,2193,4374,2187,2187,4397,2202,2195
40 - 44,4702,2319,2382,4597,2273,2324,4510,2235,2275
45 - 49,5172,2519,2653,5113,2494,2619,5024,2456,2568
50 - 54,5261,2530,2731,5208,2509,2699,5174,2497,2677
55 - 59,5288,2496,2792,5316,2513,2804,5308,2512,2795
60 - 64,4610,2118,2492,4726,2174,2552,4835,2227,2609
65 - 69,3682,1619,2063,3805,1675,2131,3932,1733,2200
70 - 74,2638,1084,1553,2780,1142,1638,2910,1195,1714
75 - 79,1559,582,977,1649,614,1034,1757,654,1103
80 - 84,884,293,591,919,302,617,956,312,644
85 - 89,425,122,303,434,123,311,448,125,323
90 - 94,170,40,130,174,40,134,177,40,137
95 และมากกว่า (95 and over),45,8,37,48,8,40,51,8,42
ประชากรที่ไม่ใช่สัญชาติไทย (Non-Thais) (2),3199,X,X,3277,X,X,3356,X,X
,,,,,,,,,
,,,,,,,,,
(1) ประชากรสัญชาติไทยและไม่ใช่สัญชาติไทยแต่มีชื่อในทะเบียนบ้าน,,,,,,,,,
(1) Thais and non-Thais whose names are in household registration.,,,,,,,,,
(2) ประชากรไม่ใช่สัญชาติไทย ไม่มีชื่อในทะเบียนบ้าน และไม่สามารถจำแนกเพศ,,,,,,,,,
(2) Non-Thais whose names are not in household registration and can not classify sex.,,,,,,,,,
หมายเหตุ: รายงานการคาดประมาณประชากรของประเทศไทย 2553 - 2583 (ฉบับปรับปรุง) ตามข้อสมมติภาวะเจริญพันธุ์ระดับปานกลาง,,,,,,,,,
Note: Report of the population projections for Thailand 2010 - 2040 (Revision) medium fertility assumption,,,,,,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,,,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,,,,,,
