ตาราง 10.14 ผลิตภัณฑ์ภาค และจังหวัด จำแนกตามราคาประจำปี พ.ศ. 2563 - 2565,,,,,,,,,
Table 10.14 Gross Regional and Provincial Product by Current Market Prices: 2020 - 2022,,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,2563 (2020)_ผลิตภัณฑ์ภาคและจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2564 (2021)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2565 (2022)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2563 (2020)_ต่อคน(บาท)  (Per capita)(Baht) (1) ,2564 (2021)_ต่อคน(บาท)  (Per capita)(Baht)(1),2565 (2022)_ต่อคน(บาท)  (Per capita)(Baht) (1),Region,Province
ทั่วราชอาณาจักร,รวม,15661294,16188611,17378017,225313,232302,248789,Whole Kingdom,Total
กรุงเทพมหานครและปริมณฑล,รวม,7462479,7568840,8096340,436529,438753,465327,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,5309305,5365474,5746918,590006,593941,634109,Bangkok and Vicinities,Bangkok
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,635859,651489,724173,282609,284671,311251,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,349601,351347,369103,196276,194110,200764,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,417977,417687,448596,233986,230242,243639,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,345355,362128,367247,284467,294759,295404,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,404382,420715,440303,379778,391063,405187,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,836406,883991,901679,263438,278596,284408,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,394740,427211,418104,432614,467116,456286,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,31280,30706,31947,126419,124745,130469,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,106339,110474,119243,137222,142811,154449,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,26040,26280,27932,139027,141412,151441,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,36302,39539,42627,124776,136626,148039,Central Region,Chai Nat
ภาคกลาง,สระบุรี,241704,249781,261825,317243,327155,342370,Central Region,Saraburi
ภาคตะวันออก,รวม,2681378,2946418,3281703,435306,470492,515683,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,894587,1008150,1173449,473058,523372,598448,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,854642,963888,1083867,829261,913165,1003497,Eastern Region,Rayong
