ตาราง 10.15 ผลิตภัณฑ์ภาค และจังหวัด จำแนกตามแบบปริมาณลูกโซ่ (ปีอ้างอิง พ.ศ. 2545) พ.ศ. 2563 - 2565,,,,,,,,,
Table 10.15 Gross Regional and Provincial Product by Chain Volume Measures (Reference Year = 2002): 2020 - 2022,,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,2563 (2020)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2564 (2021)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2565 (2022)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2563 (2020)_ต่อคน(บาท)  (Per capita)(Baht) (1) ,2564 (2021)_ต่อคน(บาท)  (Per capita)(Baht) (1),2565 (2022)_ต่อคน(บาท)  (Per capita)(Baht) (1),Region,Province
ทั่วราชอาณาจักร,รวม,10258695,10419570,10676180,147588,149518,152843,Whole Kingdom,Total
กรุงเทพมหานครและปริมณฑล,รวม,5328369,5357470,5552720,311691,310564,319136,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,3742439,3760608,3894585,415885,416287,429724,Bangkok and Vicinities,Bangkok
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,503086,507759,552999,223598,221868,237680,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,245599,245056,251123,137886,135387,136592,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,296974,294839,309255,166248,162525,167961,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,228662,234638,230257,188348,190987,185212,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,295807,298609,301648,277809,277562,277591,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,567349,594933,581734,178695,187498,183491,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,298440,321039,305523,327074,351026,333423,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,18324,17791,17942,74057,72275,73275,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,61098,62608,64364,78842,80934,83367,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,15438,15476,15977,82421,83275,86622,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,19725,20965,22216,67797,72443,77153,Central Region,Chai Nat
ภาคกลาง,สระบุรี,151333,155535,152088,198629,203715,198874,Central Region,Saraburi
ภาคตะวันออก,รวม,1675216,1748812,1786706,271962,279255,280761,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,563167,601667,639629,297803,312350,326205,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,489764,498985,483578,475219,472727,447720,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,59510,57896,68274,106038,102378,119813,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,26333,24820,29750,96653,90212,107116,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,244649,283528,306431,285272,324141,343616,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,278052,271499,239386,435595,419670,365235,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,18427,18149,18654,70555,69183,70784,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,28279,28840,29739,43687,43963,44750,Eastern Region,Sa Kaeo
ภาคตะวันตก,รวม,330803,338993,347677,90301,92586,95030,Western Region,Total
ภาคตะวันตก,ราชบุรี,96282,97735,97065,118561,120459,119763,Western Region,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,63197,64552,68943,75991,77522,82721,Western Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,48958,50028,52966,57485,58845,62420,Western Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,16190,16965,16555,90315,95329,93701,Western Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,42809,43657,45647,85454,86998,90833,Western Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,63932,66928,67446,131083,137324,138513,Western Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,674367,682259,692099,59553,60524,61685,Northern Region,Total
ภาคเหนือ,เชียงใหม่,142181,140477,142100,78936,78109,79160,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,50468,54597,56707,128125,139530,145900,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,40889,42117,41689,58099,60304,60159,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,21204,22363,22981,51899,55226,57270,Northern Region,Uttaradit
ภาคเหนือ,แพร่,17641,17372,17255,46710,46639,46971,Northern Region,Phrae
ภาคเหนือ,น่าน,18684,18943,19384,42353,43135,44346,Northern Region,Nan
ภาคเหนือ,พะเยา,17401,17505,17826,46743,47709,49291,Northern Region,Phayao
ภาคเหนือ,เชียงราย,52075,52818,54106,45418,46256,47586,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,7593,7787,7539,31791,32364,31112,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,58780,58383,60162,63859,64012,66567,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,13979,15586,16296,50590,56881,59983,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,64755,63865,65802,82929,81809,84333,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,32501,31352,30350,60784,58541,56601,Northern Region,Tak
ภาคเหนือ,สุโขทัย,25685,26511,27192,42119,43608,44874,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,48924,51353,51209,54631,57393,57295,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,22096,22141,22890,43250,43661,45479,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,41528,41134,40935,45575,45384,45413,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,965981,1001148,1004234,52360,54490,54890,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,184361,195307,196862,73544,78052,78833,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,54265,56841,57793,44839,47311,48460,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,49511,49863,49115,46778,47498,47173,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,42159,42721,42463,44117,45260,45536,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,78645,81050,81152,45334,46780,46909,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,17485,18309,18234,38405,40552,40730,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,39294,40637,40271,42195,43885,43742,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,11532,12332,12288,40908,43802,43708,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,17337,18288,18205,36548,38707,38690,Northeastern Region,Nong Bua Lam Phu
