ตาราง 11.2 ลักษณะการถือครองที่ดินทางการเกษตร จำแนกตามภาค และจังหวัด พ.ศ. 2565,,,,,,
Table 11.2 Type of Agricultural Landholding by Region and Province: 2022,,,,,,
,,,,,,
,,,,,,(ไร่  Rai)
ภาค,จังหวัด,เนื้อที่ทั้งหมด (Total Land),เนื้อที่ของตนเอง (Owner),เนื้อที่ของคนอื่น (Others),Region,Province
ทั่วราชอาณาจักร,รวมทั้งหมด,147727451,71572262,76155189,Whole Kingdom,total
ภาคกลาง,รวมทั้งหมด,27887087,9732291,18154796,Central Region,total
ภาคกลาง,กรุงเทพมหานคร,217177,133042,84135,Central Region,Bangkok
ภาคกลาง,สมุทรปราการ,218451,125226,93225,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,168611,33161,135450,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,510221,69843,440378,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,866785,503054,363731,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,254045,136543,117502,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,1066891,291530,775361,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,390786,214214,176572,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,2456619,709964,1746655,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,395100,168458,226642,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,1253067,618917,634150,Central Region,Chai Nat
ภาคกลาง,สระบุรี,1055498,691680,363818,Central Region,Saraburi
ภาคกลาง,ชลบุรี,1408269,291089,1117180,Central Region,Chon Buri
ภาคกลาง,ระยอง,1234306,567493,666813,Central Region,Rayong
ภาคกลาง,จันทบุรี,1684214,484346,1199868,Central Region,Chanthaburi
ภาคกลาง,ตราด,807484,408784,398700,Central Region,Trat
ภาคกลาง,ฉะเชิงเทรา,1631285,97226,1534059,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,1149264,591275,557989,Central Region,Prachin Buri
ภาคกลาง,นครนายก,723881,289934,433947,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,2134816,245375,1889441,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,1167742,388253,779489,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,2345428,778594,1566834,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,2341382,1065229,1276153,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,155732,121601,34131,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,885348,296498,588850,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,1364685,410962,953723,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวมทั้งหมด,31784826,12009113,19775713,Northern Region,total
ภาคเหนือ,เชียงใหม่,1739952,616541,1123411,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,648249,264606,383643,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,988597,689375,299222,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,1270425,546133,724292,Northern Region,Uttaradit
ภาคเหนือ,แพร่,717420,277233,440187,Northern Region,Phrae
ภาคเหนือ,น่าน,1465287,381968,1083319,Northern Region,Nan
ภาคเหนือ,พะเยา,1245698,612668,633030,Northern Region,Phayao
ภาคเหนือ,เชียงราย,2678321,1578197,1100124,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,426041,256952,169089,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,4363373,1692614,2670759,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,1547064,585065,961999,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,3202436,701088,2501348,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,1325511,236767,1088744,Northern Region,Tak
ภาคเหนือ,สุโขทัย,1966630,856624,1110006,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,2782639,911736,1870903,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,2079887,956754,1123133,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,3337296,844792,2492504,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวมทั้งหมด,64291805,37331252,26960553,Northeastern Region,total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,7666482,3584872,4081610,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,4224928,2280423,1944505,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,4078264,2341834,1736430,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,4101836,2378011,1723825,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,5837352,3567579,2269773,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,1824675,1163614,661061,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,3664193,1882012,1782181,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,1564372,1138586,425786,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,1638847,500547,1138300,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,1454074,606854,847220,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,3874033,2913374,960659,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,4438844,2540314,1898530,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,2654793,924751,1730042,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,1300224,787602,512622,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,2788970,2307049,481921,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,3719571,2666487,1053084,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,2755663,1960061,795602,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,3279379,1286024,1993355,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,2193598,1811890,381708,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,1231707,689368,542339,Northeastern Region,Mukdahan
ภาคใต้,รวมทั้งหมด,23763733,12499606,11264127,Southern Region,total
ภาคใต้,นครศรีธรรมราช,3387071,1970219,1416852,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,1926083,763400,1162683,Southern Region,Krabi
ภาคใต้,พังงา,947570,663988,283582,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,234247,120226,114021,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,4209937,1602498,2607439,Southern Region,Surat Thani
ภาคใต้,ระนอง,638009,138114,499895,Southern Region,Ranong
ภาคใต้,ชุมพร,2356233,1009443,1346790,Southern Region,Chumphon
ภาคใต้,สงขลา,2691086,1668173,1022913,Southern Region,Songkhla
ภาคใต้,สตูล,737719,219868,517851,Southern Region,Satun
ภาคใต้,ตรัง,1755366,889808,865558,Southern Region,Trang
ภาคใต้,พัทลุง,1354594,755528,599066,Southern Region,Phatthalung
