ตาราง 11.3 เนื้อที่ใช้ประโยชน์ทางการเกษตร จำแนกตามภาค และจังหวัด พ.ศ. 2565,,,,,,,,
Table 11.3 Agricultural Landuse by Region and Province: 2022,,,,,,,,
,,,,,,,,
,,,,,,,,(ไร่  Rai)
ภาค,จังหวัด,นาข้าว (Paddy land),พืชไร่ (Upland field crop),สวนไม้ผล ไม้ยืนต้น (Fruit trees and perennial trees),"สวนผัก ไม้ดอก/ไม้ประดับ (Vegetable, cut flowers and ornamental plant) ",อื่นๆ (Others),Region,Province
ทั่วราชอาณาจักร,รวมทั้งหมด,64076157,29623668,40069113,1083744,12874769,Whole Kingdom,total
ภาคกลาง,รวมทั้งหมด,9018190,6898261,7078486,477800,4414350,Central Region,total
ภาคกลาง,กรุงเทพมหานคร,91860,-,7518,5167,112632,Central Region,Bangkok
ภาคกลาง,สมุทรปราการ,21380,-,5633,-,191438,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,95316,-,17203,12332,43760,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,331513,-,36877,17720,124111,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,307153,90651,60702,109318,298961,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,5252,-,69042,8791,170960,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,873273,270,30613,6742,155993,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,312544,22581,23991,5295,26375,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,830603,1454779,30095,4537,136605,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,337453,21971,6881,1310,27485,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,859290,295649,24914,1911,71303,Central Region,Chai Nat
ภาคกลาง,สระบุรี,360401,385208,64541,6915,238433,Central Region,Saraburi
ภาคกลาง,ชลบุรี,85661,336462,764771,4405,216970,Central Region,Chon Buri
ภาคกลาง,ระยอง,20691,76646,1084464,1466,51039,Central Region,Rayong
ภาคกลาง,จันทบุรี,25421,27861,1457403,6100,167429,Central Region,Chanthaburi
ภาคกลาง,ตราด,17317,8076,780480,1274,337,Central Region,Trat
ภาคกลาง,ฉะเชิงเทรา,615783,245257,365347,8807,396091,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,432525,188140,165597,11565,351437,Central Region,Prachin Buri
ภาคกลาง,นครนายก,389415,862,45297,5333,282974,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,759973,928669,382670,5132,58372,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,261380,321564,191931,73091,319776,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,375566,1394497,249508,140759,185098,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,1281796,785783,41110,23689,209004,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,2414,-,90860,2502,59956,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,298354,87802,180461,8272,310459,Central Region,Phetchaburi
