ตาราง 11.4 การปลูกข้าวนาปี จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,
Table   11.4 Major Rice Cultivation by Region and Province: 2022 - 2023,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022) (r)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2565 (2022) (r)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2565 (2022) (r)_ผลผลิต (ตัน) (Production (Ton)),2565 (2022) (r)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),2566 (2023) (f)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2566 (2023) (f)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2566 (2023) (f)_ผลผลิต (ตัน) (Production (Ton)),2566 (2023) (f)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),Region,Province
ทั่วราชอาณาจักร,รวมทั้งหมด,62838047,59491825,26711735,449,61927890,58411759,25569408,438,Whole Kingdom,total
ภาคกลาง,รวมทั้งหมด,8621715,8489129,5117877,603,8503030,8266672,4934253,597,Central Region,total
ภาคกลาง,กรุงเทพมหานคร,81743,81260,55216,679,80980,80056,54293,678,Central Region,Bangkok
ภาคกลาง,สมุทรปราการ,16931,16867,12667,751,16030,15890,11797,742,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,82839,82744,57549,696,82360,82198,56445,687,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,295153,294221,212963,724,300170,296267,210730,711,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,257472,256002,193389,755,256780,255522,191411,749,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,3857,3837,2700,704,3750,3727,2614,701,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,813855,802112,533188,665,824600,814224,541898,666,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,344353,333527,232412,697,350140,339950,237264,698,Central Region,Ang Thong
