ตาราง 11.5 การปลูกข้าวนาปรัง จำแนกตามภาค และจังหวัด พ.ศ. 2566 - 2567,,,,,,,,,,,
Table  11.5 Second Rice Cultivation by Region  and Province: 2023 - 2024,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2566 (2023) (p)_เนื้อที่เพาะปลูก (ไร่)  (Planted area (Rai)),2566 (2023) (p)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2566 (2023) (p)_ผลผลิต (ตัน) (Production (Ton)),2566 (2023) (p)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),2567 (2024) (f)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2567 (2024) (f)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2567 (2024) (f)_ผลผลิต (ตัน) (Production (Ton)),2567 (2024) (f)_ผลผลิตต่อไร่(กก.) (Yield per rai (Kg.)),Region,Province
ทั่วราชอาณาจักร,รวมทั้งหมด,10606128,10581029,6917771,654,9707632,9669438,6238365,645,Whole Kingdom,total
ภาคกลาง,รวมทั้งหมด,4614381,4605573,3236890,703,4145720,4132683,2859984,692,Central Region,total
ภาคกลาง,กรุงเทพมหานคร,74125,74000,48772,659,73259,73040,47701,653,Central Region,Bangkok
ภาคกลาง,สมุทรปราการ,13845,13749,9624,700,12891,12762,8612,675,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,76467,76433,55713,729,74762,74664,53779,720,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,202482,202269,146087,722,200780,200418,140762,702,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,226714,226410,176235,778,216274,215829,166211,770,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,2245,2239,1513,676,2110,2103,1418,674,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,658109,657375,488276,743,653843,653030,462199,708,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,235925,235871,158685,673,178307,177718,114581,645,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,354573,354154,229483,648,200681,200079,125726,628,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,194865,194625,131276,675,137473,137066,91262,666,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,409159,408699,271085,663,383758,382901,249649,652,Central Region,Chai Nat
ภาคกลาง,สระบุรี,154394,154055,102679,667,142372,141893,91488,645,Central Region,Saraburi
ภาคกลาง,ชลบุรี,33327,33191,22175,668,30978,30708,20308,661,Central Region,Chon Buri
ภาคกลาง,ระยอง,3250,3237,1775,548,3015,2974,1613,542,Central Region,Rayong
ภาคกลาง,ตราด,2565,2495,1347,540,2193,2118,1137,537,Central Region,Trat
ภาคกลาง,ฉะเชิงเทรา,305701,303876,205455,676,289932,287854,190851,663,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,123572,122603,76301,622,121278,120040,74600,621,Central Region,Prachin Buri
ภาคกลาง,นครนายก,158266,157149,104315,664,151821,150086,98562,657,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,31445,31192,19247,617,12287,11933,7480,627,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,152336,152180,107535,707,149746,149513,105079,703,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,175971,175617,126318,719,178242,177805,126815,713,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,862872,862361,638586,741,861076,859712,632062,735,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,1257,1251,872,697,1199,1184,830,701,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,147844,147717,105778,716,66095,65980,46472,704,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,13072,12825,7758,605,1348,1273,787,618,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวมทั้งหมด,3995634,3987140,2538202,637,3828440,3813366,2414888,633,Northern Region,total
ภาคเหนือ,เชียงใหม่,116578,115863,77613,670,108558,107270,71858,670,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,17391,17383,11621,669,8175,8055,5438,675,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,38883,38786,20856,538,30663,30368,16214,534,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,310294,307500,201081,654,296255,292490,189748,649,Northern Region,Uttaradit
ภาคเหนือ,แพร่,30511,30381,17704,583,30054,29911,17364,581,Northern Region,Phrae
ภาคเหนือ,น่าน,9821,9787,5589,571,9452,9332,5297,568,Northern Region,Nan
ภาคเหนือ,พะเยา,62105,62012,38280,617,58760,58554,35846,612,Northern Region,Phayao
ภาคเหนือ,เชียงราย,400524,399597,253671,635,391551,390482,245321,628,Northern Region,Chiang Rai
ภาคเหนือ,นครสวรรค์,613963,613913,418552,682,614485,612642,420030,686,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,106776,106759,68318,640,105050,104945,67398,642,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,502772,502772,316912,630,514558,514048,326202,635,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,14117,14041,7760,553,12082,11853,6582,555,Northern Region,Tak
ภาคเหนือ,สุโขทัย,485785,483066,277351,574,462219,459474,258844,563,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,713449,712615,445174,625,613951,612648,371157,606,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,535782,535782,355722,664,536217,534964,356590,667,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,36883,36883,21998,596,36410,36330,20999,578,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวมทั้งหมด,1907470,1899793,1094978,576,1647184,1637292,918796,561,Northeastern Region,total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,270262,269242,173528,645,88729,87493,53393,610,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,46676,46611,24214,519,36986,36914,18972,514,Northeastern Region,Buri Ram
