ตาราง 11.6 การปลูกพืชเศรษฐกิจที่สำคัญ จำแนกตามพืช พ.ศ. 2565 - 2567,,,,,,
Table 11.6 Major Crops Cultivation by Crops: 2022 - 2024,,,,,,
,,,,,,
รายการ,พืช,2565 (2022) ,2566 (2023) (r),2567 (2024) (f),item,Crop
เนื้อที่เพาะปลูก (ไร่),มันสำปะหลังโรงงาน,10861975,10511171,9392437,Planted area (Rai),Cassava
เนื้อที่เพาะปลูก (ไร่),อ้อยโรงงาน,-,-,-,Planted area (Rai),Sugarcane
เนื้อที่เพาะปลูก (ไร่),มันฝรั่ง,40365,40912,41274,Planted area (Rai),Potato
เนื้อที่เพาะปลูก (ไร่),หอมหัวใหญ่,9118,7955,7886,Planted area (Rai),Onion
เนื้อที่เพาะปลูก (ไร่),หอมแดง,57961,55830,55128,Planted area (Rai),Shallot
เนื้อที่เพาะปลูก (ไร่),กระเทียม,61799,54583,52756,Planted area (Rai),Garlic
เนื้อที่เก็บเกี่ยว (ไร่),มันสำปะหลังโรงงาน,9921058,9267954,8681765,Harvested area (Rai),Cassava
เนื้อที่เก็บเกี่ยว (ไร่),อ้อยโรงงาน,9531690,9463555,9485990,Harvested area (Rai),Sugarcane
เนื้อที่เก็บเกี่ยว (ไร่),มันฝรั่ง,38000,40693,41020,Harvested area (Rai),Potato
เนื้อที่เก็บเกี่ยว (ไร่),หอมหัวใหญ่,8804,7657,7712,Harvested area (Rai),Onion
เนื้อที่เก็บเกี่ยว (ไร่),หอมแดง,54184,55245,54960,Harvested area (Rai),Shallot
เนื้อที่เก็บเกี่ยว (ไร่),กระเทียม,61563,54534,52721,Harvested area (Rai),Garlic
ผลผลิต (ตัน),มันสำปะหลังโรงงาน,34068005,30616586,26877100,Production (Ton),Cassava
ผลผลิต (ตัน),อ้อยโรงงาน,92049459,93944698,90929779,Production (Ton),Sugarcane
ผลผลิต (ตัน),มันฝรั่ง,110860,120474,121722,Production (Ton),Potato
ผลผลิต (ตัน),หอมหัวใหญ่,33507,28265,26874,Production (Ton),Onion
ผลผลิต (ตัน),หอมแดง,137736,149312,149018,Production (Ton),Shallot
ผลผลิต (ตัน),กระเทียม,62565,59326,56105,Production (Ton),Garlic
ผลผลิตต่อไร่ (Kg.),มันสำปะหลังโรงงาน,3434,3303,3096,Yield per rai (Kg.),Cassava
ผลผลิตต่อไร่ (Kg.),อ้อยโรงงาน,9657,9927,9586,Yield per rai (Kg.),Sugarcane
ผลผลิตต่อไร่ (Kg.),มันฝรั่ง,2917,2961,2967,Yield per rai (Kg.),Potato
ผลผลิตต่อไร่ (Kg.),หอมหัวใหญ่,3806,3691,3485,Yield per rai (Kg.),Onion
ผลผลิตต่อไร่ (Kg.),หอมแดง,2542,2703,2711,Yield per rai (Kg.),Shallot
ผลผลิตต่อไร่ (Kg.),กระเทียม,1016,1088,1064,Yield per rai (Kg.),Garlic
,,,,,,
หมายเหตุ: ผลผลิตต่อไร่ หมายถึง ผลผลิตต่อเนื้อที่เก็บเกี่ยว,,,,,,
Note: Yield per rai mean total production per unit of harvested area.,,,,,,
ที่มา: สำนักงานเศรษฐกิจการเกษตร กระทรวงเกษตรและสหกรณ์,,,,,,
"Source: Office of Agricultural Economics, Ministry of Agriculture and Cooperatives",,,,,,
