ตาราง 11.8 ปริมาณและมูลค่าสัตว์น้ำ ที่สะพานปลาและท่าเทียบเรือประมง จำแนกตามชนิดสัตว์น้ำ พ.ศ. 2562 - 2566,,,,,,,,,,
Table 11.8 Quantity and Value of Fresh Fish at Fish Markets and Fishing Ports by Species: 2019 - 2023,,,,,,,,,,
,,,,,,,,,,
รายการ,สัตว์น้ำ,ชนิดสัตว์น้ำ,2562 (2019),2563 (2020),2564 (2021),2565 (2022),2566 (2023),Item,Aqaquatic animal,Species
ปริมาณรวมทั้งสิ้น (ตัน),,,262958,261277,227725,194526,194777,Total Quantity (Ton),,
ปริมาณผ่านการประมูล (ตัน),รวม,,261968,260604,227466,194213,194684,Quantity Auctioned (Ton),Total,
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,รวม,255010,255010,222135,191357,192889,Quantity Auctioned (Ton),Fresh marine fish,Total
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาทู,5296,5296,6645,7042,6413,Quantity Auctioned (Ton),Fresh marine fish,Indo-Pacific mackerel
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาทูแขก,9287,9287,8178,8571,9658,Quantity Auctioned (Ton),Fresh marine fish,Scads
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาลัง,1457,1457,2107,924,1136,Quantity Auctioned (Ton),Fresh marine fish,Indian mackerel
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาหมึก,12775,12775,11041,8281,7125,Quantity Auctioned (Ton),Fresh marine fish,Squid and cuttlefish
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาเลย,153932,153932,137185,118394,109456,Quantity Auctioned (Ton),Fresh marine fish,Other food fishes
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปลาเป็ด,64817,64817,50759,42730,53988,Quantity Auctioned (Ton),Fresh marine fish,Trash fish
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,กุ้ง,3778,3778,3169,2799,2330,Quantity Auctioned (Ton),Fresh marine fish,Shrimps
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,กั้ง,438,438,504,357,395,Quantity Auctioned (Ton),Fresh marine fish,Mantis shrimp
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,ปู,2521,2521,2084,1971,2003,Quantity Auctioned (Ton),Fresh marine fish,Sea crabs
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำทะเล,หอย,709,709,463,288,383,Quantity Auctioned (Ton),Fresh marine fish,Shellfishes
ปริมาณผ่านการประมูล (ตัน),สัตว์น้ำจืด,,6958,5594,5331,2857,1795,Quantity Auctioned (Ton),Fresh water fish,
ปริมาณไม่ผ่านการประมูล (ตัน),รวม,,990,673,259,313,92,Quantity Not auctioned (Ton),Total,
ปริมาณไม่ผ่านการประมูล (ตัน),สัตว์น้ำทะเล,,402,238,142,87,92,Quantity Not auctioned (Ton),Fresh marine fish,
ปริมาณไม่ผ่านการประมูล (ตัน),สัตว์น้ำจืด,,587,435,117,225,-,Quantity Not auctioned (Ton),Fresh water fish,
มูลค่ารวมทั้งสิ้น (ล้านบาท),,,11099,11854,11714,8835,8327,Total Value (Million Baht),,
มูลค่าผ่านการประมูล (ล้านบาท),รวม,,11057,11822,11698,8820,8320,Value Auctioned (Million Baht),Total,
มูลค่าผ่านการประมูล (ล้านบาท),สัตว์น้ำทะเล,รวม,10741,11538,11387,8660,8231,Value Auctioned (Million Baht),Fresh marine fish,Total
มูลค่าผ่านการประมูล (ล้านบาท),สัตว์น้ำทะเล,ปลาทู,317,255,385,406,400,Value Auctioned (Million Baht),Fresh marine fish,Indo-Pacific mackerel
มูลค่าผ่านการประมูล (ล้านบาท),สัตว์น้ำทะเล,ปลาทูแขก,607,358,311,335,387,Value Auctioned (Million Baht),Fresh marine fish,Scads
มูลค่าผ่านการประมูล (ล้านบาท),สัตว์น้ำทะเล,ปลาลัง,97,99,137,63,85,Value Auctioned (Million Baht),Fresh marine fish,Indian mackerel
มูลค่าผ่านการประมูล (ล้านบาท),สัตว์น้ำทะเล,ปลาหมึก,1154,1302,1193,1000,958,Value Auctioned (Million Baht),Fresh marine fish,Squid and cuttlefish
