ตาราง 12.11 การลงทุนต่างชาติ ที่ขอรับการส่งเสริมการลงทุน และที่ได้รับอนุมัติให้การส่งเสริม จำแนกตามประเทศหลัก พ.ศ. 2565 - 2566,,,,,,,,,
Table 12.11 Foreign Direct Investment Projects Applying for Net Applications Submitted and Applications Approved Major by Country: 2022 - 2023,,,,,,,,,
,,,,,,,,,
,,,,,,,,,(ล้านบาท  Million Baht)
ประเทศ,ขอรับการส่งเสริม (Net applications submitted)_2565 (2022)r_จำนวนโครงการ (No. of projects),ขอรับการส่งเสริม (Net applications submitted)_2565 (2022)r_การลงทุน (Investment),ขอรับการส่งเสริม (Net applications submitted)_2566 (2023)_จำนวนโครงการ (No. of projects),ขอรับการส่งเสริม (Net applications submitted)_2566 (2023)_การลงทุน (Investment),อนุมัติให้การส่งเสริม (Applications approved)_2565 (2022)r_จำนวนโครงการ (No. of projects),อนุมัติให้การส่งเสริม (Applications approved)_2565 (2022)r_การลงทุน( Investment),อนุมัติให้การส่งเสริม (Applications approved)_2566 (2023)p_จำนวนโครงการ (No. of projects),อนุมัติให้การส่งเสริม (Applications approved)_2566 (2023)p_การลงทุน (Investment),Country
ญี่ปุ่น,281,49187,264,79151,216,49960,275,65472,Japan
สาธารณรัฐประชาชนจีน,149,73959,430,159387,99,40296,347,124782,People Republic of China 
อินเดีย,6,2344,12,1042,6,1332,14,1025,India
ไต้หวัน,61,43723,94,54598,44,45484,94,47417,"Taiwan, China"
ฮ่องกง,58,38927,102,23142,57,22846,84,20027,"Hong Kong, China"
เกาหลี (ใต้),31,5584,25,38418,25,5309,26,21434,Korea (South)
สิงค์โปร์,167,42697,194,123385,140,34202,194,99310, Singapore
มาเลเซีย,28,4021,28,1251,18,3335,39,2189, Malaysia
อินโดนีเซีย,2,36,1,188,- ,- ,3,88, Indonesia
ฟิลิปปินส์,2,66,2,177,3,309,4,378, Philippines
เมียนมา,1,80,3,180,- ,- ,3,180, Myanmar
สหรัฐอเมริกา,32,49118,40,83954,33,32794,37,87994,United States
แคนาดา,8,422,6,339,5,203,7,346,Canada
ออสเตรเลีย,17,737,18,6111,20,4284,20,5383,Australia
นิวซีแลนด์,1,6,1,78,1,3,1,6,New Zealand
สวิสเซอร์แลนด์,16,9132,9,1738,9,3604,14,5713,Switzerland
สหราชอาณาจักร,13,4412,21,2632,12,452,21,4775,United Kingdom
เยอรมนี,23,2473,34,11838,24,3795,27,6230,Germany
ฝรั่งเศส,21,4886,18,4870,13,1591,24,7830,France
เบลเยี่ยม,4,169,5,5628,5,213,5,5628,Belgium
อิตาลี,3,830,4,1197,2,15,5,1455,Italy
เดนมาร์ก,6,934,5,171,3,2058,7,907,Denmark
สวีเดน,6,1196,6,397,5,595,6,1002,Sweden
เนเธอร์แลนด์,51,4463,60,43226,52,4556,67,13300,Netherlands
ลักเซมเบิร์ก,3,244,3,1526,1,20,4,1340,Luxembourg
,,,,,,,,,
ที่มา:  สำนักงานคณะกรรมการส่งเสริมการลงทุน สำนักนายกรัฐมนตรี,,,,,,,,,
"Source:  Thailand Board of Investment, Office of the Prime Minister",,,,,,,,,
