 ตาราง  12.2 จำนวนคนทำงานในสถานประกอบการจำแนกตามกิจกรรมทางเศรษฐกิจ และภาค พ.ศ. 2564,,,,,,,,,,,,,,,,,
 Table  12.2 Number of Persons Engaged in Establishments by Economic Activity and Region: 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ภาค,รวม (Total),กิจกรรมทางเศรษฐกิจ (Economic activity)_การผลิต (Manufacturing),"กิจกรรมทางเศรษฐกิจ (Economic activity)_การจัดการและการบำบัดน้ำเสีย ของเสียและสิ่งปฎิกูล (Sewerage,waste management and remediation activities)",กิจกรรมทางเศรษฐกิจ (Economic activity)_การก่อสร้าง (Construction),กิจกรรมทางเศรษฐกิจ (Economic activity)_การขายส่งและการขายปลีกการซ่อมยานยนต์และจักรยานยนต์ (Wholesale and retail trade; repair of motor vehicles and motorcycles),กิจกรรมทางเศรษฐกิจ (Economic activity)_การขายส่ง (Wholesale trade),กิจกรรมทางเศรษฐกิจ (Economic activity)_การขายปลีก (Retail trade),กิจกรรมทางเศรษฐกิจ (Economic activity)_กิจกรรมคลังสินค้าและกิจกรรมที่สนับสนุนการขนส่ง (Warehousing and support activities for transportation),กิจกรรมทางเศรษฐกิจ (Economic activity)_ที่พักแรม (Accommodation),กิจกรรมทางเศรษฐกิจ (Economic activity)_บริการอาหารและเครื่องดื่ม (Food and beverage service activities),กิจกรรมทางเศรษฐกิจ (Economic activity)_ข้อมูลข่าวสารและการสื่อสาร (Information and communication),กิจกรรมทางเศรษฐกิจ (Economic activity)_กิจกรรมอสังหาริมทรัพย์ (Real estate activities),"กิจกรรมทางเศรษฐกิจ (Economic activity)_กิจกรรมทางวิชาชีพ วิทยาศาสตร์และเทคนิค (Professional,scientific and technical activities)",กิจกรรมทางเศรษฐกิจ (Economic activity)_กิจกรรมการบริหารและการบริการสนับสนุน (Administration and support service activities),"กิจกรรมทางเศรษฐกิจ (Economic activity)_ศิลปะความบันเทิงและนันทนาการ (Arts,entertainment and recreation)",กิจกรรมทางเศรษฐกิจ (Economic activity)_กิจกรรมบริการอื่นๆ (Other service activities),Region
รวม,12959101,5333489,50227,580989,725054,1078391,2327026,99054,304282,997427,77381,377098,189271,363613,95690,360109,Total
กรุงเทพมหานคร,1835376,454145,1454,75469,102241,262328,299105,13195,41240,195049,37223,110724,73611,91058,10350,68184,Bangkok
ปริมณฑล (1),2562128,1555723,7483,90672,136512,194211,226334,25543,8252,103341,10804,76695,25871,54925,9810,35952,Vicinities (1)
ภาคกลาง,3413294,1758354,18296,154804,162532,249745,460695,31324,64619,200656,7950,67517,38442,103497,25325,69538,Central Region
ภาคเหนือ,1584126,508010,8766,94061,95148,112543,390406,7138,41669,150520,7250,46708,16095,34938,15218,55656,Northern Region
ภาคตะวันออกเฉียงเหนือ,2115597,721059,11857,108868,137876,130329,582286,9348,39534,172789,8138,47976,18391,35167,22474,69505,Northeastern Region
ภาคใต้,1448580,336198,2371,57115,90745,129235,368200,12506,108968,175072,6016,27478,16861,44028,12513,61274,Southern Region
,,,,,,,,,,,,,,,,,
(1) รวมจังหวัดสมุทรปราการ นนทบุรี ปทุมธานี นครปฐม และสมุทรสาคร  ,,,,,,,,,,,,,,,,,
"(1)  Including Samut Prakan, Nonthaburi, Pathum Thani, Nakhon Pathom and Samut Prakan",,,,,,,,,,,,,,,,,
ที่มา: สำมะโนธุรกิจและอุตสาหกรรม พ.ศ. 2565 (ข้อมูลพื้นฐาน)  ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม ,,,,,,,,,   ,,,,,,,,
"Source: The 2022 Business and Industrial Census (Basic Information) Whole Kingdom, National Statistical Office,Ministry of Digital Economy and Society",,,,,,,,,,,,,,,,,
