 ตาราง  12.3 โรงงานอุตสาหกรรม(1/)   ที่จดทะเบียนไว้กับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,
 Table   12.3  Establishments(1/) Operated Registration at Ministry of Industry (Factory Act B.E. 2535 (1992)) by Region and Province: 2022 - 2023,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_จำนวนโรงงาน (Number of factories),2565 (2022)_เงินทุน (ล้านบาท)  (Investment (Million Baht)),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (male),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),2566 (2023)_จำนวนโรงงาน (Number of factories),2566 (2023)_เงินทุน (ล้านบาท) ( Investment (Million Baht)),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (Male),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),Region,Province
ทั่วราชอาณาจักร,รวม,73232,8486536,2143006,1734928,72699,9016977,2163627,1748025,Whole Kingdom,Total
กรุงเทพมหานครและปริมณฑล,รวม,27899,2382954,882619,820730,28005,2502295,895519,838795,Whole Kingdom,Bangkok and Vicinities
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,6131,647063,181675,190937,5979,660095,178557,190866,Whole Kingdom,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,6958,695545,268177,202118,7004,727453,272483,205038,Whole Kingdom,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,1569,112124,38386,37224,1594,118581,38962,37559,Whole Kingdom,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,3399,348978,114302,121254,3460,390121,117815,126129,Whole Kingdom,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,3384,217149,91439,85555,3340,218665,91388,85295,Whole Kingdom,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,6458,362095,188640,183642,6628,387381,196314,193908,Whole Kingdom,Samut Sakhon
ภาคกลาง,รวม,5247,1013675,226590,193391,4981,1116308,221818,187333,Whole Kingdom,Central Region
ภาคกลาง,พระนครศรีอยุธยา,2131,478392,111140,118249,1933,505049,107270,113378,Whole Kingdom,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,328,26148,5141,2663,324,26358,5168,2638,Whole Kingdom,Ang Thong
ภาคกลาง,ลพบุรี,678,116394,33612,25799,667,116869,33452,24950,Whole Kingdom,Lop Buri
ภาคกลาง,สิงห์บุรี,181,19181,7468,5792,188,19149,7514,5800,Whole Kingdom,Sing Buri
ภาคกลาง,ชัยนาท,322,19365,4600,4350,317,19415,4728,3942,Whole Kingdom,Chai Nat
ภาคกลาง,สระบุรี,1607,354195,64629,36538,1552,429468,63686,36625,Whole Kingdom,Saraburi
ภาคตะวันออก,รวม,12545,3171544,490679,305721,12478,3427904,495751,306945,Whole Kingdom,Eastern Region
ภาคตะวันออก,ชลบุรี,5206,925726,199507,120813,5106,1054545,198843,115956,Whole Kingdom,Chon Buri
ภาคตะวันออก,ระยอง,3075,1578105,126813,69713,3132,1658908,130515,72700,Whole Kingdom,Rayong
ภาคตะวันออก,จันทบุรี,349,14047,5488,4701,346,12200,5376,4595,Whole Kingdom,Chanthaburi
ภาคตะวันออก,ตราด ,257,5179,3013,1650,230,5079,2867,1569,Whole Kingdom,Trat
ภาคตะวันออก,ฉะเชิงเทรา,2021,335108,85823,55109,2050,372196,87393,58189,Whole Kingdom,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,943,254621,58712,45998,974,265419,59893,46587,Whole Kingdom,Prachin Buri
ภาคตะวันออก,นครนายก,169,6920,3987,3743,165,6882,3935,3712,Whole Kingdom,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,525,51839,7336,3994,475,52676,6929,3637,Whole Kingdom,Sa Kaeo
ภาคตะวันตก,รวม,4397,421139,110178,76093,4306,426247,110819,75103,Whole Kingdom,Western Region
ภาคตะวันตก,ราชบุรี,1453,150113,44281,27145,1364,153230,44789,27877,Whole Kingdom,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,993,86550,23117,18540,1003,87156,23384,18739,Whole Kingdom,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,724,53957,11794,7856,728,54351,11861,7891,Whole Kingdom,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,232,9371,6293,3801,227,9329,6143,3735,Whole Kingdom,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,535,68800,15283,11818,535,69744,15258,9971,Whole Kingdom,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,460,52348,9410,6933,449,52438,9384,6890,Whole Kingdom,Prachuap Khiri Khan
ภาคเหนือ,รวม,7687,454930,127830,102689,7586,467117,129206,101916,Northern Region,Total
ภาคเหนือ,เชียงใหม่,1055,40982,17494,16328,1068,43171,18234,17024,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,460,36260,16247,12563,452,38164,16839,13194,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,557,67216,11459,10531,547,69391,12260,10777,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,247,14004,3692,1889,250,15564,3899,1974,Northern Region,Uttaradit
ภาคเหนือ,แพร่,329,6622,4251,2401,322,6718,4274,2514,Northern Region,Phrae
ภาคเหนือ,น่าน,196,2978,1456,472,195,3018,1468,462,Northern Region,Nan
ภาคเหนือ,พะเยา,220,5293,2184,1236,222,5580,2161,1137,Northern Region,Phayao
ภาคเหนือ,เชียงราย,676,21619,8090,4443,650,21713,8036,4374,Northern Region,Chiang Rai
