ตาราง 12.4 ผู้ที่ได้รับอนุญาตให้ก่อสร้าง จำนวนสิ่งก่อสร้าง และพื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน จำแนกตามภาค พ.ศ. 2565 - 2566,,,,,,,,,
"Table 12.4 Permitted, Number and Area of Building Construction by Region: 2022 - 2023",,,,,,,,,
,,,,,,,,,
ปี,ภาค,ก่อสร้างใหม่ (New construction)_จำนวนที่อนุญาต (Permitted number)_ราย (Person),ก่อสร้างใหม่ (New construction)_จำนวนที่อนุญาต (Permitted number)_หลัง (Unit),ก่อสร้างใหม่ (New construction)_พื้นที่ก่อสร้าง (ตร.ม.) (Construction area (Sq.m.)),"ต่อเติม ดัดแปลง ( Addition, Alteration)_จำนวนที่อนุญาต (Permitted number)_ราย (Person)","ต่อเติม ดัดแปลง ( Addition, Alteration)_จำนวนที่อนุญาต (Permitted number)_หลัง (Unit)","ต่อเติม ดัดแปลง ( Addition, Alteration)_พื้นที่ก่อสร้าง (ตร.ม.) (Construction area (Sq.m.))",Year,Region
2565,ทั่วราชอาณาจักร,214199,304200,62233445,3149,5058,2458623,2022, Whole Kingdom
2565,กรุงเทพมหานคร,9810,22976,7999309,323,437,151957,2022,Bangkok 
2565,ปริมณฑล,22775,57881,13633336,855,2363,1157021,2022,Vicinities
2565,ภาคกลาง,53872,78234,18190050,659,811,559962,2022,Central Region
2565,ภาคเหนือ,42113,45573,7794352,596,615,229837,2022,Northern Region
2565,ภาคตะวันออกเฉียงเหนือ,51621,55094,7576790,470,502,209230,2022,Northeastern Region
2565,ภาคใต้,34008,44442,7039608,246,330,150616,2022,Southern Region
2566, ทั่วราชอาณาจักร,208741,300021,60851513,3175,4071,2872821,2023, Whole Kingdom
2566,กรุงเทพมหานคร,8913,19603,4897773,230,278,117842,2023,Bangkok 
2566,ปริมณฑล,23306,57348,13746443,881,1381,1296788,2023,Vicinities
2566,ภาคกลาง,55085,80794,19538592,736,925,855229,2023,Central Region
2566,ภาคเหนือ,37402,41119,6490728,582,625,184077,2023,Northern Region
2566,ภาคตะวันออกเฉียงเหนือ,49209,52487,7582646,461,475,152066,2023,Northeastern Region
2566,ภาคใต้,34826,48670,8595331,285,387,266819,2023,Southern Region
,,,,,,,,,
ที่มา: การประมวลข้อมูลพื้นที่การก่อสร้าง สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source:The Construction Area, National Statistical Office,  Ministry of Digital of Economy and Society",,,,,,,,,
