ตาราง 12.6 ผู้ที่ได้รับอนุญาตให้ก่อสร้าง จำนวนสิ่งก่อสร้าง และพื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน จำแนกตามชนิดของอาคาร และภาค พ.ศ. 2566,,,,,,,,,,,
"Table   12.6 Permitted, Number and Area of Building Construction by Type of Building and Region: 2023",,,,,,,,,,,
,,,,,,,,,,,
รายการ,ชนิดของอาคาร,  ทั่วราชอาณาจักร ( Whol Kingdom),กรุงเทพมหานครและปริมณฑล (Bangkok and Vicinities),ภาคกลาง (Central Region),ภาคตะวันออก (Eastern Region),ภาคตะวันตก (Western Region),ภาคเหนือ (Northern Region),ภาคตะวันออกเฉียงเหนือ (Northeastern Region),ภาคใต้ (Southern Region),Item,Type of building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,รวมยอด,211916,33330,9963,27556,18302,37984,49670,35111,Permitted (person),Total
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่ออยู่อาศัย,193374,26641,9097,23968,17219,35890,47790,32769,Permitted (person),Residential building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการพาณิชย์(ตึกแถว/อาคาร/ภัตตาคาร),7831,3073,228,1414,415,871,888,942,Permitted (person),Commercial building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,อาคารสำนักงาน,1256,678,43,215,45,98,87,90,Permitted (person),Office building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,โรงแรม,629,25,16,105,64,117,74,228,Permitted (person),Hotel and restaurant
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการอุตสาหกรรมและโรงงาน,2992,1215,213,795,155,247,201,166,Permitted (person),Industrial and factory building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการบำบัดน้ำเสีย ของเสีย,274,151,6,53,13,23,17,11,Permitted (person),Sewerage building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,โรงไฟฟ้า/อาคารระบบพลังงานแสงอาทิตย์,732,389,51,103,17,54,58,60,Permitted (person),Power house/Power station/Solar energy building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,อาคารระบบประปาและโรงกรองน้ำ,67,4,1,29,5,13,9,6,Permitted (person),Water supply and filter plant
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการศึกษา,186,20,5,25,8,29,31,68,Permitted (person),Educational building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการสาธารณสุข/โรงพยาบาล,83,18,2,15,5,14,12,17,Permitted (person),Health/Hospital building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการขนส่ง,14,3,-  ,3,-  ,4,2,2,Permitted (person),Transportation building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการเกษตร,622,40,26,95,71,136,102,152,Permitted (person),Agricultural building
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการบันเทิง,75,17,6,4,4,17,11,16,Permitted (person),Entertainment
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อประโยชน์อื่นๆ เช่น อาคารเอนกประสงค์ อาคารจอดรถ และอื่นๆ,2960,822,208,635,216,380,277,422,Permitted (person),Others purposes
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย) ,เพื่อการพาณิชย์อื่นๆ,821,234,61,97,65,91,111,162,Permitted (person),Othere commercial building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),รวมยอด,304092,78610,13103,47706,20910,41744,52962,49057,Permitted construction (unit),Total
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่ออยู่อาศัย,278272,69288,11914,42611,19423,39061,50511,45464,Permitted construction (unit),Residential building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการพาณิชย์(ตึกแถว/อาคาร/ภัตตาคาร),10246,4031,303,1939,557,1043,1125,1248,Permitted construction (unit),Commercial building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),อาคารสำนักงาน,1383,740,45,249,50,104,87,108,Permitted construction (unit),Office building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),โรงแรม,1968,86,51,364,125,288,226,828,Permitted construction (unit),Hotel and restaurant
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการอุตสาหกรรมและโรงงาน,3967,1445,314,1099,229,304,303,273,Permitted construction (unit),Industrial and factory building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการบำบัดน้ำเสีย ของเสีย,1321,1164,7,73,20,24,22,11,Permitted construction (unit),Sewerage building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),โรงไฟฟ้า/อาคารระบบพลังงานแสงอาทิตย์,955,496,73,155,17,58,75,81,Permitted construction (unit), Power house/Power station/Solar energy building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),อาคารระบบประปาและโรงกรองน้ำ,88,6,1,44,5,14,11,7,Permitted construction (unit),Water supply and filter plant
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการศึกษา,215,22,7,26,8,35,40,77,Permitted construction (unit),Educational building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการสาธารณสุข/โรงพยาบาล,85,18,2,16,5,14,12,18,Permitted construction (unit),Health/Hospital building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการขนส่ง,14,3,-  ,3,-  ,4,2,2,Permitted construction (unit),Transportation building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการเกษตร,962,43,58,134,167,256,125,179,Permitted construction (unit),Agricultural building
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการบันเทิง,86,18,6,7,4,17,11,23,Permitted construction (unit),Entertainment
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อประโยชน์อื่นๆ เช่น อาคารเอนกประสงค์ อาคารจอดรถ และอื่นๆ,3619,993,249,872,234,419,291,561,Permitted construction (unit),Others purposes
จำนวนสิ่งก่อสร้างที่ได้รับอนุญาตให้ก่อสร้าง (หลัง),เพื่อการพาณิชย์อื่นๆ,911,257,73,114,66,103,121,177,Permitted construction (unit),Othere commercial building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,รวมยอด,63724334,20058846,2691069,13927811,3774941,6674805,7734712,8862150,Area of building construction (sq.m.),Total
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่ออยู่อาศัย,39672364,12633231,1390486,5874690,2465595,5144648,5938245,6225469,Area of building construction (sq.m.),Residential building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการพาณิชย์(ตึกแถว/อาคาร/ภัตตาคาร),4973703,2128082,127559,797210,254450,440098,651940,574364,Area of building construction (sq.m.),Commercial building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,อาคารสำนักงาน,1424792,626596,33013,583610,10741,59783,37872,73177,Area of building construction (sq.m.),Office building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,โรงแรม,1191686,45787,14236,284648,79241,129885,59194,578695,Area of building construction (sq.m.),Hotel and restaurant
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการอุตสาหกรรมและโรงงาน,9474937,2627829,627492,4807680,361268,288528,438961,323179,Area of building construction (sq.m.),Industrial and factory building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการบำบัดน้ำเสีย ของเสีย,205245,26340,2059,98132,29267,18950,25762,4735,Area of building construction (sq.m.),Sewerage building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,โรงไฟฟ้า/อาคารระบบพลังงานแสงอาทิตย์,2024937,1053799,211091,460291,37592,51768,90503,119893,Area of building construction (sq.m.), Power house/Power station/ Solar energy building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,อาคารระบบประปาและโรงกรองน้ำ,47412,1250,169,39920,1251,2662,913,1247,Area of building construction (sq.m.),Water supply and filter plant
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการศึกษา,283126,50132,7314,42428,7643,39399,44939,91271,Area of building construction (sq.m.),Educational building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการสาธารณสุข/โรงพยาบาล,223169,47943,335,67792,10341,8613,33958,54187,Area of building construction (sq.m.),Health/Hospital building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการขนส่ง,37051,30651,-  ,1686,-  ,834,3500,380,Area of building construction (sq.m.),Transportation building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการเกษตร,1506615,27791,96815,228163,389659,299546,157354,307287,Area of building construction (sq.m.),Agricultural building
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการบันเทิง,69341,12793,2360,7974,1011,10684,4858,29661,Area of building construction (sq.m.),Entertainment
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อประโยชน์อื่นๆ เช่น อาคารเอนกประสงค์ อาคารจอดรถ และอื่นๆ,1697316,533507,101096,504521,87159,112072,100901,258060,Area of building construction (sq.m.),Others purposes
 พื้นที่ของสิ่งก่อสร้างที่เป็นอาคารโรงเรือน (ตร.ม.) ,เพื่อการพาณิชย์อื่นๆ,892640,213115,77044,129066,39723,67335,145812,220545,Area of building construction (sq.m.),Othere commercial building
,,,,,,,,,,,
ที่มา: การประมวลข้อมูลพื้นที่การก่อสร้าง สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,
"Source: The Construction Area,  National Statistical Office,  Ministry of Digital of Economy and Society",,,,,,,,,,,
