ตาราง 12.7 ผู้ที่ได้รับอนุญาตให้ก่อสร้าง จำนวนสิ่งก่อสร้าง และพื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน จำแนกตามชนิดของสิ่งก่อสร้าง และภาค พ.ศ. 2566,,,,,,,,,,,
"Table  12.7 Permitted, Number and Area of Civil Engineering Construction by Type of Construction and Region: 2023",,,,,,,,,,,
,,,,,,,,,,,
รายการ,ชนิดของสิ่งก่อสร้าง,ทั่วราชอาณาจักร (Whole Kingdom),กรุงเทพมหานครและปริมณฑล (Bangkok and Vicinities),ภาคลาง (Central Region),ภาคตะวันออก (Eastern Region),ภาคตะวันตก (Western Region),ภาคเหนือ (Northern Region),ภาคตะวันออกเฉียงเหนือ (Northeastern Region),ภาคใต้ (Southern Region),Item,Type of construction
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),รวมยอด,22956,13122,672,2439,922,2341,2397,1063,Permitted (person),Total
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),รั้ว/กำแพง,2854,684,125,425,179,798,457,186,Permitted (person),Fence/Wall
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ถนน/ทางรถไฟ,619,206,13,154,27,129,39,51,Permitted (person),Road/Railroad
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),สะพาน,193,132,4,19,9,20,2,7,Permitted (person),Bridge
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),เขื่อน/คันดิน,264,178,2,14,39,16,2,13,Permitted (person),Dam
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ท่อ/ทางระบายน้ำ,14997,10459,428,1185,347,845,1481,252,Permitted (person),Water drain
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),สระว่ายน้ำ,900,175,4,198,185,21,57,260,Permitted (person),Swimming pool
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ปั๊มน้ำมัน,186,18,11,23,14,42,47,31,Permitted (person),Petrol station
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ท่าเรือ,11,1,-  ,1,5,3,-  ,1,Permitted (person),Harbour
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),สนามกีฬา,66,30,-  ,3,7,3,6,17,Permitted (person),Sport ground
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ลานจอดรถ,1457,611,31,208,36,321,152,98,Permitted (person),Car park
จำนวนผู้ที่ได้รับอนุญาตให้ก่อสร้าง (ราย),ป้ายโฆษณา,655,278,30,80,32,72,95,68,Permitted (person),Advertising board
