ตาราง 12.8  การส่งเสริมการลงทุน จำแนกตามการขอรับการส่งเสริมและการอนุมัติให้การส่งเสริม  พ.ศ. 2564 - 2566,,,,,,,
Table  12.8  Investment Promotion by Net Applications Submitted and Applications Approved: 2021 - 2023,,,,,,,
,,,,,,,
รายการ,ขอรับการส่งเสริม (Net application submitted)_2564r (2021),ขอรับการส่งเสริม (Net application submitted)_2565 (2022),ขอรับการส่งเสริม (Net application submitted)_2566p (2023),อนุมัติให้การส่งเสริม (Application approved)_2564r (2021),อนุมัติให้การส่งเสริม (Application approved)_2565 (2022),อนุมัติให้การส่งเสริม (Application approved)_2566p (2023),Item
โครงการทั้งสิ้น (โครงการ),1491,1981,2307,1572,1558,2383,Total investment (No. of projects)
มูลค่าการลงทุนทั้งสิ้น (พันล้านบาท),472.14,591.55,848.32,511.90,612.10,750.13,Total investment (Billion Baht)
โครงการของไทยที่ถือหุ้น 100% (โครงการ).,658,881,819,718,698,923,100 % Thai (No. of projects) 
มูลค่าการลงทุนของไทยที่ถือหุ้น 100% (พันล้านบาท),116.52,162.04,153.73,181.66,103.99,152.50,100 % Thai (Billion Baht) 
โครงการของต่างชาติที่ถือหุ้น 100 % (โครงการ),447,574,976,509,470,912,100 % Foreign (No. of projects)  
มูลค่าการลงทุนของต่างชาติที่ถือหุ้น 100 % (พันล้านบาท),178.30,239.98,453.04,171.14,197.80,403.72,100 % Foreign (Billion Baht) 
โครงการร่วมทุนของไทยและต่างชาติ (โครงการ),386,526,512,345,390,548,Joint-venture (No. of projects)
มูลค่าการลงทุนร่วมทุนของไทยและต่างชาติ (พันล้านบาท),177.32,189.52,241.54,159.11,310.31,193.91,Joint-venture (Billion Baht)
โครงการลงทุนอื่นๆ (ราย),94,19,19,72,72,72,Other investment (no. of projects)
มูลค่าการลงทุนอื่นๆ (ล้านบาท),109060.00,5576.32,5576.32,42550.92,42550.92,42550.92,Other investment (Million Baht) 
,,,,,,,
 ที่มา: สำนักงานคณะกรรมการส่งเสริมการลงทุน  สำนักนายกรัฐมนตรี ,,,,,,,
"Source: Thailand Board of Investment, Office of the Prime Minister",,,,,,,
