ตาราง 13.1 การใช้/กำลังการผลิตติดตั้งของระบบ และการผลิตของระบบ พ.ศ. 2563 - 2565,,,,
Table 13.1 Consumption/Installation and Generation: 2020 - 2022,,,,
,,,,
รายการ,2563 (2020),2564 (2021),2565 (2022),Type
การใช้พลังงานไฟฟ้า (ล้านกิโลวัตต์ชั่วโมง),196706,201016,208199,Electric consumption (Gwh)
กำลังการผลิตติดตั้ง (เมกะวัตต์),54790,53938,60198,National grid installed capacity (MW)
การผลิตพลังไฟฟ้าสูงสุด (เมกะวัตต์),30342,31023,33177,Peak generation of national grid (MW)
การผลิตพลังไฟฟ้าสูงสุดของ กฟผ. (เมกะวัตต์),28637,30135,32255,EGAT'S peak generation (MW)
การผลิตพลังงานไฟฟ้า (ล้านกิโลวัตต์ชั่วโมง),185602,186699,191323,National grid generation (Gwh)
ประชากร (พันคน),66187,66171,66090,Population (Thousand)
การใช้พลังงานไฟฟ้าต่อคน (กิโลวัตต์ชั่วโมง/คน),2972,3038,3151,Consumption per capita (kWh/capita)
ประสิทธิภาพโรงไฟฟ้าโดยเฉลี่ยของระบบ (%),35.8,35.4,37.8,Average thermal efficiency at sending end of national grid (%)
,,,,
(1) ตั้งแต่ปี 2558 รวมผู้ผลิตพลังงานควบคุมที่ผลิตไฟฟ้าใช้เอง,,,,
(1)  Since 2015 including private generation for own use.,,,,
ที่มา: กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน กระทรวงพลังงาน,,,,
"Source: Department of Alternative Energy Development and Efficiency, Ministry of Energy ",,,,
