ตาราง 13.2 การใช้พลังงานไฟฟ้า จำแนกตามสาขาเศรษฐกิจ พ.ศ. 2563 - 2565   ,,,,Unnamed: 4
Table 13.2 Electric Consumption by Economic Sectors: 2020 - 2022,,,,
,,,,
,,,,(ล้านกิโลวัตต์ชั่วโมง Gwh)
รายการ,2563 (2020),2564 (2021),2565 (2022),Item
รวมยอด,196706,201016,208199,Total
บ้านอยู่อาศัย,53063,54481,53973,Residential
ธุรกิจ(1),66415,64433,70232,Commercial(1)
อุตสาหกรรม(2),75218,80198,82039,Industrial(2)
ขนส่ง,218,221,275,Transportation
เกษตรกรรม,417,398,335,Agriculture
อื่นๆ(3),1375,1285,1345,Others(3)
,,,,
(1) รวมส่วนราชการ องค์กรที่ไม่แสวงหากำไร และไฟสาธารณะ,,,,
"(1) Including government, non-profit organizations, and street lighting",,,,
(2) รวมอุตสาหกรรมการทำเหมืองแร่ และเหมืองหิน,,,,
(2) Including mining and quarrying,,,,
(3) การใช้พลังงานไฟฟ้าชั่วคราว,,,,
(3) Temporary customers,,,,
หมายเหตุ: รวมผู้ผลิตพลังงานควบคุมที่ผลิตไฟฟ้าใช้เอง,,,,
Note: Including private generation for own use.,,,,
ที่มา: กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน กระทรวงพลังงาน,,,,
"Source: Department of Alternative Energy Development and Efficiency,  Ministry of Energy ",,,,
