ตาราง 13.4 ปริมาณการจัดหาพลังงานขั้นต้นทั้งหมด และขั้นสุดท้าย พ.ศ. 2563 - 2565,,,,,,
Table 13.4 Total Primary Energy Supply and Final Energy Consumption: 2020 - 2022,,,,,,
,,,,,,
รายการ,การจัดจำแนกย่อย 1,2563 (2020),2564 (2021),2565 (2022),Item,Sub-class 1
ประชากร (พันคน),,66187,66171,66090,Population (Thousand persons),
ผลิตภัณฑ์มวลรวมในประเทศ แบบปริมาณลูกโซ่ (ปีอ้างอิง 2545) (ล้านบาท),,10256852 r,10409894 r,10680306,GDP chain volume measures (reference year=2002) (Million Baht),
ปริมาณการจัดหาพลังงานขั้นต้นทั้งหมด,การจัดหาพลังงานขั้นต้นทั้งหมด (พันตันเทียบเท่าน้ำมันดิบ),129182,125043,129966,Total primary energy supply,Total primary energy supply (ktoe)
ปริมาณการจัดหาพลังงานขั้นต้นทั้งหมด,การจัดหาพลังงานขั้นต้น ต่อผลิตภัณฑ์มวลรวมในประเทศ (พันตันเทียบเท่าน้ำมันดิบต่อล้านบาท),0.0126,0.012,0.0122,Total primary energy supply,Primary energy supply per GDP (ktoe/Million Baht)
ปริมาณการจัดหาพลังงานขั้นต้นทั้งหมด,การจัดหาพลังงานขั้นต้นต่อประชากร (ตันเทียบเท่าน้ำมันดิบ/คน),1.9518,1.8897,1.9665,Total primary energy supply,Primary energy supply per population (toe/capita)
ปริมาณการใช้พลังงานขั้นสุดท้าย,การใช้พลังงานขั้นสุดท้าย (พันตันเทียบเท่าน้ำมันดิบ),77340,72161,81948,Final energy consumption,Final energy consumption (ktoe)
ปริมาณการใช้พลังงานขั้นสุดท้าย,การใช้พลังงานขั้นสุดท้ายต่อผลิตภัณฑ์มวลรวมในประเทศ (พันตันเทียบเท่าน้ำมันดิบต่อล้านบาท),0.00754,0.006932,0.007673,Final energy consumption,Final energy consumption per GDP (ktoe/Million Baht)
ปริมาณการใช้พลังงานขั้นสุดท้าย,การใช้พลังงานขั้นสุดท้ายต่อประชากร (ตันเทียบเท่าน้ำมันดิบ/คน),1.1685,1.0905,1.2399,Final energy consumption,Final energy consumption per population (toe/capita)
,,,,,,
ที่มา: กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน กระทรวงพลังงาน,,,,,,
"Source: Department of Alternative Energy Development and Efficiency, Ministry of Energy",,,,,,
