ตาราง 13.7 ปริมาณ และมูลค่าการนำเข้าน้ำมันสำเร็จรูป จำแนกตามประเภท พ.ศ. 2563 - 2565,,,,,,
Table 13.7 Quantity and Value of Petroleum Products Imported by Type: 2020 - 2022,,,,,,
,,,,,,
รายการ,ประเภท,2563 (2020),2564 (2021),2565 (2022),Item,Type
ปริมาณ (ล้านลิตร),รวมยอด,2622,2021,4524,Quantity  (Million litres),Total
ปริมาณ (ล้านลิตร),ก๊าซปิโตรเลียมเหลว(1),990,1018,2868,Quantity  (Million litres),LPG(1)
ปริมาณ (ล้านลิตร),แก๊สโซฮอล์ อี10 ออกเทน 91(2),1409,686,518,Quantity  (Million litres),Gasohol E10 RON 91(2)
ปริมาณ (ล้านลิตร),น้ำมันเครื่องบิน(3),145,15,57,Quantity  (Million litres),Jet fuel(3)
ปริมาณ (ล้านลิตร),ดีเซลหมุนเร็ว(4),55,238,1054,Quantity  (Million litres),HSD(4)
ปริมาณ (ล้านลิตร),น้ำมันเตา,23,64,27,Quantity  (Million litres),Fuel oil
มูลค่า (ล้านบาท),รวมยอด,23353,28151,88940,Value (Million Baht),Total
มูลค่า (ล้านบาท),ก๊าซปิโตรเลียมเหลว(1),6775,12420,43068,Value (Million Baht),LPG(1)
มูลค่า (ล้านบาท),แก๊สโซฮอล์ อี10 ออกเทน 91(2),14027,10539,12601,Value (Million Baht),Gasohol E10 RON 91(2)
มูลค่า (ล้านบาท),น้ำมันเครื่องบิน(3),1621,228,1442,Value (Million Baht),Jet fuel(3)
มูลค่า (ล้านบาท),ดีเซลหมุนเร็ว(4),658,3824,31057,Value (Million Baht),HSD(4)
มูลค่า (ล้านบาท),น้ำมันเตา,272,1140,772,Value (Million Baht),Fuel oil
,,,,,,
(1) รวมนำเข้าโปรเพน และบิวเทน,,,,,,
(1) Including propane and butane imported,,,,,,
(2) รวมนำเข้าเบนซินพื้นฐาน และปี 2563 รวมเบนซิน 91,,,,,,
(2) Including base gasoline imported and ULG 91 in 2020,,,,,,
(3) รวมน้ำมันอากาศยาน,,,,,,
(3) Including aviation gasoline,,,,,,
(4) รวมน้ำมันดีเซลพื้นฐาน,,,,,,
(4) Including base diesel,,,,,,
ที่มา: กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน กระทรวงพลังงาน,,,,,,
"Source: Department of Alternative Energy Development and Efficiency, Ministry of Energy",,,,,,
