ตาราง  14.1  มูลค่าสินค้าขาเข้า และขาออก พ.ศ. 2552 - 2566,,,,,
Table    14.1  Value of Imports and Exports: 2009 - 2023,,,,,
,,,,,
,,,,,(ล้านบาท  Million Baht)
ปี (Year),สินค้าขาออก (Exports)(1),สินค้าขาเข้า (Imports),ดุลการค้า (Balance of trade),อัตราการขยายตัวสินค้าขาออก (%) (Growth rate Exports(%)),อัตราการขยายตัวสินค้าขาเข้า(%)  (Growth rate Imports(%))
2552 (2009),5194596.7,4601981.8,592614.9,-11.2,-22.8
2553 (2010),6113335.5,5856591.3,256744.2,17.7,27.3
2554 (2011),6707989.5,6982728.1,-274738.7,9.7,19.2
2555 (2012),7077762.2,7786123,-708360.9,5.5,11.5
2556 (2013),6909543.9,7657633.1,-748089.2,-2.4,-1.7
2557 (2014),7311089,7403904.8,-92815.8,5.8,-3.3
2558 (2015),7225722.8,6906078.4,319644.4,-1.2,-6.7
2559 (2016),7550704.1,6888186.7,662517.4,4.5,-0.3
2560 (2017),8006265.2,7587118.4,419146.8,6,10.1
2561 (2018),8108299.8,8064038.9,44260.9,1.3,6.3
2562 (2019),7628400.4,7425649,202751.4,-5.9,-7.9
2563 (2020),7183567.6,6476267.4,707300.2,-5.8,-12.8
2564 (2021),8568939.9,8540762.7,28177.3,19.3,31.9
2565 (2022),9957072.7,10569641.9,-612569.2,16.2,23.8
2566 (2023)p,9827324.6,10067743.3,-240418.7,-1.3,-4.7
,,,,,
(1) รวมสินค้าส่งกลับ  ,,,,,
(1) Including re-exports,,,,,
หมายเหตุ: อัตราการขยายตัวคำนวณจากมูลค่าเป็นบาท,,,,,
Note: The growth rate is calculate from the value in baht.,,,,,
ที่มา: สำนักงานปลัดกระทรวงพาณิชย์  ,,,,,
Source: Office of the Permanent Secretary Ministry of Commerce,,,,,
