ตาราง 14.19 ดัชนีราคาผู้บริโภคทั่วไปของกรุงเทพมหานคร จำแนกตามหมวดใหญ่ และหมวดย่อยของสินค้า พ.ศ. 2564 - 2566,,,,,,
Table 14.19 General Consumer Price Index for Bangkok by Group and Sub-Group of Commodity: 2021 - 2023,,,,,,
,,,,,,
,,,,,,[2562 (2019) = 100]
หมวดสินค้า,2564 (2021)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_ดัชนีราคาผู้บริโภค (Consumer price index),2566 (2023)_ดัชนีราคาผู้บริโภค (Consumer price index),2565 (2022)_อัตราเงินเฟ้อ (Inflation rate),2566 (2023)_อัตราเงินเฟ้อ (Inflation rate),Commodity group
ดัชนีราคาผู้บริโภคทั่วไป,100.25,106.32,108.09,6.05,1.66,General consumer price index
หมวดอาหาร และเครื่องดื่มไม่มีแอลกอฮอล์,101.28,109.27,113.12,7.89,3.52,Food and non-alcoholic beverages
ข้าว แป้ง และผลิตภัณฑ์จากแป้ง,95.49,96.56,100.32,1.12,3.89,"Rice, flour and cereal products"
เนื้อสัตว์ เป็ด ไก่ และสัตว์น้ำ,102.91,115.39,112.80,12.13,-2.24,"Meat, poultry and fish"
ไข่และผลิตภัณฑ์นม,101.67,107.85,116.63,6.08,8.14,Eggs and dairy products
ผักและผลไม้,101.88,105.53,112.88,3.58,6.96,Vegetables and fruits
เครื่องประกอบอาหาร,106.06,117.15,118.10,10.46,0.81,Seasonings and condiments
เครื่องดื่มไม่มีแอลกอฮอล์,101.05,104.40,108.83,3.32,4.24,Non-alcoholic beverages
อาหารบริโภค-ในบ้าน,100.56,108.59,113.35,7.99,4.38,Prepared food at home
อาหารบริโภค-นอกบ้าน,101.37,110.54,115.04,9.05,4.07,food away from home
หมวดอื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,99.69,104.60,105.13,4.93,0.51,Non-food and beverages
หมวดเครื่องนุ่งห่ม และรองเท้า,99.78,99.76,99.28,-0.02,-0.48,Apparel  and footware
หมวดเคหสถาน,97.15,101.71,102.58,4.69,0.86,Housing and furnishing
ค่าที่พักอาศัย,100.18,100.17,100.42,-0.01,0.25,Shelter
ไฟฟ้า เชื้อเพลิง น้ำประปา และแสงสว่าง,87.14,106.50,109.47,22.22,2.79,"Electricity, fuel, and water supply"
สิ่งทอสำหรับใช้ในบ้าน,95.87,98.10,99.08,2.33,1.00,Textile-house furnishing
สิ่งที่เกี่ยวกับทำความสะอาด,99.24,102.33,102.89,3.11,0.55,Cleaning supplies
หมวดการตรวจรักษา และบริการส่วนบุคคล,100.90,102.43,104.47,1.52,1.99,Medical and personal care
ค่าตรวจรักษาและค่ายา,101.68,103.09,104.77,1.39,1.63,Medical care
ค่าใช้จ่ายส่วนบุคคล,100.76,102.37,104.57,1.60,2.15,Personal care expenditures
หมวดพาหนะ การขนส่ง และการสื่อสาร,102.61,111.06,110.57,8.24,-0.44,Transportation and communication
ค่าโดยสารสาธารณะ,102.72,105.13,108.60,2.35,3.30,Public transportation services
ยานพาหนะและน้ำมันเชื้อเพลิง,104.81,120.23,118.23,14.71,-1.66,Vehicles and vehicle operation
การสื่อสาร,99.92,99.75,99.80,-0.17,0.05,Communication and equipments
หมวดการบันเทิง การอ่าน การศึกษา และการศาสนา,99.63,99.90,101.11,0.27,1.21,Recreation and education
หมวดยาสูบ และเครื่องดื่มมีแอลกอฮอล์,100.30,102.70,103.56,2.39,0.84,Tobacco and alcoholic beverages
ผลิตภัณท์ยาสูบ,100.68,104.66,105.11,3.95,0.43,Tobacco products
เครื่องดื่มมีแอลกอฮอลล์,100.05,101.41,102.54,1.36,1.11,Alcoholic beverages
ดัชนีราคาผู้บริโภคพื้นฐาน,100.49,103.64,105.57,3.13,1.86,Core consumer price index
กลุ่มอาหารสดและพลังงาน,99.39,115.01,116.26,15.72,1.09,Raw food and energy
อาหารสด,101.28,108.51,111.25,7.14,2.53,Raw food
พลังงาน,96.89,122.25,121.75,26.17,-0.41,Energy
,,,,,,
หมายเหตุ: รวมจังหวัด นนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,
"Note: Including Nonthaburi, Pathum Thani and Samut Prakan",,,,,,
ที่มา: สำนักงานนโยบายและยุทธศาสตร์การค้า กระทรวงพาณิชย์,,,,,,
"Source: Trade Policy and Strategic Office,  Ministry of Commerce",,,,,,
