ตาราง 14.26 ราคาเฉลี่ยของแร่บางชนิดที่ตลาดลอนดอน  พ.ศ. 2557 - 2566,,,,,,
Table 14.26 Average Price of Selected Mineral in London: 2014 - 2023,,,,,,
,,,,,,
,,,,,,(ดอลลาร์สหรัฐ  U.S$)
ระยะคาบ  (Period),นิกเกิลต่อตัน (Nickel per ton),ดีบุก 99.85% ต่อตัน (Tin per ton),ทองแดงต่อตัน  (HG. GR. Copper per ton),อลูมิเนียมต่อตัน  (HG.GR. Aluminum per ton),สังกะสี 99.995% ต่อตัน (Zinc per ton),โลหะดีบุกต่อหาบหลวง (บาท) (HG. GR. Tin metal per picul (Baht))
2557 (2014),17115.81,21905.74,6846.96,2161.13,2161.13,-
2558 (2015),11825.92,16076.07,5488.59,1984.44,2333.51,32951.80
2559 (2016),9581.35,17946.02,4861.19,2089.46,2089.46,38014.83
2560 (2017),10403.18,20089.07,6162.31,2893.52,2893.52,40926.80
2561 (2018),13113.37,20157.22,6525.28,2924.79,2924.79,39048.11
2562 (2019),13901.05,18659.29,6004.07,2548.43,2548.43,34839.42
2563 (2020),13771.01,17131.81,6168.22,2264.15,2264.17,32120.38
2564 (2021),18476.36,32587.43,9064.43,3004.76,3004.76,62905.60
2565 (2022),26122.19,31361.87,8813.89,2709.26,3484.42,65095.81
2566 (2023),21482.67,25941.12,8482.31,2250.85,2648.13,54229.93
,,,,,,
หมายเหตุ: 1 หาบหลวง  = 60.48 กก.       ,,,,,,
Note: 1 Picul = 60.48 kgs.,,,,,,
ที่มา: กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่  กระทรวงอุตสาหกรรม,,,,,,
"Source: Department of Primary Industries and Mines,  Ministry of Industry",,,,,,
