ตาราง 15.1  ระยะทางของทางหลวง  ปีงบประมาณ 2557 - 2566  ,,,,,,,
Table 15.1 Distance of Highways: Fiscal Years 2014 - 2023,,,,,,,
,,,,,,,
,,,,,,,(กิโลเมตร Kilometres)
 ปีงบประมาณ Fiscal Year ,รวมยอด (Total ),ทางก่อสร้างและทางรักษาสภาพ (Under construction and under standard road),ทางบำรุง (Under maintenance)_ระยะทางจริง (Actual distance),ทางบำรุง (Under maintenance)_ระยะทางต่อ 2 ช่องจราจร (Distance per 2 traffic lanes)_รวม (Total),ทางบำรุง (Under maintenance)_ระยะทางต่อ 2 ช่องจราจร (Distance per 2 traffic lanes)_คอนกรีต (Concrete),ทางบำรุง (Under maintenance)_ระยะทางต่อ 2 ช่องจราจร (Distance per 2 traffic lanes)_ลาดยาง (Asphalt),ทางบำรุง (Under maintenance)_ระยะทางต่อ 2 ช่องจราจร (Distance per 2 traffic lanes)_(ลูกรัง Unpaved roads)
2557 (2014),51345,674,50671,68272,5131,62881,260
2558 (2015),51505,892,50613,68794,5156,63426,212
2559 (2016),51549,1191,50357,68937,5147,63618,172
2560 (2017),51573,1042,50531,69588,5214,64302,72
2561 (2018),51406,1014,50393,70010,5512,64455,43
2562 (2019),51950,978,50972,73129,6341,66739,49
2563 (2020),52001,1290,50711,73054,6399,66608,47
2564 (2021),52255,1969,50286,74498,6980,67455,64
2565 (2022),52282,2302,49979,74568,7407,67102,59
2566 (2023),52289,2143,50145,75718,7722,67943,54
,,,,,,,
หมายเหตุ: ,1. ระยะทางต่อ 2 ช่องจราจร หมายถึงระยะทางในการบำรุงทาง,,,,,,
Note: ,1. Highway maintenance means the length of roadway distance which registered as the maintenance highways     distance per 2 traffic lanes.,,,,,,
,2. ระยะทางจริง หมายถึง ระยะทางในการเดินทาง,,,,,,
,2. Actual distance means that people spent their time on travelling.,,,,,,
ที่มา: ,กรมทางหลวง  กระทรวงคมนาคม,,,,,,
Source: ,"The Department of Highways, Ministry of Transport",,,,,,
