ตาราง 15.10 รถยนต์ใช้ทางด่วน และรายได้จากการเก็บค่าผ่านทาง จำแนกตามด่านเก็บค่าผ่านทาง ปีงบประมาณ 2563 - 2565,,,,,,,
Table 15.10 Vehicles Using Expressway and Toll Revenue by Toll Plaza: Fiscal Years 2020 - 2022,,,,,,,
,,,,,,,
ด่านเก็บค่าผ่านทาง,จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2563 (2020),จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2564 (2021),จำนวนรถยนต์ใช้ทางด่วน (พันคัน) (Number of vehicles using expressway (Thousand vehicle))_2565 (2022),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) (Toll revenue (Million Baht))_2563 (2020),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) (Toll revenue (Million Baht))_2564 (2021),รายได้จากการเก็บค่าผ่านทาง (ล้านบาท) Toll revenue (Million Baht)_2565 (2022),Toll plaza
รวมยอด,599217,484462,550139,22666,18526,21767,Total
ทางพิเศษเฉลิมมหานคร (ทางด่วนขั้นที่ 1),118135,94141,105239,5855,4704,5237,Chaloem Maha Nakhon   Expressway (The first stage expressway)
สายดินแดง - ท่าเรือ,45250,34165,39638,2248,1718,1993,Din Daeng - Port
ดินแดง 1,2312,1377,1672,113,67,81,Din Daeng 1
ดินแดง,16415,12874,14960,816,650,754,Din Daeng 
เพชรบุรี,2804,2308,2562,142,118,131,Phetchaburi
สุขุมวิท,3952,2962,4127,194,147,205,Sukhumvit
พระราม 4-1,5986,4728,5301,295,236,265,Rama 4-1
พระราม 4-2,4347,2911,3400,214,144,169,Rama 4-2
เลียบแม่น้ำ,6285,4652,5047,313,234,254,Liab Mae Nam
ท่าเรือ 1,3148,2352,2569,161,121,133,Tha Rue 1
สายบางนา - ท่าเรือ,43567,36057,40150,2139,1766,1950,Bang Na - Port
บางนา,17150,15330,16943,867,790,869,Bang Na
สุขุมวิท 62,4143,3309,3531,206,167,178,Sukhumvit 62
อาจณรงค์,3021,2249,2615,154,116,134,At Narong
อาจณรงค์ 3,388,360,408,20,19,22,At Narong 3
ท่าเรือ 2,3742,2761,3047,198,147,160,Tha Rue 2
อาจณรงค์ 1 (ไปบางนา),3546,2846,3411,125,71,85,At Narong 1 (to bang na)
อาจณรงค์ 1 (ไปท่าเรือ),5599,4433,4863,277,222,244,At Narong 1 (to tha rue)
บางจาก,5977,4769,5333,293,233,258,Bangchak
สายดาวคะนอง - ท่าเรือ,29318,23919,25451,1467,1220,1294,Dao Khanong - Port
ดาวคะนอง,15615,13084,13708,784,670,700,Dao Khanong
สุขสวัสดิ์,8294,6726,7272,414,342,369,Suk Sawat
สาธุประดิษฐ์ 1,4360,3310,3643,217,167,184,Sathupradit 1
สาธุประดิษฐ์ 2,1049,798,829,52,40,42,Sathupradit 2
ทางพิเศษศรีรัช (ทางด่วนขั้นที่ 2),220658,175539,202404,7103,5671,7063,Sri Rat Expressway  (The second stage expressway)
ช่วงพญาไท - อโศก (ส่วน A),69731,56411,64485,3348,2736,3134,Phaholyothin - Asoke (Section A)
ประชาชื่น (ขาเข้า) ในเมือง,17503,14999,16523,781,678,747,Pracha Chuen (inbound)
รัชดาภิเษก,2472,2119,2130,122,106,107,Ratchada Pisek
บางซื่อ,2218,1313,1542,110,65,77,Bang Sue
บางซื่อ 2,4977,4341,4793,245,216,239,Bang Sue 2
พหลโยธิน,4472,3673,4293,220,183,214,Phaholyothin
คลองประปา 1,2373,1803,1926,116,88,95,Khlong Prapa 1
คลองประปา 2,3177,2457,2678,156,122,133,Khlong Prapa 2
พหลโยธิน 1,1809,1494,1691,88,73,83,Phaholyothin 1
พหลโยธิน 2,1868,1405,1577,93,71,79,Phaholyothin 2
อโศก 1,6694,5272,6152,327,260,303,Asoke 1
อโศก 2,1274,848,926,63,42,46,Asoke 2
อโศก 4,20896,16686,20255,1029,832,1011,Asoke 4
ช่วงประชาชื่น - บางโคล่ (ส่วน B),29535,22309,25673,1451,1104,1274,Pracha Chuen - Bangkhlo (Section B)
ยมราช,5861,4387,5138,283,211,249,Yommarat
อุรุพงษ์,1276,989,1095,63,49,55,Uruphong
หัวลำโพง,4634,3434,3881,228,170,193,Hua Lamphong
สะพานสว่าง,3403,2416,2848,169,121,143,Saphan Sawang
สุรวงค์,5284,4307,5111,260,214,255,Surawong
สาทร,1742,1287,1422,86,65,71,Sathon
จันทน์,3607,2777,3242,178,139,162,Chan
สาธุประดิษฐ์ 3,1561,1217,1379,77,61,69,Sathupradit 3
พระราม 3,2168,1495,1557,107,75,78,Rama 3
ช่วงแจ้งวัฒนะ - บางโคล่ (นอกเมือง)(ส่วน C),60421,50390,55411,789,666,1230,Chaeng Watthana - Bangkhlo (Section C)
ประชาชื่น (ขาเข้า) นอกเมือง,17503,14999,16523,259,225,747,Pracha Chuen (inbound) sub-urban
ประชาชื่น (ขาออก),21158,17806,19935,210,179,200,Pracha Chuen (outbound)
ประชาชื่น 1,5572,4543,4701,82,68,70,Pracha Chuen 1
ประชาชื่น 2,8375,6815,7419,124,102,111,Pracha Chuen 2
งามวงศ์วาน 1,3599,2879,3157,53,43,47,Ngamwongwan 1
งามวงศ์วาน 2,4215,3348,3676,62,50,55,Ngamwongwan 2
ช่วงอโศก-ศรีนครินทร์ (ส่วน D),60971,46428,56835,1515,1164,1425,Phaholyothin - Asoke (Section D)
รามคำแหง,1730,1330,1656,42,33,41,Ramkhamhaeng
อโศก 3,19740,15451,18733,490,388,470,Asoke 3
อโศก 3-1,5016,3447,4639,125,86,116,Asoke 3-1
ศรีนครินทร์,19424,14860,18144,486,375,458,Srinakharin
พระราม 9,4488,3064,3752,112,77,93,Rama 9
พระราม 9-1 (ศรีรัช),10575,8275,9912,260,205,246,Rama 9-1 (si rat)
ทางพิเศษฉลองรัช (ทางด่วนสายรามอินทรา - อาจณรงค์ และทางด่วนสายรามอินทรา - วงแหวนรอบนอก),77504,63292,70909,2774,2266,2545,Chalong Rat Expressway (Ram Inthra - At Narong Expressway and Ram Inthra- Outer Ring Road Expressway) 
รามอินทรา,3859,3214,3551,154,128,142,Ram Inthra
โยธินพัฒนา,5751,4458,5020,229,178,201,Yothin Phattana
ลาดพร้าว,3833,3096,3340,115,93,100,Lat Phrao
ประชาอุทิศ,4804,3923,4467,192,157,179,Pracha Uthit
พระราม 9 -1,9986,7778,9449,298,232,282,Rama 9-1
พัฒนาการ 1,3235,2627,3072,129,105,123,Phatthanakan 1
พัฒนาการ 2,2682,2283,2627,105,89,103,Phatthanakan 2
พระโขนง,4109,3294,3796,166,133,153,Phra Khanong
อาจณรงค์ 2 (ไปบางนา),1592,1205,5468,64,48,54,At Narong 2 (to Bang Na)
อาจณรงค์ 2 (ไปท่าเรือ),5660,4895,1345,227,197,220,At Narong 2 (to Tha Rue)
พระราม 9-2,5206,4089,4409,157,123,133,Rama 9-2
อาจณรงค์ 3 - S1,4546,3356,3829,182,135,154,At Narong 3 - S1
รามอินทรา 1,4977,4364,4563,100,88,92,Ram Inthra 1
สุขาภิบาล 5-1,3941,3373,3828,157,135,153,Sukhaphibal 5-1
สุขาภิบาล 5-2,1784,1572,1580,36,32,32,Sukhaphibal 5-2
จตุโชติ,11540,9765,10565,465,394,426,Chatuchot
ทางพิเศษบูรพาวิถี(สายบางนา - ชลบุรี) ,50143,39535,47008,1892,1512,1840,Burapha Withi Expressway(Bang Na - Chon Buri)
บางนา กม 6 (ขาเข้า)  ช่องทางที่ 1-4 ,8911,7000,8514,300,236,296,Bang Na km. 6 (inbound)  Way 1-4
บางนา กม 6 (ขาเข้า)  ช่องทางที่ 5-14 ,4849,3463,3737,178,122,147,Bang Na km. 6 (inbound)  Way 5-14
บางแก้ว,1707,1225,1438,33,25,29,Bangkaeo
บางแก้ว (วงแหวน),6085,5037,6165,275,232,289,Bangkaeo (Outer Ring Road)
บางพลี 1,1788,1335,1481,36,27,30,Bangpli 1
บางพลี 2,2866,2350,2817,106,88,107,Bangpli 2
เมืองใหม่บางพลี,2636,2217,2436,55,48,52,Muangmaibangpli
บางเสาธง,3264,2735,3098,80,68,76,Bangsaotong
บางบ่อ,1009,828,1107,31,25,33,Bangboa
บางพลีน้อย,1480,1392,1578,55,52,59,Bangplinoi
บางสมัคร,3544,3022,3344,152,134,148,Bang-samag
บางวัว,161,136,173,3,3,4,Bangwua
บางปะกง 1,1363,1187,1301,70,62,68,Bangpakong 1
บางปะกง 2,114,98,141,2,2,3,Bangpakong 2
ชลบุรี,7233,5346,6959,441,337,433,Chon Buri
สุวรรณภูมิ 1,1164,627,867,23,13,18,Suvarnabhumi 1
สุวรรณภูมิ 2,850,662,863,28,22,30,Suvarnabhumi 2
บางนา กม9-1,570,471,560,11,9,11,Bangna km.9-1
บางนา กม9-2,549,404,427,11,8,9,Bangna km.9-2
ทางพิเศษอุดรรัถยา (สายบางปะอิน - ปากเกร็ด),28832,23305,26132,1315,1079,1229,Udon Ratthaya Expressway (Bangpa-in - Pak Kret)
เมืองทอง (ขาเข้า),1943,1515,1695,67,51,70,Muangthong (inbound)
เมืองทอง (ขาออก),1371,1026,1135,47,34,47,Muangthong (outbound)
ศรีสมาน (ขาเข้า),3690,3057,3557,163,137,160,Srisaman (inbound)
ศรีสมาน (ขาออก),3750,3043,3505,166,137,158,Srisaman (outbound)
บางพูน (ขาเข้า),2828,2290,2538,126,104,115,Bangpoon (inbound)
บางพูน (ขาออก),2282,1899,2043,102,87,93,Bangpoon (outbound)
เชียงราก (ขาเข้า),3224,2507,2942,144,114,133,Chiang Rag (inbound)
เชียงราก (ขาออก),3140,2537,3012,141,115,137,Chiang Rag (outbound)
บางปะอิน (ขาเข้า),3040,2509,2694,165,139,149,Bangpa-in (inbound)
บางปะอิน (ขาออก),3563,2923,3012,194,161,166,Bangpa-in (outbound)
ทางพิเศษกาญจนาภิเษก  ทางพิเศษบางพลี สุขสวัสดิ์,82311,70849,79716,2654,2413,2707,Karnchanapisek Expressway (Bangphli Suksawat)  
บางขุนเทียน ทางออก 1,9751,8279,8677,256,226,239,Bangkhuntheiyn (outbound) 1
บางขุนเทียน ทางออก 2,1761,1470,1664,51,44,53,Bangkhuntheiyn (outbound) 2
บางขุนเทียน ทางออก 3,6108,5535,6461,240,231,261,Bangkhuntheiyn (outbound) 3
บางครุ ทางออก 1,5533,5002,5535,318,298,337,Bangkhru (outbound) 1
