ตาราง 15.11 การโดยสารรถไฟ ปีงบประมาณ 2563 - 2565   ,,,,,,
Table 15.11 Railway Passenger: Fiscal Years 2020 - 2022,,,,,,
,,,,,,
รายการ,หน่วย,2563 (2020),2564 (2021),2565 (2022),Item,Unit
รายได้จากการโดยสาร,"1,000 บาท",3135898,1612142,2012382,Passenger revenue         ,"1,000 Baht"
ค่าโดยสารชั้น 1,"1,000 บาท",45926,23744,46659,First class                ,"1,000 Baht"
ค่าโดยสารชั้น 2,"1,000 บาท",521732,244073,428454,Second class,"1,000 Baht"
ค่าโดยสารชั้น 3,"1,000 บาท",422102,222519,298065,Third class                 ,"1,000 Baht"
รายได้อื่นๆ,"1,000 บาท",2146137,1121806,1239203,Others                     ,"1,000 Baht"
จำนวนผู้โดยสาร,"1,000 คน",25813,14228,17476,Passenger carried            ,"1,000 Persons"
ชั้น 1,"1,000 คน",95,51,94,First class                ,"1,000 Persons"
ชั้น 2,"1,000 คน",2650,1350,2204,Second class,"1,000 Persons"
ชั้น 3,"1,000 คน",23068,12827,15178,Third class                 ,"1,000 Persons"
ค่าโดยสารเฉลี่ยต่อผู้โดยสาร 1 คน,บาท,121.49,113.31,115.15,Average fare per passenger      ,Baht
กิโลเมตรผู้โดยสาร,"1,000 กม.",3764317,2051215,2876556,Passenger kilometres         ,"1,000 Kms."
รายได้เฉลี่ยต่อกิโลเมตรผู้โดยสาร,บาท,0.83,0.79,0.70,  Average revenue per passenger kilometres,Baht
ระยะเดินทางเฉลี่ยของผู้โดยสาร,กม.,145.83,144.17,164.60,Average distance per passenger    ,Km.
,,,,,,
ที่มา:  การรถไฟแห่งประเทศไทย,,,,,,
Source:  The State Railway of Thailand,,,,,,
