ตาราง 15.12 ปริมาณ และรายได้จากการบรรทุกสินค้าโดยทางรถไฟ ปีงบประมาณ 2565 - 2566,,,,,,,
Table 15.12 Quantity and Freight Revenue of Commodities Carried by Railway: Fiscal Years 2022 - 2023,,,,,,,
,,,,,,,
ประเภท,สินค้า,ปริมาณ (ตัน) (Quantity (Ton))_2565 (2022),ปริมาณ (ตัน) (Quantity (Ton))_2566 (2023),รายได้ (พันบาท) (Freight revenue (Thousand Baht))_2565(2022),รายได้ (พันบาท) (Freight revenue (Thousand Baht))_2566(2023),Type,Commodity
รวมยอด,,11108786,… ,1539853,… ,Total,
ประเภทเหมาคัน,รวม,11084850,12026918,1474166,1606942,Carload,Total
ประเภทเหมาคัน,ผลิตภัณฑ์เกษตรกรรม,-,338,-,6,Carload,Agricultural product
ประเภทเหมาคัน,ผลิตภัณฑ์พืช,-,75,-,4,Carload,Crop product
ประเภทเหมาคัน,หญ้า,-,75,-,4,Carload,Grass
ประเภทเหมาคัน,สัตว์มีชีวิตและผลิตภัณฑ์สัตว์,-,263,-,2,Carload,Live animals and animal products
ประเภทเหมาคัน,ผลิตภัณฑ์อุตสาหกรรม,3195762,3080929,795827,765337,Carload,Industrial product
ประเภทเหมาคัน,วัสดุก่อสร้าง,1622603,1411825,244756,183501,Carload,Building material
ประเภทเหมาคัน,ซีเมนต์,1570647,1404184,239297,182971,Carload,Cement
ประเภทเหมาคัน,อื่นๆ,51956,7641,5459,530,Carload,Others
ประเภทเหมาคัน,ผลิตภัณฑ์ปิโตรเลียม,1324944,1442593,470544,507630,Carload,Petroleum product
ประเภทเหมาคัน,น้ำมันเบนซิน,18377,20186,7117,7815,Carload,Benzine
ประเภทเหมาคัน,น้ำมันดีเซล,341359,420013,110489,135845,Carload,Diesel and solar oil
ประเภทเหมาคัน,น้ำมันดิบ,965208,1002394,352938,363970,Carload,Crude oil
ประเภทเหมาคัน,ก๊าซปิโตรเลียม,248160,226512,80483,74206,Carload,Liquid petroleum gas
ประเภทเหมาคัน,อื่นๆ,55,-,44,-,Carload,Others
ประเภทเหมาคัน,โภคภัณฑ์เบ็ดเตล็ด,7889088,8945651,678339,841600,Carload,Miscellaneous
ประเภทเหมาคัน,ของใช้ทหารและตำรวจ,1975,899,293,338,Carload,Military and police effect
ประเภทเหมาคัน,สินค้าเบ็ดเตล็ด,219,56082,18119,32814,Carload,Miscellaneous goods
ประเภทเหมาคัน,ตู้คอนเทนเนอร์,7886894,8888670,659927,808448,Carload,Containers
ประเภทหีบห่อ,,23936,… ,65687,… ,Package,
,,,,,,,
ที่มา:  การรถไฟแห่งประเทศไทย   ,,,,,,,
Source:  The State Railway of Thailand,,,,,,,
