ตาราง  15.13  การขนส่งทางอากาศระหว่างประเทศ จำแนกตามท่าอากาศยาน ปีงบประมาณ 2566,,,,,,,,,,,,,,,,
Table  15.13  International Air Transport by Airport: Fiscal Year 2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(น้ำหนักสินค้า และไปรษณียภัณฑ์ หน่วยเป็นตัน  Freight and mail in ton)
ท่าอากาศยาน,การขนส่ง,จำนวนเที่ยวบินขึ้น - ลง (Aircraft movement departure-arrival),ผู้โดยสาร (Passenger)_รวมยอด (Total),   ผู้โดยสาร (Passenger) _เข้า (Disembarked),   ผู้โดยสาร (Passenger) _ออก (Embarked),   ผู้โดยสาร (Passenger) _ผ่าน (Transit),การขนถ่ายสินค้า (Freight)_รวมยอด (Total),การขนถ่ายสินค้า (Freight)_เข้า (Inbound), การขนถ่ายสินค้า (Freight)_ออก (Outbound),การขนถ่ายสินค้า (Freight)_ผ่าน (Transit),การขนถ่ายไปรษณียภัณฑ์ (Mail)_รวมยอด (Total),การขนถ่ายไปรษณียภัณฑ์ (Mail)_เข้า (Inbound), การขนถ่ายไปรษณียภัณฑ์ (Mail)_ออก (Outbound),การขนถ่ายไปรษณียภัณฑ์ (Mail)_ผ่าน (Transit),Airport,Transport
ท่าอากาศยานดอนเมือง,รวม,177194,25739224,12952016,12778163,9045,11060,1499,9516,45,-,-,-,-,Don Muang Internationl Airport,Total
ท่าอากาศยานดอนเมือง,ระหว่างประเทศ,64521,8704587,4412017,4288321,4249,8211,763,7404,44,-,-,-,-,Don Muang Internationl Airport,International 
ท่าอากาศยานดอนเมือง,ภายในประเทศ,112673,17034637,8539999,8489842,4796,2849,736,2112,1,-,-,-,-,Don Muang Internationl Airport,Domestic 
ท่าอากาศยานสุวรรณภูมิ,รวม,294085,48372447,24109925,23935028,327494,1158569,511578,598002,48989,533,243,285,5,Suvarnabhumi International Airport,Total
ท่าอากาศยานสุวรรณภูมิ,ระหว่างประเทศ,204632,36579307,18167066,18088355,323886,1146874,505310,592579,48985,533,243,285,5,Suvarnabhumi International Airport,International 
ท่าอากาศยานสุวรรณภูมิ,ภายในประเทศ,89453,11793140,5942859,5846673,3608,11695,6268,5423,4,-,-,-,-,Suvarnabhumi International Airport,Domestic 
ท่าอากาศยานภูเก็ต,รวม,82283,13013805,6538922,6448780,26103,22006,7578,14388,40,-,-,-,-,Phuket International Airport,Total
ท่าอากาศยานภูเก็ต,ระหว่างประเทศ,39107,6899110,3462538,3412779,23793,17481,4724,12717,40,-,-,-,-,Phuket International Airport,International 
ท่าอากาศยานภูเก็ต,ภายในประเทศ,43176,6114695,3076384,3036001,2310,4525,2854,1671,-,-,-,-,-,Phuket International Airport,Domestic 
ท่าอากาศยานหาดใหญ่,รวม,20956,3198049,1607177,1587738,3134,3303,1824,1478,1,-,-,-,-,Hat Yai International Airport,Total
ท่าอากาศยานหาดใหญ่,ระหว่างประเทศ,1588,235130,118428,115952,750,1,-,-,1,-,-,-,-,Hat Yai International Airport,International 
ท่าอากาศยานหาดใหญ่,ภายในประเทศ,19368,2962919,1488749,1471786,2384,3302,1824,1478,-,-,-,-,-,Hat Yai International Airport,Domestic 
ท่าอากาศยานเชียงใหม่,รวม,52682,7797236,3841284,3953182,2770,5356,1268,4022,66,-,-,-,-,Chiang Mai International Airport,Total
ท่าอากาศยานเชียงใหม่,ระหว่างประเทศ,11145,1487577,754654,731517,1406,434,37,332,65,-,-,-,-,Chiang Mai International Airport,International 
ท่าอากาศยานเชียงใหม่,ภายในประเทศ,41537,6309659,3086630,3221665,1364,4922,1231,3690,1,-,-,-,-,Chiang Mai International Airport,Domestic 
ท่าอากาศยานแม่ฟ้าหลวง เชียงราย,รวม,12691,1937934,976986,960490,458,896,501,395,-,-,-,-,-,Mae Fah Luang  Chiang Rai International Airport,Total
ท่าอากาศยานแม่ฟ้าหลวง เชียงราย,ระหว่างประเทศ,60,406,143,261,2,-,-,-,-,-,-,-,-,Mae Fah Luang  Chiang Rai International Airport,International 
ท่าอากาศยานแม่ฟ้าหลวง เชียงราย,ภายในประเทศ,12631,1937528,976843,960229,456,896,501,395,-,-,-,-,-,Mae Fah Luang  Chiang Rai International Airport,Domestic 
,,,,,,,,,,,,,,,,
(1) จำนวนเที่ยวบิน และจำนวนผู้โดยสาร ได้รวมจำนวนสายการบินราคาประหยัดไว้แล้ว,,,,,,,,,,,,,,,,
(1) The number of aircraft movement and passengers has already included the number of low-cost airlines.,,,,,,,,,,,,,,,,
ที่มา: บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),,,,,,,,,,,,,,,,
Source: Airports of Thailand Public Company Limited,,,,,,,,,,,,,,,,
