ตาราง 15.14 การขนส่งทางอากาศภายในประเทศ จำแนกตามท่าอากาศยาน พ.ศ. 2566,,,,,,,,,,,,
Table 15.14 Domestic Air Transport  by Airport: 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(น้ำหนักสินค้า และไปรษณียภัณฑ์ หน่วยเป็นกิโลกรัม  Freight and mail in kilogram)
ท่าอากาศยาน,จำนวนเที่ยวบิน (Aircraft movement),ผู้โดยสาร (Passenger)_รวมยอด (Total),ผู้โดยสาร (Passenger)_เข้า (Arrival),ผู้โดยสาร (Passenger)_ออก (Departure),ผู้โดยสาร (Passenger)_ผ่าน (Transit),ผู้โดยสาร (Passenger)_เปลี่ยนเครื่อง (Transfer),การขนถ่ายสินค้า (Freight)_กิโลกรัม (Kilogram),การขนถ่ายสินค้า (Freight)_เปลี่ยนเครื่อง (Transfer),การขนถ่ายสินค้า (Freight)_ผ่าน (Transit),การขนถ่ายไปรษณียภัณฑ์ (Mail)_กิโลกรัม (Kilogram),การขนถ่ายไปรษณียภัณฑ์ (Mail)_ผ่าน (Transit),Airport
ท่าอากาศยานหัวหิน,396,60935,30873,30062,-,-,-,-,-,-,-,Hua Hin Airport
ท่าอากาศน่านนคร,2512,386575,191946,194629,-,-,2,-,-,1,-,Nannakhon Airport
ท่าอากาศยานแพร่,98,5042,2531,2511,-,-,-,-,-,-,-,Phrae Airport
ท่าอากาศยานพิษณุโลก,2998,432851,215179,217672,-,-,15628,-,-,-,-,Phitsanulok Airport
ท่าอากาศยานแม่ฮ่องสอน,500,18605,9247,9358,-,-,-,-,-,-,-,Mae Hong Son Airport
ท่าอากาศยานแม่สอด,1126,91728,48240,43488,-,-,-,-,-,-,-,Mae Sot Airport
ท่าอากาศยานลำปาง,2060,113060,55649,52672,4739,-,9919,-,-,-,-,Lampang Airport
ท่าอากาศยานขอนแก่น,10976,1612271,798597,812796,878,-,279202,-,-,-,2,Khon Kaen Airport
ท่าอากาศยานเลย,1314,195189,95767,99422,-,-,729,-,-,-,-,Loei Airport
ท่าอากาศยานนครพนม,2242,359189,178354,180835,-,-,-,-,-,-,-,Nakhon Phanom Airport
ท่าอากาศยานบุรีรัมย์,2042,251459,124962,126497,-,-,-,-,-,-,-,Buri Ram Airport
ท่าอากาศยานสกลนคร,2396,361906,181380,180526,-,-,39239,2,-,-,1,Sakon Nakhon Airport
ท่าอากาศยานอุดรธานี,12861,1898995,944091,954456,448,-,409691,-,-,-,272,Udon Thani Airport
ท่าอากาศยานอุบลราชธานี,8512,1295871,642503,653367,-,1,313889,85,-,-,-,Ubon Ratchathani Airport
ท่าอากาศยานร้อยเอ็ด,2168,348798,173395,175403,-,-,-,-,-,-,-,Roi Et Airport
ท่าอากาศยานกระบี่,16392,2320695,1149599,1160198,10895,3,363415,-,-,-,15,Krabi Airport
ท่าอากาศยานชุมพร,828,122803,61339,61464,-,-,-,-,-,-,-,Chumphon Airport
ท่าอากาศยานระนอง,937,132725,66540,66185,-,-,-,-,-,-,-,Ranong Airport
ท่าอากาศยานนครศรีธรรมราช,9114,1195381,597391,597990,-,-,383936,5,-,-,133,Nakhon Si Thammarat Airport
ท่าอากาศยานนราธิวาส,1480,224423,112292,112131,-,-,-,-,-,-,-,Narathiwat Airport
ท่าอากาศยานสุราษฎร์ธานี,8844,1353421,674458,678389,574,-,655332,-,-,-,406,Surat Thani Airport
ท่าอากาศยานตรัง,3690,564461,279442,285019,-,-,184055,-,-,-,-,Trang Airport
,,,,,,,,,,,,
(1) รวมเที่ยวบิน เครื่องบินส่วนตัว หรือเครื่องบินทหารที่ใช้ปฏิบัติภารกิจต่างๆ เช่น เครื่องบินรบ และเครื่องฝึกบิน เป็นต้น,,,,,,,,,,,,
(1) Total flight include private aircrafts and military aircrafts (aircraft for military operation such as fighters and flight training aircrafts).,,,,,,,,,,,,
ที่มา:  กรมท่าอากาศยาน กระทรวงคมนาคม,,,,,,,,,,,,
"Source: Department of Airports, Ministry of Transport ",,,,,,,,,,,,
