ตาราง 15.15 การขนส่งทางน้ำระหว่างประเทศ  ปีงบประมาณ 2562 - 2566,,,,,,
Table 15.15 International Waterway Transportation: Fiscal Years 2019 - 2023,,,,,,
,,,,,,
รายการ,  2562 (2019),  2563 (2020),  2564 (2021),  2565 (2022),  2566 (2023),Item
"ท่าเรือกรุงเทพปริมาณสินค้า (1,000 ตัน)",19866,21450,21227,18667,18536,"Bangkok port Volume (1,000 Tons)"
สินค้าเข้า,11695,13161,13309,12077,11415,Inward Cargo
สินค้าออก,8171,8289,7917,6590,7121,Outward Cargo
"ท่าเรือกรุงเทพปริมาณตู้สินค้าผ่านท่า (1,000 ตู้)",1565,1435,1436,1272,1253,"Bangkok port No. of containers (1,000 Teu.)"
ตู้สินค้าเข้า,994,864,889,820,770,Inbound
ตู้สินค้าออก,571,571,547,452,483,Outbound
ท่าเรือกรุงเทพจำนวนเรือเข้า (เที่ยว),3803,3822,4233,4549,3939,Bangkok port No. of vessels (Call)
"ท่าเรือแหลมฉบังปริมาณสินค้า (1,000 ตัน)",89202,81301,89485,95494,93306,"Laem chabang port Volume (1,000 Tons)"
สินค้าเข้า,36693,34427,38919,39568,40622,Inward Cargo
สินค้าออก,52510,46874,50566,55926,52684,Outward Cargo
"ท่าเรือแหลมฉบังปริมาณตู้สินค้าผ่านท่า (1,000 ตู้)",7982,7476,8249,8657,8602,"Laem chabang port No. of containers (1,000 Teu.)"
ตู้สินค้าเข้า,3956,3726,4146,4401,4323,Inbound
ตู้สินค้าออก,4026,3750,4103,4257,4279,Outbound
ท่าเรือแหลมฉบังจำนวนเรือเข้า (เที่ยว),10762,9828,9435,9359,9166,Laem chabang port No. of vessels (Call)
,,,,,,
ที่มา: การท่าเรือแห่งประเทศไทย กระทรวงคมนาคม,,,,,,
"Source: Port Authority of Thailand, Ministry of Transport and Communications",,,,,,
