ตาราง15.17 อุบัติเหตุจากการจราจรทางบก คนตาย บาดเจ็บ และทรัพย์สินเสียหาย พ.ศ. 2557 - 2566,,,,,
"Table 15.17 Road Traffic Accidents, Casualties and Property Damaged: 2014 - 2023",,,,,
,,,,,
ปี (Year),จำนวนอุบัติเหตุ (Number of accidents),จำนวนคนตายและบาดเจ็บโดยอุบัติเหตุ (Number of casualties)_คนตาย (Dead),จำนวนคนตายและบาดเจ็บโดยอุบัติเหตุ (Number of casualties)_บาดเจ็บสาหัส (Serious injure),จำนวนคนตายและบาดเจ็บโดยอุบัติเหตุ (Number of casualties)_บาดเจ็บเล็กน้อย (Slight injure),ทรัพย์สินเสียหาย(พันบาท) (Property damaged (Thousand Baht))
2557 (2014),60161,6338,2813,17305,406721
2558 (2015),71054,6432,2559,15329,266738
2559 (2016),84691,8433,1929,6071,206910
2560 (2017),86100,8791,1425,2358,52171
2561 (2018),103719,8358,5387,55903,42841
2562 (2019),101139,8678,5292,56044,65093
2563 (2020),93750,7324,4746,50550,56468
2564 (2021),100330,6630,4686,51711,51068
2565 (2022),85390,6015,3850,37720,34779
2566 (2023),81274,5793,3747,37111,16137
,,,,,
ที่มา: สำนักงานตำรวจแห่งชาติ,,,,,
Source: Royal Thai Police,,,,,
