ตาราง 15.18 ต้นทุนโลจิสติกส์ และสัดส่วนต้นทุนโลจิสติกส์ ต่อ GDP ของประเทศไทย พ.ศ. 2561 - 2565,,,,,,,,,
Table 15.18 Thailand's Logistics Cost and Logistics Cost to GDP: 2018 - 2022,,,,,,,,,
,,,,,,,,,
รายการ,,ต้นทุนโลจิสติกส์,2561 (2018),2562 (2019),2563 (2020),2564 (2021),2565 (2022),Item,Logistics cost
ต้นทุนโลจิสติกส์ (พันล้านบาท),,มูลค่าผลิตภัณฑ์มวลรวมในประเทศ ณ ราคาประจำปี,16373.3,16889.2,15661.2,16166.6,17367.3,Logistics cost (Billion Baht),Gross Domestic Product (GDP)
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ต้นทุนโลจิสติกส์รวม,2191.8,2254.2,2188.8,2251.1,2382.2,Logistics cost (Billion Baht),Total logistics cost
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ต้นทุนการขนส่งสินค้า,1104.6,1113.7,1047.0,1094.1,1152.4,Logistics cost (Billion Baht),Transportation cost
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ทางท่อ,68.2,61.1,53.2,54.1,53.2,Logistics cost (Billion Baht),Pipeline
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ทางราง,2.1,2.0,1.9,1.8,1.9,Logistics cost (Billion Baht),Rail
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ทางถนน,567.6,564.5,517.8,502.0,521.6,Logistics cost (Billion Baht),Road
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ทางน้ำ,243.0,238.6,236.7,270.5,271.8,Logistics cost (Billion Baht),Water
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ทางอากาศ,46.1,42.5,13.8,13.9,24.6,Logistics cost (Billion Baht),Air
ต้นทุนโลจิสติกส์ (พันล้านบาท),,บริการเกี่ยวเนื่องกับการขนส่ง,126.0,147.3,152.6,169.9,199.0,Logistics cost (Billion Baht),Transport-related services
ต้นทุนโลจิสติกส์ (พันล้านบาท),,บริการไปรษณีย์และพัสดุภัณฑ์,51.8,57.7,71.0,81.9,80.3,Logistics cost (Billion Baht),Parcel services
ต้นทุนโลจิสติกส์ (พันล้านบาท),,  ต้นทุนการเก็บรักษาสินค้าคงคลัง,924.1,972.7,978.9,989.5,1052.6,Logistics cost (Billion Baht),Inventory holding costs
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ต้นทุนการถือครองสินค้า,732.3,779.4,783.1,822.6,883.7,Logistics cost (Billion Baht),Inventory carrying cost
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ต้นทุนบริหารคลังสินค้า,191.8,193.3,195.8,166.9,168.9,Logistics cost (Billion Baht),Warehousing cost
ต้นทุนโลจิสติกส์ (พันล้านบาท),,ต้นทุนการบริหารจัดการ,163.1,167.8,162.9,167.5,177.2,Logistics cost (Billion Baht),Logistics admistration cost
สัดส่วนต้นทุนโลจิสติกส์ ต่อ GDP ของประเทศไทย (ร้อยละ ต่อ GDP),ต้นทุนโลจิสติกส์ ต่อ GDP,ต้นทุนโลจิสติกส์ ต่อ GDP,13.4,13.3,14.0,13.9,13.7,Proportion of logistics costs  to GDP (Percent to GDP),Logistics cost to GDP
สัดส่วนต้นทุนโลจิสติกส์ ต่อ GDP ของประเทศไทย (ร้อยละ ต่อ GDP),ต้นทุนโลจิสติกส์ ต่อ GDP,ต้นทุนการขนส่งสินค้า ต่อ GDP,6.8,6.6,6.7,6.8,6.6,Proportion of logistics costs  to GDP (Percent to GDP),Transportation cost to GDP
สัดส่วนต้นทุนโลจิสติกส์ ต่อ GDP ของประเทศไทย (ร้อยละ ต่อ GDP),ต้นทุนโลจิสติกส์ ต่อ GDP,  ต้นทุนการเก็บรักษาสินค้าคงคลัง ต่อ GDP,5.6,5.7,6.3,6.1,6.1,Proportion of logistics costs  to GDP (Percent to GDP), Inventory holding cost  to GDP
สัดส่วนต้นทุนโลจิสติกส์ ต่อ GDP ของประเทศไทย (ร้อยละ ต่อ GDP),ต้นทุนโลจิสติกส์ ต่อ GDP,ต้นทุนการบริหารจัดการ ต่อ GDP,1.0,1.0,1.0,1.0,1.0,Proportion of logistics costs  to GDP (Percent to GDP),  Logistics admistration cost to GDP
,,,,,,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ สำนักนายกรัฐมนตรี,,,,,,,,,
"Source: Office of the National Economic and Social Development Council, Office of the Prime Minister",,,,,,,,,
