ตาราง 15.3 รถจดทะเบียน จำแนกตามประเภท พ.ศ. 2565 - 2566,,,,,
Table  15.3 Vehicles Registered by Type: 2022 - 2023,,,,,
,,,,,
,,,,,(คัน Car)
ประเภท,2565 (2022),2566 (2023),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Type
รวมยอด,43394104,44363975,2.6,2.2,Total
พระราชบัญญัติรถยนต์  พ.ศ. 2522,42035133,42987036,2.6,2.3,Motor Vehicle Act B.E. 2522 (1979)
รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,11344873,11835423,4.5,4.3,Sedan (not more than 7 passengers)
รถยนต์นั่งส่วนบุคคลเกิน 7 คน,445862,448327,1.5,0.6,Microbus and passenger van
รถยนต์บรรทุกส่วนบุคคล,7085910,7106524,1.5,0.3,Van and pick up
รถยนต์สามล้อส่วนบุคคล,1362,1323,-1.1,-2.9,Motortricycle
รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,82499,80837,-2.6,-2,Urban taxi 
รถยนต์สี่ล้อเล็กรับจ้าง,2247,2128,-5.1,-5.3,Fixed route taxi
รถยนต์รับจ้างสามล้อ,18622,17847,-2.5,-4.2,Motortricycle taxi (Tuk Tuk)
รถยนต์บริการธุรกิจ,3610,3879,-5.9,7.5,Hotel taxi 
รถยนต์บริการทัศนาจร,4093,4592,-3.6,12.2,Tour taxi 
รถยนต์บริการให้เช่า,77,74,14.9,-3.9,Car for hire 
รถจักรยานยนต์,22137636,22569593,2.1,2,Motorcycle
รถแทรกเตอร์,630103,646782,5,2.6,Tractor
รถบดถนน,16474,16705,2.2,1.4,Road roller
รถใช้งานเกษตรกรรม,109974,110165,0.3,0.2,Farm vehicle 
รถพ่วง,8098,8684,9.5,7.2,Automobile trailer
รถจักรยานยนต์สาธารณะ,143099,130930,-9.4,-8.5,Public motorcycle
รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,594,3223,100,442.6,Ride-hailing car
พระราชบัญญัติการขนส่งทางบก  พ.ศ.2522,1358971,1376939,1.2,1.3,Land Transport Act  B.E. 2522 (1979)
รถโดยสาร,132806,129235,-5.3,-2.7,Bus
ประจำทาง,60346,57012,-6.7,-5.5,Fixed route bus
ไม่ประจำทาง,58587,58294,-5.1,-0.5,Non-fixed route bus
ส่วนบุคคล,13873,13929,0.1,0.4,Private bus
รถบรรทุก,1225549,1247128,2,1.8,Truck
ไม่ประจำทาง,401732,419385,5.3,4.4,Non-fixed route truck
ส่วนบุคคล,823817,827743,0.4,0.5,Private truck
รถขนาดเล็ก,616,576,-1.0,-6.5,Small rural bus
,,,,,
ที่มา:  กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,
"Source:  The Department of Land Transport, Ministry of Transport ",,,,,
