ตาราง 15.7 รถจดทะเบียน ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,
Table 15.7 Vehicles Registered Under Land Transport ACT B.E. 2522 (1979) by Region and Province: 2023,,,,,,,
,,,,,,,
,,,,,,,(คัน Car)
ภาค,จังหวัด ,รวมยอด  (Total), รถโดยสาร (Bus) (1),รถบรรทุก (Truck) (2),รถขนาดเล็ก (Small rural bus),Region,Province
ทั่วราชอาณาจักร,,1376939,129235,1247128,576,Whole Kingdom,
กรุงเทพมหานครและปริมณฑล,รวม,337592,44162,293400,30,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,193792,34460,159332,-,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,42084,3324,38750,10,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,19186,1680,17506,-,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,24590,2137,22453,-,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,42295,1224,41058,13,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,15645,1337,14301,7,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,104801,7009,97782,10,Central Region,Total
ภาคกลาง,พระนครศรีอยุธยา,29570,3319,26249,2,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,5857,747,5110,-,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,18137,1479,16657,1,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,5646,293,5352,1,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,8745,309,8434,2,Central Region,Chai Nat
ภาคกลาง,สระบุรี,36846,862,35980,4,Central Region,Saraburi
ภาคตะวันออก,รวม,166273,14412,151852,9,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,65332,7001,58328,3,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,31034,2825,28208,1,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,10530,827,9700,3,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,3995,545,3450,-,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,25786,1913,23873,-,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,13145,630,12515,-,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,4660,291,4369,-,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,11791,380,11409,2,Eastern Region,Sa Kaeo
ภาคตะวันตก,รวม,99310,4487,94815,8,Western Region,Total
ภาคตะวันตก,ราชบุรี,19969,617,19352,-,Western Region,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,20289,915,19371,3,Western Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,30672,1250,29421,1,Western Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,3778,393,3384,1,Western Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,12988,615,12373,-,Western Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,11614,697,10914,3,Western Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,205660,13386,192148,126,Northern Region,Total
ภาคเหนือ,เชียงใหม่,24873,5108,19765,-,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,5087,379,4708,-,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,10136,899,9228,9,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,6819,321,6498,-,Northern Region,Uttaradit
ภาคเหนือ,แพร่,6408,322,6067,19,Northern Region,Phrae
ภาคเหนือ,น่าน,6473,286,6187,-,Northern Region,Nan
