ตาราง 15.9 วินรถจักรยานยนต์สาธารณะ และผู้ขับขี่ในเขตกรุงเทพมหานคร จำแนกตามเขต ณ วันที่ 31 ธันวาคม 2566,,,,
Table 15.9 Public Motorcycle's Stands and Public Motorcylist in Bangkok by District as of 31th December 2023,,,,
,,,,
เขต,จำนวนวิน/ผู้ขับขี่จักรยานยนต์สาธารณะ (Number motorcycle's stands and Public Motorcyclist)_วิน (Stand),จำนวนวิน/ผู้ขับขี่จักรยานยนต์สาธารณะ (Number motorcycle's stands and Public Motorcyclist)_ผู้ขับขี่ (ราย) (Motorcyclist (person)),จำนวนวิน/ผู้ขับขี่จักรยานยนต์สาธารณะ (Number motorcycle's stands and Public Motorcyclist)_ผู้ขับขี่เฉลี่ยต่อวิน (Average no. of motorcyclist per stand),District
รวมยอด,5523,73279,13,Total
บางกะปิ,130,2528,19,Bang Kapi
บางเขน,104,1793,17,Bang Khen
บางรัก,168,1078,6,Bang Rak
ดุสิต ,144,1221,8,Dusit
ห้วยขวาง,176,2171,12,Huai Khwang
ปทุมวัน,138,1418,10,Pathum Wan
พญาไท,109,1484,14,Phaya Thai
ป้อมปราบศัตรูพ่าย,65,350,5,Pom Prap Sattru Phai
สัมพันธวงศ์,31,213,7,Samphanthawong
จตุจักร,220,3229,15,Chatuchak
ดอนเมือง,177,1423,8,Don Mueang
ลาดพร้าว,56,726,13,Lat Phrao
บางซื่อ,151,1246,8,Bang Sue
ราชเทวี,217,2221,10,Ratchathewi
ดินแดง,169,2446,14,Din Daeng
หลักสี่,114,1337,12,Lak Si
สายไหม,100,1153,12,Sai Mai
วังทองหลาง,53,2024,38,Wang Thonglang
บางขุนเทียน,108,2784,26,Bang Khun Thian
คลองสาน,92,1051,11,Khlong San
ราษฎร์บูรณะ,46,1374,30,Rat Burana
ธนบุรี,109,1706,16,Thon Buri
ยานนาวา,123,2116,17,Yan Nawa
บางคอแหลม,101,1572,16,Bang Kho Laem
จอมทอง,70,2026,29,Chom Thong
สาทร,164,1939,12,Sathon
ทุ่งครุ,74,1200,16,Thung Khru
บางบอน,110,1273,12,Bang Bon
พระนคร,117,770,7,Phra Nakhon
บางกอกน้อย,109,1620,15,Bangkok Noi
บางกอกใหญ่,49,873,18,Bangkok Yai
หนองแขม,125,1457,12,Nong Khaem
ภาษีเจริญ,94,1381,15,Phasi Charoen
ตลิ่งชัน,65,874,13,Taling Chan
บางพลัด,90,1778,20,Bang Phlat
ทวีวัฒนา,41,392,10,Thawi Watthana
บางแค,131,1720,13,Bang Khae
พระโขนง,44,1155,26,Phra Khanong
ประเวศ,132,1532,12,Prawet
คลองเตย,182,2146,12,Khlong Toei
สวนหลวง,98,1354,14,Suan Luang
วัฒนา,167,2561,15,Watthana
บางนา,121,1910,16,Bang Na
ลาดกระบัง,193,1836,10,Lat Krabang
มีนบุรี,125,1443,12,Min Buri
หนองจอก,85,534,6,Nong Chok
บึงกุ่ม,60,868,14,Bueng Kum
คลองสามวา,95,674,7,Khlong Sam Wa
คันนายาว ,53,764,14,Khan Na Yao
สะพานสูง,28,535,19,Saphan Sung
,,,,
ที่มา: กรมการขนส่งทางบก กระทรวงคมนาคม,,,,
"Source: The Department of Land Transport, Ministry of Transport ",,,,
