ตาราง 16.10 สถานประกอบการ จำแนกตามการใช้อินเทอร์เน็ตในการดำเนินกิจการ และกิจกรรมทางเศรษฐกิจ พ.ศ. 2565,,,,,
Table 16.10 Establishments by the Internet Access in Establishment and Economic Activity: 2022,,,,,
,,,,,
กิจกรรมทางเศรษฐกิจ,รวมยอดจำนวนของสถานประกอบการ (Total number of establishments),จำนวนของสถานประกอบการใช้อินเทอร์เน็ต (Number of establishments Using internet),จำนวนของสถานประกอบการไม่ใช้อินเทอร์เน็ต (Number of establishments Not using internet),จำนวนบุคลากรที่ใช้อินเทอร์เน็ตในการปฏิบัติงานเป็นประจำ (Number of persons using the internet  in their normal working routines),Economic activity
จำนวนรวมยอด,2555303,1776234,779070,4799065,Total Number
จำนวนธุรกิจทางการค้าและธุรกิจทางการบริการ,2091271,1500258,591013,3584873,Number of Business trade and services
จำนวนการผลิต,458509,270646,187863,1118135,Number of Manufacturing
จำนวนโรงพยาบาลเอกชน,382,382,-,65536,Number of Private hospital
จำนวนข้อมูลข่าวสารและการสื่อสาร,5141,4948,193,30522,Number of Information and communication
ร้อยละรวมยอด,100.0,69.5,30.5,100.0,Total Percent
ร้อยละธุรกิจทางการค้าและธุรกิจทางการบริการ,100.0,71.7,28.3,74.7,Percent of Business trade and services
ร้อยละการผลิต,100.0,59.0,41.0,23.3,Percent of Manufacturing
ร้อยละโรงพยาบาลเอกชน,100.0,100.0,-,1.4,Percent of Private hospital
ร้อยละข้อมูลข่าวสารและการสื่อสาร,100.0,96.2,3.8,0.6,Percent of Information and communication
,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในสถานประกอบการ สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,
"Source: The Establishment Survey on the Use of Information and Communication Technology, National Statistical Office, Ministry of Digital Economy and Society",,,,,
