ตาราง 16.11 สถานประกอบการที่ใช้คอมพิวเตอร์ในสถานประกอบการ จำแนกตามระบบเครือข่ายการติดต่อสื่อสาร  ขนาดของสถานประกอบการ และกิจกรรมทางเศรษฐกิจ พ.ศ. 2565,,,,,
"Table 16.11 Establishments Using Computer by Network Communication, Size of Establishmentand Economic Activity: 2022",,,,,
,,,,,
,,,,,
ขนาดของสถานประกอบการ/กิจกรรมทางเศรษฐกิจ,จำนวนสถานประกอบการที่ใช้คอมพิวเตอร์  (Number of establishments using computer),INTRANET,EXTRANET,LAN (Local Area Network),Size of establishment/Economic activity
รวมยอด,106839,50888,19745,72047,Total
ขนาดของสถานประกอบการ 1 - 10 คน,-,-,-,-,Size of establishment 1 - 10 persons
ขนาดของสถานประกอบการ 11 - 15 คน,36578,14929,5271,21554,Size of establishment 11 - 15 persons
ขนาดของสถานประกอบการ 16 - 25 คน,27483,12104,4079,17454,Size of establishment 16 - 25 persons
ขนาดของสถานประกอบการ 26 - 30 คน,7704,3501,1299,5216,Size of establishment 26 - 30 persons
ขนาดของสถานประกอบการ 31 - 50 คน,13535,6565,2489,9902,Size of establishment 31 - 50 persons
ขนาดของสถานประกอบการ 51 - 200 คน,16421,9868,4415,13283,Size of establishment 51 - 200 persons
ขนาดของสถานประกอบการ มากกว่า 200 คน,5117,3921,2192,4637,Size of establishment More than 200 persons
กิจกรรมทางเศรษฐกิจ ธุรกิจทางการค้า และธุรกิจทางการบริการ,62128,28981,10920,41412,Economic activity Business trade and services
กิจกรรมทางเศรษฐกิจ การผลิต,43336,21009,8364,29426,Economic activity Manufacturing
กิจกรรมทางเศรษฐกิจ โรงพยาบาลเอกชน,381,309,186,364,Economic activity Private hospital
กิจกรรมทางเศรษฐกิจ ข้อมูลข่าวสารและการสื่อสาร,993,588,274,845,Economic activity Information and communication
,,,,,
    ที่มา:  การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในสถานประกอบการ สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,
"Source:  The Establishment Survey on the Use of Information and Communication Technology,  National Statistical Office,  Ministry of Digital Economy and Society",,,,,
