ตาราง 16.8 สถานประกอบการ จำแนกตามการมีการใช้เครื่องคอมพิวเตอร์ในการประกอบกิจการ และกิจกรรมทางเศรษฐกิจ พ.ศ. 2565,,,,,
Table 16.8 Establishments by Using Computer and Economic Activity: 2022,,,,,
,,,,,
กิจกรรมทางเศรษฐกิจ,จำนวนของสถานประกอบการ  (Number of establishments),ใช้ที่สถานประกอบการ (Using at the establishment),ใช้คอมพิวเตอร์ที่อื่น (Using at  other places),ไม่ใช้คอมพิวเตอร์ (Not using computer),Economic activity
จำนวนรวมยอด,2555303,1022197,53044,1501458,Total Number
จำนวนธุรกิจทางการค้าและธุรกิจทางการบริการ,2091271,898479,47709,1164463,Number of Business trade and services
จำนวนการผลิต,458509,118512,5045,336792,Number of Manufacturing
จำนวนโรงพยาบาลเอกชน,382,382,6,-,Number of Private hospital
จำนวนข้อมูลข่าวสารและการสื่อสาร,5141,4824,285,203,Number of Information and communication
ร้อยละรวมยอด,100.0,40.0,2.1,58.8,Total Percent
ร้อยละธุรกิจทางการค้าและธุรกิจทางการบริการ,100.0,43.0,2.3,55.7,Percent of Business trade and services
ร้อยละการผลิต,100.0,25.8,1.1,73.5,Percent of Manufacturing
ร้อยละโรงพยาบาลเอกชน,100.0,100.0,1.6,-,Percent of Private hospital
ร้อยละข้อมูลข่าวสารและการสื่อสาร,100.0,93.8,5.5,3.9,Percent of Information and communication
,,,,,
หมายเหตุ: ตอบได้มากกว่า 1 คำตอบ,,,,,
Note: Answer more then 1 answer,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในสถานประกอบการ สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,
"Source: The Establishment Survey on the Use of Information and Communication Technology, National Statistical Office, Ministry of Digital Economy and Society",,,,,
