ตาราง 16.9 เครื่องคอมพิวเตอร์ และบุคลากร ที่ใช้เครื่องคอมพิวเตอร์ในการปฎิบัติงานของสถานประกอบการ จำแนกตามประเภทคอมพิวเตอร์ที่ใช้ ขนาดของสถานประกอบการ และกิจกรรมทางเศรษฐกิจ พ.ศ. 2565,,,,,,,,,
"Table 16.9 Computer and Person Using Computer in their Normal Work Routines of Establishment by Type of Computer, Size of Establishment and Economic Activity: 2022",,,,,,,,,
,,,,,,,,,
ขนาดของสถานประกอบการ/กิจกรรมทางเศรษฐกิจ,จำนวนสถานประกอบการที่ใช้คอมพิวเตอร์ในสถานประกอบการ (Number of establishments using computer),จำนวนคอมพิวเตอร์ส่วนบุคคล (Number of Personal computer),ร้อยละคอมพิวเตอร์ส่วนบุคคล (Percent of Personal computer) ,จำนวนแท็บเล็ต (Number of Tablet PC),ร้อยละแท็บเล็ต (Percent of Tablet PC),จำนวนคอมพิวเตอร์เพื่อการบริการประมวลผลจากส่วนกลาง (Number of Multi-user computers),ร้อยละคอมพิวเตอร์เพื่อการบริการประมวลผลจากส่วนกลาง (Percent of Multi-user computers),จำนวนบุคลากรที่ใช้คอมพิวเตอร์ในการปฏิบัติงานเป็นประจำ (คน) (Number of person using computer  in their normal  work routines (person)),Size of establishment/Economic activity
รวมยอด,1022197,960102,93.9,281352,27.5,205226,20.1,3512211,Total
ขนาดของสถานประกอบการ 1 - 10 คน,915359,856335,93.6,244108,26.7,163723,17.9,2086855,Size of establishment 1 - 10 persons
ขนาดของสถานประกอบการ 11 - 15 คน,36578,35157,96.1,11329,31.0,10661,29.1,157715,Size of establishment 11 - 15 persons
ขนาดของสถานประกอบการ 16 - 25 คน,27483,26666,97.0,9066,33.0,9318,33.9,158477,Size of establishment 16 - 25 persons
ขนาดของสถานประกอบการ 26 - 30 คน,7704,7507,97.4,2695,35.0,2887,37.5,59918,Size of establishment 26 - 30 persons
ขนาดของสถานประกอบการ 31 - 50 คน,13535,13272,98.1,4858,35.9,5755,42.5,135417,Size of establishment 31 - 50 persons
ขนาดของสถานประกอบการ 51 - 200 คน,16421,16156,98.4,6780,41.3,9120,55.5,356196,Size of establishment 51 - 200 persons
ขนาดของสถานประกอบการ มากกว่า 200 คน,5117,5009,97.9,2516,49.2,3762,73.5,557635,Size of establishment More than 200 persons
กิจกรรมทางเศรษฐกิจ ธุรกิจทางการค้า และธุรกิจทางการบริการ,898479,841468,93.7,252135,28.1,178133,19.8,2511937,Economic activity Business trade and services
กิจกรรมทางเศรษฐกิจ การผลิต,118512,113595,95.9,27185,22.9,25136,21.2,874530,Economic activity Manufacturing
กิจกรรมทางเศรษฐกิจ โรงพยาบาลเอกชน,382,382,100.0,267,70.0,338,88.4,94818,Economic activity Private hospital
กิจกรรมทางเศรษฐกิจ ข้อมูลข่าวสารและการสื่อสาร,4824,4656,96.5,1764,36.6,1620,33.6,30927,Economic activity Information and communication
,,,,,,,,,
ที่มา: การสำรวจการมีการใช้เทคโนโลยีสารสนเทศและการสื่อสารในสถานประกอบการ สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: The Establishment Survey on the Use of Information and Communication Technology, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,
