ตาราง 17.1 เครื่องชี้ภาวะการท่องเที่ยว พ.ศ. 2562 - 2566,,,,,,,,
Table17.1 Tourism Indicators: 2019 - 2023,,,,,,,,
,,,,,,,,
รายการ,ภาค,2562 (2019) ,2563 (2020),2564 (2021) ,2565 (2022),2566 (2023),Item,Region
จำนวนนักท่องเที่ยวต่างประเทศที่เดินทางเข้าประเทศไทย (พันคน),ทั่วราชอาณาจักร,39916.25,6702.40,427.87,11065.23,28150.02,Number of foreign tourists visiting thailand (Thousand persons) ,Whole Kingdom
อัตราการเข้าพักของสถานพักแรม (ร้อยละ),ทั่วราชอาณาจักร,70.08,29.34,15.10,47.28,69.33,Accommodation occupancy rate (percent) ,Whole Kingdom
อัตราการเข้าพักของสถานพักแรม (ร้อยละ),ภาคกลาง (รวมกรุงเทพฯ),75.35,29.83,14.88,49.27,76.79,Accommodation occupancy rate (percent) ,Central Region (including Bangkok)
อัตราการเข้าพักของสถานพักแรม (ร้อยละ),ภาคเหนือ,61.91,36.15,19.39,51.64,63.21,Accommodation occupancy rate (percent) ,Northern Region
อัตราการเข้าพักของสถานพักแรม (ร้อยละ),ภาคตะวันออกเฉียงเหนือ,61.45,34.43,18.33,48.52,60.20,Accommodation occupancy rate (percent) ,Northeastern Region
อัตราการเข้าพักของสถานพักแรม (ร้อยละ),ภาคใต้,69.78,20.81,7.70,41.40,72.06,Accommodation occupancy rate (percent) ,Southern Region
อัตราการจองห้องพักล่วงหน้า 3 เดือน ของสถานพักแรม (ร้อยละ),ทั่วราชอาณาจักร,28.70,8.01,3.04,17.20,27.03,3 month advanced booking rate (percent),Whole Kingdom
อัตราการจองห้องพักล่วงหน้า 3 เดือน ของสถานพักแรม (ร้อยละ),ภาคกลาง (รวมกรุงเทพฯ),30.64,8.06,2.07,14.31,31.07,3 month advanced booking rate (percent),Central Region (including Bangkok)
อัตราการจองห้องพักล่วงหน้า 3 เดือน ของสถานพักแรม (ร้อยละ),ภาคเหนือ,29.37,9.96,5.30,20.10,18.07,3 month advanced booking rate (percent),Northern Region
อัตราการจองห้องพักล่วงหน้า 3 เดือน ของสถานพักแรม (ร้อยละ),ภาคตะวันออกเฉียงเหนือ,15.13,5.14,3.06,14.63,11.38,3 month advanced booking rate (percent),Northeastern Region
อัตราการจองห้องพักล่วงหน้า 3 เดือน ของสถานพักแรม (ร้อยละ),ภาคใต้,31.26,7.95,2.12,18.53,34.05,3 month advanced booking rate (percent),Southern Region
