ตาราง  17.2  สถานการณ์การท่องเที่ยวในประเทศ จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,
Table   17.2  Domestic Tourism Statistics by Region and Province: 2022 - 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_จำนวนผู้เข้าพัก (คน) (Numberof tourists accommodation (Person)),2565 (2022)_อัตราการเข้าพัก (Occupancy rate),2565 (2022)_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors (Person)),2565 (2022)_รายได้จากผู้เยี่ยมเยือน(ล้านบาท) (Receipts from visitors (Million Baht)),2566 (2023)p_จำนวนผู้เข้าพัก (คน) (Number of tourists accommodation (Person)),2566 (2023)p_อัตราการเข้าพัก (Occupancy rate),2566 (2023)p_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors(Person)),2566 (2023)p_รายได้จากผู้เยี่ยมเยือน (ล้านบาท) (Receipts from visitors (Million Baht)),อัตราการเปลี่ยนแปลง (Percent change)_จำนวนผู้เข้าพัก (คน) (Number of tourists accommodation (Person)),อัตราการเปลี่ยนแปลง (Percent change)_อัตราการเข้าพัก (Occupancy rate),อัตราการเปลี่ยนแปลง (Percent change)_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors(Person)),อัตราการเปลี่ยนแปลง (Percent change)_รายได้จากผู้เยี่ยมเยือน(ล้านบาท) (Receipts from visitors (Million Baht)),Region,Province
ทั่วราชอาณาจักร,,106303716,46.33,226672561,1222074.18,147197756,69.33,315550167,2173887.59,38.47,23.00,39.21,77.89,Whole Kingdom,
กรุงเทพมหานคร,,17575053,46.78,39001250,419672.06,31449487,76.73,56263370,750150.60,78.94,29.95,44.26,78.75,Bangkok,
ภาคกลาง,รวม,19202957,50.56,67746908,136621.45,22444983,59.66,88571692,189596.38,16.88,9.10,30.74,38.77,Central Region,Total
ภาคกลาง,สมุทรปราการ,677387,32.64,2363955,4551.24,965363,50.53,3288671,5173.51,42.51,17.89,39.12,13.67,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี                         ,717974,41.81,2516843,3699.21,1004138,57.57,3694223,5737.04,39.86,15.76,46.78,55.09,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,327209,30.14,1533436,2012.64,485630,49.41,2934634,4308.90,48.42,19.27,91.38,114.09,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,837430,45.53,2951336,4122.11,898613,50.03,3656542,5147.81,7.31,4.50,23.89,24.88,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,219272,26.82,560613,918.80,342052,40.27,1225537,1916.48,55.99,13.45,118.61,108.59,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,891629,52.62,7933558,12746.41,980887,58.14,10250901,21240.06,10.01,5.52,29.21,66.64,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,85750,31.46,675232,687.02,146167,44.82,1034507,1315.48,70.46,13.36,53.21,91.48,Central Region,Ang Thong
