ตาราง 17.4 ข้อมูลที่สำคัญของสถานประกอบการโรงแรมและเกสต์เฮาส์ พ.ศ. 2557 2559 2561 2563 และ 2565  ,,,,,,,,
"Table  17.4 Principal Statistics on Hotels and Guest House Establishment: 2014, 2016, 2018, 2020 and 2022",,,,,,,,
,,,,,,,,
ข้อมูลที่สำคัญ,รายการ,2557 (2014) (1),2559  (2016) (1),2561 (2018) (2),2563 (2020) (2),2565 (2022) (2),Principal statistics,Item
จำนวนโรงแรม และเกสต์เอาส์ (แห่ง),,10018,12654,24391,24269,30786,Number of hotels and guest houses,
จำนวนโรงแรม และเกสต์เอาส์ (แห่ง),น้อยกว่า 60 ห้อง,8171,10802,x,x,x,Number of hotels and guest houses,Less than 60 rooms
จำนวนโรงแรม และเกสต์เอาส์ (แห่ง),60 - 149 ห้อง,1259,1344,x,x,x,Number of hotels and guest houses,60 -149 rooms
จำนวนโรงแรม และเกสต์เอาส์ (แห่ง),ตั้งแต่ 150 ห้องขึ้นไป,588,508,x,x,x,Number of hotels and guest houses,150 rooms or more
จำนวนห้องพัก (ห้อง),,457029,481528,721501,719275,956372,Number of rooms  ,
จำนวนห้องพัก (ห้อง),น้อยกว่า 60 ห้อง,179397,219432,x,x,x,Number of rooms  ,Less than 60 rooms
จำนวนห้องพัก (ห้อง),60 - 149 ห้อง,113617,118609,x,x,x,Number of rooms  ,60 -149 rooms
จำนวนห้องพัก (ห้อง),ตั้งแต่ 150 ห้องขึ้นไป,164015,143488,x,x,x,Number of rooms  ,150 rooms or more
จำนวนผู้เข้าพัก (ล้านคน),,111.0,117.8,158.5,130.6,57.0,Number of tourists accommodation (Million persons),
จำนวนผู้เข้าพัก (ล้านคน),ชาวไทย (ล้านคน),49.4,51.5,88.6,78.1,50.6,Number of tourists accommodation (Million persons),Thai (Million persons)
จำนวนผู้เข้าพัก (ล้านคน),ชาวต่างชาติ (ล้านคน),61.6,66.3,69.9,52.5,6.4,Number of tourists accommodation (Million persons),Foreigner (Million persons)
จำนวนลูกจ้าง (คน),,231528,237344,287736,292575,228582,Number of employees (person),
จำนวนลูกจ้าง (คน),เฉลี่ยต่อกิจการ (คน),23.1,18.8,11.8,12.0,7.4,Number of employees (person),Average business (person)
ค่าตอบแทนแรงงาน (ล้านบาท),,44201.2,48624.0,59003.0,62390.1,36686.9,Remuneration (Million Baht),
ค่าตอบแทนแรงงาน (ล้านบาท),เฉลี่ยต่อคนต่อเดือน (บาท),15909.2,17072.3,17088.3,17770.4,13374.8,Remuneration (Million Baht),Per month (Baht) 
รายรับในการดำเนินกิจการ (ล้านบาท),,161481.7,175016.9,210861.9,224363.3,113817.5,Operating receipts (Million Baht),
รายรับในการดำเนินกิจการ (ล้านบาท),เฉลี่ยต่อกิจการ (พันบาท),16119.2,13831.0,8645.1,9233.1,3695.4,Operating receipts (Million Baht),Average business (Thousand Baht)
ค่าใช้จ่ายในการดำเนินกิจการ (ล้านบาท),,72918.8,70636.9,164799.9,162149.3,101242.0,Operating expenses (Million Baht),
ค่าใช้จ่ายในการดำเนินกิจการ (ล้านบาท),เฉลี่ยต่อกิจการ (พันบาท),7278.8,5582.2,6756.6,6672.8,3287.1,Operating expenses (Million Baht),Average business (Thousand Baht)
สัดส่วนค่าใช้จ่ายต่อรายรับ (ร้อยละ),,72.5,68.1,78.2,72.3,88.9,Expenditure to revenue ratio (percent),
,,,,,,,,
หมายเหตุ:  เป็นข้อมูลผลการดำเนินกิจการในช่วง ม.ค. - ธ.ค. ของปีก่อนหน้า  ,,,,,,,,
Note:  Oparation data in Jan. - Dec. of previous year,,,,,,,,
(1) การสำรวจการประกอบกิจการโรงแรมและเกสต์เฮาส์,,,,,,,,
(1) The Hotels and Guest Houses Survey,,,,,,,,
(2) การสำรวจที่พักแรม,,,,,,,,
(2) The Accommodation Survey,,,,,,,,
ที่มา:  สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,
"Source:  National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,
