ตาราง 17.7 ร้อยละของประชากรที่มีอายุ 15 ปีขึ้นไปที่เดินทางท่องเที่ยว จำแนกตามวัตถุประสงค์ ในการเดินทางท่องเที่ยว และภาคที่อยู่อาศัย ในรอบปี 2565,,,,,,,,
Table 17.7 Percentage of Population Aged 15 Years and Over by Purpose in Traveling and Region in Living in 2022,,,,,,,,
,,,,,,,,
วัตถุประสงค์การเดินทางท่องเที่ยว,ภาคที่อยู่อาศัย (Region in living)_รวมยอด (Total),ภาคที่อยู่อาศัย (Region in living)_กรุงเทพมหานคร (Bangkok),ภาคที่อยู่อาศัย (Region in living)_กลาง (Central),ภาคที่อยู่อาศัย (Region in living)_ตะวันออก (Eastern),ภาคที่อยู่อาศัย (Region in living)_เหนือ (Northern),ภาคที่อยู่อาศัย (Region in living)_ตะวันออกเฉียงเหนือ (Northeastern),ภาคที่อยู่อาศัย (Region in living)_ใต้ (Southern),Purpose in traveling
เพื่อการพักผ่อน/คลายเคลียดจากชีวิตปัจจุบัน,34.69,39.27,36.74,40.52,30.92,32.73,34.92,To relax/Relieve from the present life
เพื่อเป็นรางวัลให้กับชีวิต,11.89,11.67,10.68,11.19,13.73,11.45,12.65,As a reward for life
เพื่อสร้างความทรงจำ/ประสบการณ์ชีวิต,11.92,10.85,10.55,10.77,15.66,11.63,10.72,To make memories/Life experience
เพื่อการเรียนรู้/เปิดโลกทัศน์/หามุมมองใหม่ๆให้ชีวิต,10.08,7.62,8.40,7.44,10.47,12.24,9.70,To learn/Broaden horizon/Finding new perspective to life
เพื่อสักการะสิ่งศักดิ์สิทธิ์/ความศรัทธาทางศาสนา,6.51,7.84,8.11,7.01,5.18,6.77,4.57,Worship sacred/Religious faith
เพื่อสร้างความสัมพันธ์ที่ดี/กระชับความสัมพันธ์กับคนที่เดินทางด้วย,8.49,7.46,10.69,10.77,7.13,7.31,9.54,To build a good relationship/Strengthen relationship with travel companions
พาญาติผู้ใหญ่ไปท่องเที่ยวเพื่อแสดงความกตัญญู,4.62,5.14,5.41,3.70,4.23,4.73,4.25,Take an elder relative to travel for the show gratitude
เพื่อให้รู้จักตนเอง/ใช้เวลาอยู่กับตนเองคนเดียว,4.23,3.62,3.92,3.55,5.42,4.23,3.95,To know yourself/Spending time  alone with myself
 เพื่อทำประโยชน์ให้กับสังคม (เช่นช่วยเหลือสังคม ลดความเหลื่อมล้ำ กระจายรายได้สู่ชุมชน เป็นต้น),2.87,2.41,2.04,1.67,2.69,3.44,3.85,"To benefit society (ex. Social assistance, inequality reduction, the distribution of  income to community)"
เพื่อแสดงความโดดเด่น/การประสบความสำเร็จในชีวิตของตน,2.63,1.87,1.80,1.97,2.64,3.12,3.40,To show prominence/Success in life
เพื่อให้ได้รับการยอมรับว่าเป็นส่วนหนึ่งในหมู่คณะ/กิจกรรมทางสังคม,2.07,2.25,1.66,1.41,1.93,2.35,2.45,To be recognized as a part of the group/Social activity
,,,,,,,,
ที่มา: โครงการสำรวจพฤติกรรมการเดินทางท่องเที่ยวของชาวไทย พ.ศ. 2565 การท่องเที่ยวแห่งประเทศไทย กระทรวงการท่องเที่ยวและกีฬา,,,,,,,,
"Source: The 2022 Survey on Travel Behavior of the Thais, Tourism Authority of Thailand, Ministry of Tourism and Sports",,,,,,,,
