ตาราง 17.8 ร้อยละของประชากรที่มีอายุ 15 ปีขึ้นไปที่เดินทางท่องเที่ยว จำแนกตามกิจกรรมที่ทำระหว่างทริปท่องเที่ยว และภาคที่อยู่อาศัย พ.ศ. 2564 - 2565,,,,,,,,,,
Table 17.8 Percentage of Population Aged 15 Years and Over by Activities During the Trip and Region in Living: 2021 - 2022,,,,,,,,,,
,,,,,,,,,,
ปี,กิจกรรมที่ทำระหว่างทริปท่องเที่ยว,ภาคที่อยู่อาศัย (Region in living)_รวมยอด (Total),ภาคที่อยู่อาศัย (Region in living)_กรุงเทพมหานคร (Bangkok),ภาคที่อยู่อาศัย (Region in living)_กลาง (Central),ภาคที่อยู่อาศัย (Region in living)_ตะวันออก (Eastern),ภาคที่อยู่อาศัย (Region in living)_เหนือ (Northern),ภาคที่อยู่อาศัย (Region in living)_ตะวันออกเฉียงเหนือ (Northeastern),ภาคที่อยู่อาศัย (Region in living)_ใต้ (Southern),Year,Activities during the trip
2564,ถ่ายรูป,54,61.36,51.94,49.63,50.45,57.04,52.16,2021,Take a photo 
2564,ช้อปปิ้ง,34.81,47.14,31.37,32.7,32.02,37,30.98,2021,Shopping
2564,ขับรถเที่ยว,33.99,42.65,30.51,32.23,32.65,33.5,36.85,2021,Road trip
2564,นมัสการศาสนาสถาน เช่น ไหว้พระ/บูรพาจารย์/ขอพร,32.44,38.38,35.99,33.18,36.16,34.75,13.48,2021,"Warship ex. pay respect to buddha, First teacher, Make a wish"
2564,ชิมอาหารท้องถิ่น,30.88,48.92,27.98,27.42,24.89,32.72,28.83,2021,Test local food
2564,ชมทิวทัศน์/ชมธรรมชาติ/ดูดาว/ดูหิ่งห้อย,30.79,40.79,25.26,28.78,28.84,30.33,36.21,2021,Sightseeing/Nature viewing/Star watching/Firefly watching
2564,ท่องเที่ยวธรรมชาติและสัตว์ป่า,17.38,27.37,14.78,16.98,16.79,16.22,18.06,2021,Nature and wildlife tourism
2564,ว่ายน้ำ/เล่นน้ำ,17.35,28.57,20.26,23.67,10.5,12.68,22.72,2021,Swimming
2564,ศึกษาวัฒนธรรมท้องถิ่น,14.14,23.52,9.77,10.68,14.1,14.98,13.88,2021,Study of local culture
2564,ชมพิพิธภัณฑ์/ชมนิทรรศการศิลปวัฒนธรรม,12.68,23.13,9.85,12,14.41,12.14,9,2021,Museum visit/View art and culture exhibition
2565,ถ่ายรูป,54.7,62.43,58.32,53.09,52.09,51.76,57.27,2022,Take a photo 
2565,ช้อปปิ้ง,36.09,48.68,32.45,31.93,37.76,34.82,36.47,2022,Shopping
2565,ขับรถเที่ยว,33.18,42.1,31.93,30.54,32.59,31.05,36.96,2022,Road trip
2565,นมัสการศาสนาสถาน เช่น ไหว้พระ/บูรพาจารย์/ขอพร,30.82,35.68,35.61,32.18,29.75,32.61,18.23,2022,"First teacher, Make a wish"
2565,ชิมอาหารท้องถิ่น,30.8,48,33.27,25.85,27.03,28.44,31.34,2022,Test local food
2565,ชมทิวทัศน์/ชมธรรมชาติ/ดูดาว/ดูหิ่งห้อย,32.29,37.33,28.63,31.62,31.14,30.69,39.38,2022,Star watching/Firefly watching
2565,ท่องเที่ยวธรรมชาติและสัตว์ป่า,19.81,26.75,16.53,17.4,18.83,19.32,23.55,2022,Nature and wildlife tourism
2565,ว่ายน้ำ/เล่นน้ำ,19.84,27.79,24.31,23.28,14.61,14.48,26.93,2022,Swimming
2565,เรียนรู้วิถีชุมชน,18.25,23.03,14.6,11.81,17.23,21.16,18.44,2022,Learn lifestyle
2565,ศึกษาประวัติศศาสตร์,14.97,17.65,12.43,8.38,13.76,19.82,10.81,2022,Study history
,,,,,,,,,,
หมายเหตุ:  ตอบได้มากกว่า 1 คำตอบ,,,,,,,,,,
Note:  Answer more than 1 answer,,,,,,,,,,
ที่มา:  โครงการสำรวจพฤติกรรมการเดินทางท่องเที่ยวของชาวไทย พ.ศ. 2565 การท่องเที่ยวแห่งประเทศไทย กระทรวงการท่องเที่ยวและกีฬา,,,,,,,,,,
"Source:  The 2022 Survey on Travel behavior of the Thais, Tourism Authority of Thailand, Ministry of Tourism and Sports",,,,,,,,,,
