ตาราง 18.1  ธนบัตรและเหรียญกษาปณ์ที่หมุนเวียนในระบบเศรษฐกิจ พ.ศ. 2564 - 2566,,,,,,
Table 18.1  Currency in Circulation: 2021 - 2023,,,,,,
,,,,,,
รายการ,2564 (2021),2565 (2022),2566 (2023),Item,,
เงินสดที่หมุนเวียนในระบบเศรษฐกิจ,2398721,2405991,2506671,Currency in circulation,,
เหรียญกษาปณ์ที่หมุนเวียนในระบบเศรษฐกิจ,82183,85067,86831,Coins in circulation,,
ธนบัตรที่หมุนเวียนในระบบเศรษฐกิจ,2319376,2323500,2422419,Banknotes in circulation,,
ธนบัตรออกใช้,2409485,2409485,2509485,Banknotes Issued,,
ราคา 50 สตางค์,9,9,9,50 Satang,,
ราคา 1 บาท,121,121,121,1 Baht,,
ราคา 5 บาท,196,196,196,5 Baht,,
ราคา 10 บาท,3327,3326,3325,10 Baht,,
ราคา 20 บาท,46968,51404,54035,20 Baht,,
ราคา 50 บาท,29702,31773,32427,50 Baht,,
ราคา 60 บาท(1),1247,1247,1247,60 Baht(1),,
ราคา 70 บาท(2),1393,1393,1393,70 Baht(2),,
ราคา 80 บาท(3),152,152,152,80 Baht(3),,
ราคา 100 บาท,189965,179204,183969,100 Baht,,
ราคา 500 บาท,206070,170937,195004,500 Baht,,
"ราคา 1,000 บาท",1930172,1969561,2037444,1000 Baht,,
"ราคา 500,000 บาท(4)",161,161,161,500000 Baht(4),,
หัก: ธนบัตรที่ธนาคารแห่งประเทศไทย,90108,85985,87065,Less: Banknotes held by Bank of Thailand,,
หัก: ธนบัตรและเหรียญกษาปณ์ที่กรมธนารักษ์,2839,2575,2579,Less: Coins and banknotes held by Treasury Department,,
,,,,,,
(1)เริ่มออกใช้ตั้งแต่เดือนธันวาคม 2530,,,,,,       
(1)Issued since December 1987,,,,,,
(2)เริ่มออกใช้ตั้งแต่เดือนมิถุนายน 2559,,,,,,
(2)Issued since June 2016,,,,,,
(3)เริ่มออกใช้ตั้งแต่เดือนสิงหาคม 2555,,,,,,
(3)Issued since August 2012,,,,,,
(4)เริ่มออกใช้ตั้งแต่เดือนพฤษภาคม 2543,,,,,,
(4)Issued since May 2000,,,,,,
ที่มา: ธนาคารแห่งประเทศไทย ,,,,,,
Source: Bank of Thailand ,,,,,,
