ตาราง 18.10  จำนวนกรมธรรม์ และจำนวนเงินเอาประกันภัยของธุรกิจประกันชีวิต พ.ศ. 2565 - 2566,,,,,,,
Table 18.10  Number of Policies and Sum Insured of Life Insurance Business: 2022 - 2023,,,,,,,
,,,,,,,
รายการ,จำนวนกรมธรรม์ (ราย) (Number of policies (Policies))_2565 (2022),จำนวนกรมธรรม์ (ราย) (Number of policies (Policies))_2566 (2023),จำนวนกรมธรรม์ (ราย) (Number of policies (Policies))_อัตราการเปลี่ยนแปลง Percent change,จำนวนเงินเอาประกันภัย (ล้านบาท) (Sum insured (Million Baht))_2565 (2022),จำนวนเงินเอาประกันภัย (ล้านบาท) (Sum insured (Million Baht))_2566 (2023),จำนวนเงินเอาประกันภัย (ล้านบาท) (Sum insured (Million Baht))_อัตราการเปลี่ยนแปลง Percent change,Item
การประกันภัยประเภทสามัญ,20666379,20215515,-2.2,5963205,6052368,1.5,Ordinary
มีผลบังคับเมื่อสิ้นปีก่อน,21023526,20585407,-2.1,5892355,5937138,0.8,Effective at the end of past year
เพิ่มขึ้นระหว่างปี,2173467,2156782,-0.8,724794,801991,10.7,Increaed during the year
ทำใหม่,1966654,1976283,0.5,666316,738983,10.9,New insured
ต่ออายุ,89808,84173,-6.3,24399,27923,14.4,Renewal
อื่นๆ,117005,96326,-17.7,34079,35085,3.0,Others
ลดลง,2530614,2526674,-0.2,653944,686761,5.0,Decreased
ครบกำหนด,794848,759338,-4.5,212319,201481,-5.1,Maturity
มรณกรรม,109694,104281,-4.9,21499,21876,1.8,Death
เวนคืน,680735,696489,2.3,179276,191278,6.7,Surrender
ยกเลิกหรือขาดอายุ,804206,829959,3.2,214323,244619,14.1,Lapse
อื่นๆ,141131,136607,-3.2,26526,27507,3.7,Others
การประกันภัยประเภทอุตสาหกรรม,855628,773953,-9.5,87069,70864,-18.6,Industrial
มีผลบังคับเมื่อสิ้นปีก่อน,925234,855615,-7.5,94783,76802,-19.0,Effective at the end of past year
เพิ่มขึ้นระหว่างปี,21192,18940,-10.6,3463,3147,-9.1,Increaed during the year
ทำใหม่,20862,18618,-10.8,3045,2793,-8.3,New insured
ต่ออายุ,327,322,-1.5,51,50,-2.0,Renewal
อื่นๆ,3,-,-100.0,366,304,-16.9,Others
ลดลง,90798,100602,10.8,11176,9084,-18.7,Decreased
ครบกำหนด,42554,48686,14.4,5730,3878,-32.3,Maturity
มรณกรรม,5251,4884,-7.0,448,414,-7.6,Death
เวนคืน,33745,39560,17.2,3577,3626,1.4,Surrender
ยกเลิกหรือขาดอายุ,8834,6968,-21.1,1382,1111,-19.6,Lapse
อื่นๆ,414,504,21.7,39,56,43.6,Others
การประกันภัยประเภทกลุ่ม,2597626,3099051,19.3,10832184,11800685,8.9,Group
มีผลบังคับเมื่อสิ้นปีก่อน,1929872,2591203,34.3,10691378,10842842,1.4,Effective at the end of past year
เพิ่มขึ้นระหว่างปี,958991,922301,-3.8,2321104,2698829,16.3,Increaed during the year
ทำใหม่,414001,631418,52.5,2044650,2207832,8.0,New insured
ต่ออายุ,5131,5129,--,206491,284700,37.9,Renewal
อื่นๆ,539859,285754,-47.1,69963,206298,194.9,Others
ลดลง,291237,414453,42.3,2180298,1740986,-20.1,Decreased
ครบกำหนด,251123,340590,35.6,986741,746742,-24.3,Maturity
มรณกรรม,4066,4517,11.1,14136,15134,7.1,Death
เวนคืน,25193,38860,54.2,175701,210749,19.9,Surrender
ยกเลิกหรือขาดอายุ,10521,29860,183.8,516259,558160,8.1,Lapse
อื่นๆ,334,626,87.4,487461,210202,-56.9,Others
,,,,,,,
ที่มา:  สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย ,,,,,,,
Source:   Office of Insurance Commission,,,,,,,
