ตาราง 18.12  การรับประกันวินาศภัย จำแนกตามประเภทการประกันภัย พ.ศ. 2565 - 2566,,,,,,
Table 18.12  Non-Life Insurance Business by Type of Insurance: 2022 - 2023,,,,,,
,,,,,,
รายการ,ประเภทการประกันภัย,2565 (2022),2566 (2023),อัตราการเปลี่ยนแปลง (Percent change),Item,Type of insurance
จำนวนกรมธรรม์ (ราย)   ,รวมยอด,64352683,69074672,7.3,Number of policies (Policies),Total
จำนวนกรมธรรม์ (ราย)   ,การประกันอัคคีภัย,2925801,2866199,-2.0,Number of policies (Policies),Fire
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยทางทะเลและขนส่ง,862211,1287794,49.4,Number of policies (Policies),Marine and transportation
จำนวนกรมธรรม์ (ราย)   ,ตัวเรือ,4262,6708,57.4,Number of policies (Policies),Hull
จำนวนกรมธรรม์ (ราย)   ,สินค้า,857949,1281086,49.3,Number of policies (Policies),Cargo
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยรถ,45259324,47812420,5.6,Number of policies (Policies),Automobile
จำนวนกรมธรรม์ (ราย)   ,โดยข้อบังคับแห่งกฎหมาย,33769679,35703974,5.7,Number of policies (Policies),Copulsory
จำนวนกรมธรรม์ (ราย)   ,โดยความสมัครใจ,11489645,12108446,5.4,Number of policies (Policies),Voluntory
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยเบ็ดเตล็ด,15305347,17108259,11.8,Number of policies (Policies),Miscellaneous
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยทรัพย์สิน,1031353,1212528,17.6,Number of policies (Policies),Property insurance
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยอุบัติเหตุ,7863329,8129716,3.4,Number of policies (Policies),Personal accident insurance
จำนวนกรมธรรม์ (ราย)   ,การประกันภัยการเดินทาง,1683481,2849358,69.3,Number of policies (Policies),Travel insurance
จำนวนกรมธรรม์ (ราย)   ,อื่นๆ,4727184,4916657,4.0,Number of policies (Policies),Other insurance
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,รวมยอด,141557514,147226566,4.0,Sum insured (Million Baht),Total
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันอัคคีภัย,6225883,6275862,0.8,Sum insured (Million Baht),Fire
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยทางทะเลและขนส่ง,13519337,12522437,-7.4,Sum insured (Million Baht),Marine and transportation
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,ตัวเรือ,128305,153463,19.6,Sum insured (Million Baht),Hull
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,สินค้า,13391031,12368974,-7.6,Sum insured (Million Baht),Cargo
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยรถ,21688042,19996373,-7.8,Sum insured (Million Baht),Automobile
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,โดยข้อบังคับแห่งกฎหมาย,17222131,15003931,-12.9,Sum insured (Million Baht),Copulsory
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,โดยความสมัครใจ,4465910,4992442,11.8,Sum insured (Million Baht),Voluntory
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยเบ็ดเตล็ด,100124253,108431894,8.3,Sum insured (Million Baht),Miscellaneous
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยทรัพย์สิน,3140978,3176859,1.1,Sum insured (Million Baht),Property insurance
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยอุบัติเหตุ,30975023,23101608,-25.4,Sum insured (Million Baht),Personal accident insurance
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,การประกันภัยการเดินทาง,24826776,45065678,81.5,Sum insured (Million Baht),Travel insurance
จำนวนเงินเอาประกันภัย (ล้านบาท)  ,อื่นๆ,41181476,37087748,-9.9,Sum insured (Million Baht),Other insurance
,,,,,,
ที่มา: สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย ,,,,,,
Source: Office of Insurance Commission,,,,,,
