ตาราง 18.4  ปริมาณเงินและองค์ประกอบ พ.ศ. 2557 - 2566,,,,,,,
Table  18.4  Monetary Aggregates and Components: 2014 - 2023,,,,,,,
,,,,,,,
,,,,,,,(ล้านบาท  Million Baht)
ปี Year,ปริมาณเงินความหมายกว้าง (Broad money),ปริมาณเงินความหมายแคบ (Narrow money)_รวมยอด (Total),ปริมาณเงินความหมายแคบ (Narrow money)_เงินสดที่ไม่อยู่ในมือสถาบันรับฝากเงินและรัฐบาล (Currency  depository corp. outside & central gov.),ปริมาณเงินความหมายแคบ (Narrow money)_เงินรับฝากกระแสรายวันที่สถาบันรับฝากเงิน (Transferable  deposits at depository corp.),เงินรับฝากที่มีสภาพคล่องสูงกึ่งเงินสด (Quasi-money)_รวมยอด (Total),เงินรับฝากที่มีสภาพคล่องสูงกึ่งเงินสด (Quasi-money)_เงินรับฝากประเภทอื่นที่สถาบันรับฝากเงิน (Other deposits at depository corp.),เงินรับฝากที่มีสภาพคล่องสูงกึ่งเงินสด (Quasi-money)_ตราสารหนี้ Securities other than shares
2557 (2014),16809254,1682469,1200331,482138,15126784,14835056,291728
2558 (2015),17551712,1778051,1250926,527125,15773661,15576581,197081
2559 (2016),18290879,1864164,1335952,528212,16426715,16215032,211683
2560 (2017),19212873,2038861,1437559,601302,17174012,16987042,186970
2561 (2018),20109643,2095155,1504449,590706,18014488,17925815,88674
2562 (2019),20841010,2214392,1590842,623549,18626618,18557487,69131
2563 (2020),22958439,2529837,1812685,717152,20428602,20388331,40271
2564 (2021),24061617,2883750,2069505,814245,21177867,21131551,46316
2565 (2022),24994191,2973786,2110561,863225,22020405,21974374,46030
2566 (2023),25481698,3100157,2240776,859381,22381540,22323265,58276
,,,,,,,
หมายเหตุ:,1. ธปท. ได้ปรับปรุงข้อมูลปริมาณเงินความหมายกว้างตามนิยามใหม่ โดยรวมตั๋วแลกเงินที่ออกโดยธนาคารพาณิชย์ เงินรับฝากของสหกรณ์ออมทรัพย์ และมูลค่าสินทรัพย์สุทธิของกองทุนรวมตลาดเงิน,,,,,,
Note:,"1. Broad money included bill of exchange issued by commercial banks, deposit of saving cooperatives and net asset value of money market mutual fund.",,,,,,
,2. ปริมาณเงินตามความหมายแคบ หมายถึง ธนบัตรและเหรียญกษาปณ์ ที่หมุนเวียนอยู่ในระบบเศรษฐกิจ (ไม่รวมที่อยู่ในมือของรัฐบาลและธนาคารพาณิชย์) และเงินฝากเผื่อเรียกของธุรกิจ ครัวเรือน กลุ่มรัฐวิสาหกิจที่ไม่ใช่สถาบันการเงิน รัฐบาลท้องถิ่น และสถาบันการเงินอื่นที่ไม่ใช่ธนาคารพาณิชย์,,,,,,
,"2. Narrow money is the public ciculated comprising banknote and coins (excluding the money held by central government and commercial banks), plus call deposits of business, household, non-financial public enterprises, local government, and non-bank financial institutions in the commercial banking system.",,,,,,
ที่มา: ,ธนาคารแห่งประเทศไทย,,,,,,
Source: ,Bank of Thailand,,,,,,
,,,,,,,
,,,,,,,
,,        ,,,,,
,,         ,,,,,
        ,,,,,,,
   ,,,,,,,
,,  ,,,,,
,,,,,,,
,,   ,,,,,
