ตาราง 18.8 ดุลการชำระเงินของประเทศไทย พ.ศ. 2564 - 2566,,,,
Table 18.8 Thailand's Balance of Payments: 2021 - 2023,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
รายการ,2564 (2021),2565 (2022),2566 (2023),Item
ดุลการชำระเงิน,-213864,-367316,85891,Balance of payments
ดุลบัญชีเดินสะพัด,-342675,-551309,251270,Current account
ดุลการค้าและบริการ,-4411,-370252,315274,Goods and services
ดุลการค้า,1034554,465175,597799,Trade balance
สินค้าออก,8665055,9989604,9758319,Exports
สินค้าเข้า,7630501,9524429,9160520,Imports
ดุลบริการ,-1038964,-835426,-282525,Net services
บริการรับ,814712,1369171,1971242,Services receipts
ค่าขนส่ง,139094,230718,210699,Transportation
ค่าท่องเที่ยว,164499,525993,1032992,Travel
ค่าบริการและค่าใช้จ่ายอื่นๆ ของรัฐบาล,10354,12541,21239,"Government service, n.i.e."
ค่าบริการอื่น ๆ,500765,599919,706312,Other services
บริการจ่าย,1853677,2204597,2253767,Services payments
ค่าขนส่ง,881807,965453,756475,Transportation
ค่าท่องเที่ยว,111125,246722,402638,Travel
ค่าบริการและค่าใช้จ่ายอื่นๆ ของรัฐบาล,8343,8586,10431,"Government service, n.i.e."
ค่าบริการอื่น ๆ,852402,983836,1084222,Other services
รายได้ปฐมภูมิ,-576341,-499795,-406556,Primary Income
รายรับ,471091,531967,533181,Income receipts
รายจ่าย,1047432,1031762,939737,Income payments
รายได้ทุติยภูมิ,238077,318737,342553,Secondary Income
รายรับ,401712,500498,550284,Income receipts
รายจ่าย,163635,181760,207731,Income payments
ดุลบัญชีเงินทุน,-174670,239365,-443879,Capital and financial account
บัญชีทุน,7,20303,69825,Capital account
เงินทุนเคลื่อนย้าย,-174677,219062,-513704,Financial account
การลงทุนโดยตรง,-154410,124354,-206409,Direct investment
การลงทุนในหลักทรัพย์,-356949,196270,-457144,Portfolio investment
การลงทุนในตราสารอนุพันธ์,-37037,9384,-3289,Financial derivatives
การลงทุนอื่น ๆ,373719,-110946,153138,Other investment
ความคลาดเคลื่อนสุทธิ,303481,-55371,278499,Errors and omissions
สินทรัพย์เงินสำรองระหว่างประเทศ,-213864,-367316,85891,Reserve assets
ฐานะเงินสำรองในกองทุนการเงินระหว่างประเทศ,-292,2985,-2394,Reserve position in the fund
เงินตราต่างประเทศ,-522909,-371807,86146,Foreign exchange
ทองคำ,164374,--,-10,Monetary gold
สิทธิพิเศษถอนเงิน,144962,1506,2148,Special Drawing Rights (SDRs.)
,,,,
หมายเหตุ: ข้อมูล ณ วันที่ 11 เมษายน 2567,,,,
Note: Data as of  11 April 2024,,,,
ที่มา: ธนาคารแห่งประเทศไทย,,,,
Source: Bank of Thailand,,,,
